T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_04, cm3/s	k_05, cm3/s	k_06, cm3/s	k_07, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_14, cm3/s	k_15, cm3/s	k_16, cm3/s	k_17, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_24, cm3/s	k_25, cm3/s	k_26, cm3/s	k_27, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	k_34, cm3/s	k_35, cm3/s	k_36, cm3/s	k_37, cm3/s	k_40, cm3/s	k_41, cm3/s	k_42, cm3/s	k_43, cm3/s	k_45, cm3/s	k_46, cm3/s	k_47, cm3/s	k_50, cm3/s	k_51, cm3/s	k_52, cm3/s	k_53, cm3/s	k_54, cm3/s	k_56, cm3/s	k_57, cm3/s	k_60, cm3/s	k_61, cm3/s	k_62, cm3/s	k_63, cm3/s	k_64, cm3/s	k_65, cm3/s	k_67, cm3/s	k_70, cm3/s	k_71, cm3/s	k_72, cm3/s	k_73, cm3/s	k_74, cm3/s	k_75, cm3/s	k_76, cm3/s	
3.000000e+02	4.858902e-15	2.536161e-16	9.893927e-21	1.535459e-19	6.735385e-23	1.183971e-21	7.750388e-25	1.679293e-12	1.913446e-10	1.891724e-16	3.183553e-16	1.839586e-20	5.814267e-19	1.013203e-20	1.862274e-13	4.065313e-10	4.801365e-16	1.287035e-15	2.994563e-18	3.548269e-19	1.630260e-18	5.416630e-17	2.969887e-15	3.575912e-15	6.597342e-09	1.802013e-14	5.243666e-12	1.624854e-18	1.597172e-15	9.577982e-15	1.821825e-14	1.253399e-08	2.534439e-17	3.386104e-14	2.092822e-18	3.962898e-17	3.046363e-17	2.386778e-15	1.956414e-12	1.428678e-15	5.651718e-11	1.113465e-12	1.366597e-15	1.942404e-15	5.579000e-16	1.106243e-09	3.760059e-12	1.098207e-10	7.814593e-12	2.230892e-18	8.295588e-17	6.466541e-15	8.158996e-16	5.829365e-16	5.456082e-12	1.970679e-11
3.500000e+02	1.632555e-14	9.036297e-16	3.437216e-20	1.051744e-18	1.095447e-21	1.568816e-20	1.972244e-23	2.447941e-12	2.550466e-10	2.451049e-16	1.052796e-15	6.403160e-20	3.151586e-18	3.936597e-20	2.584923e-13	4.865678e-10	6.890773e-16	3.408069e-15	1.045089e-17	1.640441e-18	5.734851e-18	5.502101e-17	2.595234e-15	3.852825e-15	7.535753e-09	7.137702e-14	1.345464e-11	7.961008e-18	2.918493e-15	1.948037e-14	3.304878e-14	1.306259e-08	8.150771e-17	1.029859e-13	8.059986e-18	9.713267e-17	3.704536e-17	3.220258e-15	3.966877e-12	2.597473e-15	7.169064e-11	2.945648e-12	2.465832e-15	3.304018e-15	9.014310e-16	1.321466e-09	5.835234e-12	1.266926e-10	1.231476e-11	6.830458e-18	8.923312e-17	6.964498e-15	1.688396e-15	1.006591e-15	1.150252e-11	2.721138e-11
4.000000e+02	4.133658e-14	2.379133e-15	8.878583e-20	4.619876e-18	9.312772e-21	1.196932e-19	2.719897e-22	3.313418e-12	3.192184e-10	2.982887e-16	2.712299e-15	1.897639e-19	1.182769e-17	1.188791e-19	3.355975e-13	5.617541e-10	9.599780e-16	7.591107e-15	2.760988e-17	5.993747e-18	1.438310e-17	5.651114e-17	2.350955e-15	4.329034e-15	8.318301e-09	2.053100e-13	2.733766e-11	2.993592e-17	4.758564e-15	3.485086e-14	5.542183e-14	1.346091e-08	2.178687e-16	2.462414e-13	2.480404e-17	1.991018e-16	4.989875e-17	4.165449e-15	6.905415e-12	4.515224e-15	8.634631e-11	6.256438e-12	4.216666e-15	5.198535e-15	1.496979e-15	1.513290e-09	8.423287e-12	1.421090e-10	1.779552e-11	1.916038e-17	1.029281e-16	7.189207e-15	3.283483e-15	1.695870e-15	2.060586e-11	3.561197e-11
4.500000e+02	8.624113e-14	5.098740e-15	1.951209e-19	1.505440e-17	5.056388e-20	6.361143e-19	2.328682e-21	4.247243e-12	3.827704e-10	3.544995e-16	5.800417e-15	5.161201e-19	3.431669e-17	3.114830e-19	4.149929e-13	6.325917e-10	1.348957e-15	1.527290e-14	6.121259e-17	1.936424e-17	2.890069e-17	6.061338e-17	2.221254e-15	5.146345e-15	8.976154e-09	4.760736e-13	4.751783e-11	8.983762e-17	7.173808e-15	5.612273e-14	8.941172e-14	1.376903e-08	5.016587e-16	4.991777e-13	6.319198e-17	3.572519e-16	7.342943e-17	5.296066e-15	1.083457e-11	7.431711e-15	1.003673e-10	1.142680e-11	7.002461e-15	7.670737e-15	2.619085e-15	1.683963e-09	1.153235e-11	1.562888e-10	2.419508e-11	4.748273e-17	1.276087e-16	7.242212e-15	5.870799e-15	2.703025e-15	3.296637e-11	4.482671e-11
5.000000e+02	1.566293e-13	9.437502e-15	3.948920e-19	3.975396e-17	2.002451e-19	2.617494e-18	1.381493e-20	5.224282e-12	4.450722e-10	4.238619e-16	1.079711e-14	1.319760e-18	8.249844e-17	7.412990e-19	4.947401e-13	6.995151e-10	1.935706e-15	2.872892e-14	1.211640e-16	5.683885e-17	4.989710e-17	6.910689e-17	2.211187e-15	6.460027e-15	9.534158e-09	9.478394e-13	7.402040e-11	2.255063e-16	1.022489e-14	8.325773e-14	1.409480e-13	1.401244e-08	1.025485e-15	8.984304e-13	1.390180e-16	5.832940e-16	1.147266e-16	6.716743e-15	1.578188e-11	1.160827e-14	1.137362e-10	1.872368e-11	1.136170e-14	1.073624e-14	4.706424e-15	1.836029e-09	1.516284e-11	1.694340e-10	3.144910e-11	1.044487e-16	1.668500e-16	7.196892e-15	9.719625e-15	4.085404e-15	4.858741e-11	5.478193e-11
5.500000e+02	2.566638e-13	1.567768e-14	7.632034e-19	9.001833e-17	6.317146e-19	8.853586e-18	6.156666e-20	6.223715e-12	5.057486e-10	5.216440e-16	1.810702e-14	3.174565e-18	1.720702e-16	1.624222e-18	5.734319e-13	7.628689e-10	2.822392e-15	5.119055e-14	2.220443e-16	1.504427e-16	7.740324e-17	8.351669e-17	2.343042e-15	8.442367e-15	1.001168e-08	1.686859e-12	1.064465e-10	4.918444e-16	1.397955e-14	1.159631e-13	2.173413e-13	1.420808e-08	1.905303e-15	1.479052e-12	2.737364e-16	8.911643e-16	1.842266e-16	8.549916e-15	2.175025e-11	1.730272e-14	1.264872e-10	2.829586e-11	1.794720e-14	1.438459e-14	8.337858e-15	1.971895e-09	1.930667e-11	1.817239e-10	3.949178e-11	2.066950e-16	2.238371e-16	7.104802e-15	1.506945e-14	5.916668e-15	6.732980e-11	6.540704e-11
6.000000e+02	3.888537e-13	2.399041e-14	1.420101e-18	1.814936e-16	1.684085e-18	2.554518e-17	2.187587e-19	7.229045e-12	5.645722e-10	6.694323e-16	2.805104e-14	7.137844e-18	3.214712e-16	3.289117e-18	6.500864e-13	8.229214e-10	4.134360e-15	8.675720e-14	3.844077e-16	3.573278e-16	1.111698e-16	1.050815e-16	2.654809e-15	1.128820e-14	1.042377e-08	2.756625e-12	1.441472e-10	9.591599e-16	1.851088e-14	1.538924e-13	3.265371e-13	1.436760e-08	3.275538e-15	2.272441e-12	4.952791e-16	1.298297e-15	2.955915e-16	1.092369e-14	2.872309e-11	2.475424e-14	1.386773e-10	4.018559e-11	2.745472e-14	1.858462e-14	1.417248e-14	2.093691e-09	2.394635e-11	1.933112e-10	4.825661e-11	3.733602e-16	3.010372e-16	7.001889e-15	2.210518e-14	8.286943e-15	8.895721e-11	7.663283e-11
6.500000e+02	5.541388e-13	3.443970e-14	2.536048e-18	3.343480e-16	3.948001e-18	6.453447e-17	6.480923e-19	8.227638e-12	6.214051e-10	8.959688e-16	4.088488e-14	1.493674e-17	5.504241e-16	6.181220e-18	7.240476e-13	8.798854e-10	6.020114e-15	1.401366e-13	6.353077e-16	7.654493e-16	1.509521e-16	1.347659e-16	3.198078e-15	1.521534e-14	1.078221e-08	4.214157e-12	1.863579e-10	1.708654e-15	2.389237e-14	1.967728e-13	4.763232e-13	1.449930e-08	5.281915e-15	3.304791e-12	8.383183e-16	1.825258e-15	4.647465e-16	1.395960e-14	3.666636e-11	3.416862e-14	1.503677e-10	5.434616e-11	4.054379e-14	2.329010e-14	2.287413e-14	2.203237e-09	2.905480e-11	2.043196e-10	5.767633e-11	6.239882e-16	4.000037e-16	6.913004e-15	3.094178e-14	1.129409e-14	1.131704e-10	8.839042e-11
7.000000e+02	7.521380e-13	4.699862e-14	4.331306e-18	5.731389e-16	8.361862e-18	1.456914e-16	1.656543e-18	9.210100e-12	6.761679e-10	1.237092e-15	5.682477e-14	2.909522e-17	8.784268e-16	1.084569e-17	7.949021e-13	9.339345e-10	8.648159e-15	2.162884e-13	1.007762e-15	1.494606e-15	1.966996e-16	1.732995e-16	4.034433e-15	2.045730e-14	1.109627e-08	6.107291e-12	2.322877e-10	2.826131e-15	3.019170e-14	2.444543e-13	6.736450e-13	1.460925e-08	8.072758e-15	4.596029e-12	1.343439e-15	2.494053e-15	7.083789e-16	1.776165e-14	4.552966e-11	4.570486e-14	1.616150e-10	7.066051e-11	5.776984e-14	2.844486e-14	3.504030e-14	2.302062e-09	3.459576e-11	2.148453e-10	6.768249e-11	9.764151e-16	5.213209e-16	6.854912e-15	4.161926e-14	1.503130e-14	1.396324e-10	1.006099e-10
7.500000e+02	9.814544e-13	6.157003e-14	7.070608e-18	9.263329e-16	1.630303e-17	2.988997e-16	3.751091e-18	1.016965e-11	7.288201e-10	1.734587e-15	7.606704e-14	5.295637e-17	1.323428e-15	1.789522e-17	8.624145e-13	9.852160e-10	1.220003e-14	3.200490e-13	1.539206e-15	2.692327e-15	2.486360e-16	2.212194e-16	5.230561e-15	2.724983e-14	1.137334e-08	8.472854e-12	2.811742e-10	4.395255e-15	3.746447e-14	2.969018e-13	9.241062e-13	1.470197e-08	1.178983e-14	6.159226e-12	2.055162e-15	3.325851e-15	1.042320e-15	2.240816e-14	5.524749e-11	5.946552e-14	1.724656e-10	8.895870e-11	7.953816e-14	3.398698e-14	5.114853e-14	2.391443e-09	4.052505e-11	2.249592e-10	7.820474e-11	1.445091e-15	6.646608e-16	6.838331e-15	5.410648e-14	1.957548e-14	1.679876e-10	1.132191e-10
