R	E0	E1	E2
1.97	97797.77	98659.25	101189.15
1.98	97662.65	98511.68	101000.44
1.99	97532.56	98369.6	100818.73
2	97407.32	98232.8	100643.76
2.01	97286.74	98101.1	100475.28
2.02	97170.64	97974.28	100313.06
2.03	97058.86	97852.16	100156.84
2.04	96951.21	97734.58	100006.43
2.05	96847.56	97621.37	99861.6
2.06	96747.73	97512.33	99722.15
2.07	96651.6	97407.34	99587.88
2.08	96559.02	97306.23	99458.59
2.09	96469.85	97208.88	99334.1
2.1	96383.97	97115.09	99214.22
2.15	95999.43	96695.4	98678.24
2.2	95679.66	96346.77	98234.1
2.25	95412.85	96056.37	97865.48
2.3	95189.25	95813.55	97558.82
2.35	95000.7	95609.42	97302.86
2.4	94840.79	95436.94	97088.38
2.45	94704.01	95290.08	96907.67
2.5	94585.94	95163.95	96754.46
2.55	94482.96	95054.63	96623.58
2.6	94392.22	94958.9	96510.84
2.65	94311.32	94874.16	96412.8
2.7	94238.41	94798.31	96326.69
2.75	94171.97	94729.74	96250.46
2.8	94110.84	94667.02	96181.91
2.85	94054.1	94609.16	96119.83
2.9	94000.89	94555.18	96062.82
3	93903.46	94457.18	95961.94
3.1	93815.44	94369.2	95873.28
3.2	93735.23	94289.46	95794.42
3.3	93661.57	94216.51	95723.22
3.4	93594.14	94149.88	95658.82
3.5	93532.56	94089.05	95600.08
3.6	93476.77	94033.87	95546.8
3.7	93426.16	93983.84	95498.57
3.8	93380.86	93938.99	95455.12
3.9	93340.37	93898.83	95416.13
4	93304.42	93863.09	95381.32
4.1	93272.71	93831.48	95350.25
4.2	93244.83	93803.69	95322.9
4.3	93220.57	93779.42	95298.85
4.4	93199.38	93758.19	95277.76
4.5	93181.04	93739.8	95259.41
4.6	93165.17	93723.87	95243.47
4.7	93151.59	93710.14	95229.58
4.8	93139.95	93698.4	95217.64
4.9	93130.06	93688.35	95207.32
5	93121.65	93679.8	95198.49
5.1	93114.53	93672.54	95190.93
5.2	93108.53	93666.4	95184.49
5.3	93103.5	93661.22	95179.03
5.4	93099.27	93656.87	95174.41
5.5	93095.76	93653.24	95170.5
5.6	93092.86	93650.23	95167.22
5.7	93090.46	93647.72	95164.49
5.8	93088.5	93645.66	95162.21
5.9	93086.88	93643.96	95160.3
6	93085.58	93642.58	95158.73
6.2	93083.69	93640.55	95156.42
6.4	93082.84	93639.52	95154.93
6.6	93082.15	93638.74	95153.91
6.8	93081.74	93638.27	95153.28
7	93081.54	93638.01	95152.89
7.2	93081.47	93637.9	95152.69
7.4	93081.49	93637.89	95152.61
7.6	93081.56	93637.93	95152.59
7.8	93081.64	93637.99	95152.62
8	93081.76	93638.1	95152.7
8.2	93081.86	93638.2	95152.8
8.4	93081.96	93638.28	95152.85
8.6	93082.04	93638.36	95152.92
8.8	93082.12	93638.44	95152.99
9	93082.19	93638.51	95153.06
9.2	93082.26	93638.58	95153.14
9.4	93082.32	93638.64	95153.2
9.6	93082.37	93638.69	95153.25
9.8	93082.43	93638.75	95153.31
10	93082.47	93638.79	95153.36
10.5	93082.56	93638.83	95153.29
11	93082.66	93638.93	95153.37
