R	Re<0|V|1>	Re<0|V|2>	Re<1|V|2>
1.97	-1625.22	-843.36	-724.97
1.98	-1561.96	-810.48	-695.55
1.99	-1500.96	-778.79	-667.2
2	-1442.13	-748.24	-639.91
2.01	-1385.42	-718.77	-613.62
2.02	-1330.75	-690.38	-588.3
2.03	-1278.04	-663.01	-563.92
2.04	-1227.25	-636.63	-540.45
2.05	-1178.3	-611.21	-517.87
2.06	-1131.13	-586.72	-496.14
2.07	-1085.67	-563.1	-475.21
2.08	-1041.86	-540.36	-455.07
2.09	-999.64	-518.46	-435.69
2.1	-958.98	-497.34	-417.06
2.15	-777	-402.89	-334.02
2.2	-626.29	-324.68	-265.83
2.25	-501.7	-260.06	-210.01
2.3	-398.89	-206.73	-164.49
2.35	-314.37	-162.91	-127.55
2.4	-244.77	-126.82	-97.62
2.45	-187.68	-97.24	-73.53
2.5	-140.98	-73.03	-54.25
2.55	-102.88	-53.29	-38.92
2.6	-71.92	-37.23	-26.83
2.65	-46.83	-24.24	-17.4
2.7	-26.63	-13.76	-10.12
2.75	-10.45	-5.36	-4.68
2.8	2.44	1.31	-0.57
2.85	12.59	6.59	2.41
2.9	20.58	10.73	4.54
3	31.18	16.25	6.55
3.1	36.77	19.15	6.99
3.2	38.95	20.3	6.34
3.3	38.96	20.32	5.08
3.4	37.58	19.63	3.49
3.5	35.39	18.5	1.99
3.6	32.79	17.15	0.63
3.7	29.96	15.69	-0.62
3.8	27.05	14.17	-1.62
3.9	24.16	12.67	-2.45
4	21.23	11.15	-3.08
4.1	18.66	9.81	-3.45
4.2	16.31	8.58	-3.76
4.3	14.26	7.51	-3.88
4.4	12.34	6.5	-3.95
4.5	10.65	5.62	-3.98
4.6	9.13	4.83	-3.94
4.7	7.84	4.14	-3.8
4.8	6.72	3.55	-3.65
4.9	5.75	3.04	-3.45
5	4.92	2.61	-3.21
5.1	4.22	2.24	-2.99
5.2	3.63	1.93	-2.77
5.3	3.13	1.65	-2.55
5.4	2.68	1.43	-2.33
5.5	2.32	1.24	-2.13
5.6	2.01	1.07	-1.93
5.7	1.74	0.92	-1.76
5.8	1.52	0.8	-1.59
5.9	1.32	0.7	-1.44
6	1.15	0.61	-1.3
6.2	0.9	0.48	-1.08
6.4	0.42	0.22	-0.73
6.6	0.32	0.17	-0.56
6.8	0.24	0.13	-0.45
7	0.18	0.09	-0.35
7.2	0.15	0.07	-0.27
7.4	0.12	0.05	-0.22
7.6	0.12	0.05	-0.18
7.8	0.1	0.05	-0.14
8	0.09	0.05	-0.12
8.2	0.09	0.05	-0.12
8.4	0.05	0.03	-0.1
8.6	0.05	0.03	-0.09
8.8	0.05	0.03	-0.08
9	0.05	0.03	-0.08
9.2	0.05	0.03	-0.09
9.4	0.05	0.03	-0.09
9.6	0.05	0.03	-0.09
9.8	0.04	0.02	-0.09
10	0.04	0.02	-0.09
10.5	0.02	0.01	-0.01
11	0	0	0
