T, K	k_01, cm3/s	k_02, cm3/s	k_10, cm3/s	k_12, cm3/s	k_20, cm3/s	k_21, cm3/s	
3.000000e+02	1.139810e-14	5.444214e-21	8.642949e-14	3.609252e-19	2.133105e-18	8.891997e-18
3.500000e+02	4.223124e-14	2.198034e-20	2.347666e-13	9.197152e-19	2.756659e-18	1.354362e-17
4.000000e+02	1.206516e-13	6.278449e-20	5.267406e-13	1.906149e-18	3.466589e-18	2.250658e-17
4.500000e+02	2.848762e-13	1.427196e-19	1.029256e-12	3.550785e-18	4.323544e-18	3.977563e-17
5.000000e+02	5.838206e-13	2.775548e-19	1.813601e-12	6.346386e-18	5.458836e-18	7.114611e-17
5.500000e+02	1.074223e-12	4.848403e-19	2.951115e-12	1.125773e-17	7.107137e-18	1.241033e-16
6.000000e+02	1.817325e-12	7.884126e-19	4.509843e-12	1.993461e-17	9.649072e-18	2.075792e-16
6.500000e+02	2.875693e-12	1.227419e-18	6.552122e-12	3.489514e-17	1.367083e-17	3.317850e-16
7.000000e+02	4.310478e-12	1.870956e-18	9.133000e-12	5.967442e-17	2.004612e-17	5.082892e-16
7.500000e+02	6.179243e-12	2.839780e-18	1.229930e-11	9.896202e-17	3.003920e-17	7.503944e-16
8.000000e+02	8.534347e-12	4.336525e-18	1.608920e-11	1.587623e-16	4.541888e-17	1.073745e-15
8.500000e+02	1.142185e-11	6.685069e-18	2.053220e-11	2.466021e-16	6.856710e-17	1.497023e-15
9.000000e+02	1.488088e-11	1.037813e-17	2.564941e-11	3.717884e-16	1.025635e-16	2.042549e-15
9.500000e+02	1.894331e-11	1.613026e-17	3.145399e-11	5.456912e-16	1.512303e-16	2.736661e-15
1.000000e+03	2.363377e-11	2.493177e-17	3.795178e-11	7.820125e-16	2.191270e-16	3.609768e-15
1.050000e+03	2.896989e-11	3.809815e-17	4.514196e-11	1.096994e-15	3.114945e-16	4.696047e-15
