T, K	k_01, cm3/s	k_02, cm3/s	k_10, cm3/s	k_12, cm3/s	k_20, cm3/s	k_21, cm3/s	
3.000000e+02	3.002416e-15	5.003012e-21	4.323132e-14	1.066270e-19	1.104402e-16	6.050758e-16
3.500000e+02	1.004556e-14	3.118358e-20	9.881575e-14	4.362304e-19	1.610475e-16	5.799678e-16
4.000000e+02	2.645594e-14	1.286943e-19	1.955550e-13	1.329436e-18	2.256284e-16	6.027705e-16
4.500000e+02	5.881194e-14	3.976681e-19	3.480838e-13	3.291493e-18	3.021961e-16	6.635586e-16
5.000000e+02	1.152651e-13	9.980849e-19	5.710764e-13	7.004157e-18	3.893855e-16	7.572276e-16
5.500000e+02	2.049725e-13	2.150466e-18	8.780324e-13	1.330801e-17	4.867360e-16	8.813970e-16
6.000000e+02	3.374286e-13	4.133426e-18	1.280400e-12	2.318265e-17	5.946714e-16	1.035302e-15
6.500000e+02	5.218337e-13	7.282603e-18	1.787084e-12	3.772603e-17	7.142979e-16	1.219079e-15
7.000000e+02	7.665791e-13	1.199145e-17	2.404269e-12	5.812889e-17	8.471225e-16	1.433250e-15
7.500000e+02	1.078878e-12	1.871140e-17	3.135476e-12	8.564085e-17	9.947667e-16	1.678336e-15
8.000000e+02	1.464537e-12	2.794818e-17	3.981743e-12	1.215278e-16	1.158724e-15	1.954596e-15
8.500000e+02	1.927846e-12	4.025257e-17	4.941898e-12	1.670236e-16	1.340179e-15	2.261858e-15
9.000000e+02	2.471563e-12	5.620530e-17	6.012856e-12	2.232810e-16	1.539900e-15	2.599444e-15
9.500000e+02	3.096970e-12	7.639747e-17	7.189930e-12	2.913259e-16	1.758187e-15	2.966155e-15
1.000000e+03	3.803977e-12	1.014088e-16	8.467129e-12	3.720204e-16	1.994878e-15	3.360312e-15
1.050000e+03	4.591257e-12	1.317860e-16	9.837445e-12	4.660353e-16	2.249377e-15	3.779822e-15
