T, K	k_01, cm3/s	k_02, cm3/s	k_10, cm3/s	k_12, cm3/s	k_20, cm3/s	k_21, cm3/s	
3.000000e+02	3.278279e-15	1.448484e-21	4.720342e-14	1.106520e-19	3.326328e-17	3.634138e-16
3.500000e+02	1.049247e-14	6.616105e-21	1.032120e-13	3.228479e-19	3.567386e-17	3.263465e-16
4.000000e+02	2.668758e-14	2.189023e-20	1.972672e-13	7.425527e-19	3.982514e-17	3.059235e-16
4.500000e+02	5.775148e-14	6.011169e-20	3.418074e-13	1.479458e-18	4.697397e-17	2.994100e-16
5.000000e+02	1.108861e-13	1.478753e-19	5.493811e-13	2.702706e-18	5.880686e-17	3.065912e-16
5.500000e+02	1.941409e-13	3.375853e-19	8.316336e-13	4.677369e-18	7.734842e-17	3.285559e-16
6.000000e+02	3.158491e-13	7.232243e-19	1.198515e-12	7.794070e-18	1.048241e-16	3.669974e-16
6.500000e+02	4.840809e-13	1.456641e-18	1.657795e-12	1.258286e-17	1.434967e-16	4.237693e-16
7.000000e+02	7.061874e-13	2.760454e-18	2.214859e-12	1.970818e-17	1.955020e-16	5.005931e-16
7.500000e+02	9.884678e-13	4.934320e-18	2.872722e-12	2.994645e-17	2.627045e-16	5.988706e-16
8.000000e+02	1.335960e-12	8.352910e-18	3.632172e-12	4.415090e-17	3.465888e-16	7.195743e-16
8.500000e+02	1.752343e-12	1.345569e-17	4.492008e-12	6.320929e-17	4.481937e-16	8.631966e-16
9.000000e+02	2.239918e-12	2.073009e-17	5.449307e-12	8.800006e-17	5.680864e-16	1.029745e-15
9.500000e+02	2.799668e-12	3.069042e-17	6.499714e-12	1.193514e-16	7.063721e-16	1.218768e-15
1.000000e+03	3.431351e-12	4.385519e-17	7.637714e-12	1.580066e-16	8.627310e-16	1.429406e-15
1.050000e+03	4.133625e-12	6.072503e-17	8.856900e-12	2.045972e-16	1.036471e-15	1.660454e-15
