T, K	k_01, cm3/s	k_02, cm3/s	k_10, cm3/s	k_12, cm3/s	k_20, cm3/s	k_21, cm3/s	
3.000000e+02	1.069255e-14	5.849241e-21	7.763789e-14	1.108537e-17	2.637096e-18	1.769629e-17
3.500000e+02	3.728293e-14	2.431245e-20	2.014888e-13	2.516353e-17	4.420585e-18	2.721965e-17
4.000000e+02	1.012405e-13	7.500255e-20	4.305529e-13	4.553384e-17	8.067792e-18	4.503775e-17
4.500000e+02	2.275452e-13	1.969371e-19	7.995676e-13	7.126317e-17	1.528885e-17	7.383390e-17
5.000000e+02	4.438475e-13	4.750698e-19	1.337396e-12	1.013218e-16	2.851721e-17	1.149487e-16
5.500000e+02	7.771588e-13	1.084224e-18	2.064835e-12	1.350143e-16	5.080348e-17	1.683322e-16
6.000000e+02	1.251231e-12	2.345390e-18	2.994139e-12	1.720719e-16	8.558917e-17	2.328901e-16
6.500000e+02	1.884922e-12	4.781244e-18	4.129655e-12	2.125561e-16	1.364141e-16	3.069273e-16
7.000000e+02	2.691488e-12	9.156045e-18	5.469050e-12	2.567042e-16	2.066187e-16	3.885243e-16
7.500000e+02	3.678573e-12	1.648902e-17	7.004713e-12	3.047925e-16	2.990908e-16	4.757955e-16
8.000000e+02	4.848660e-12	2.803727e-17	8.725123e-12	3.570425e-16	4.160845e-16	5.670366e-16
8.500000e+02	6.199766e-12	4.525094e-17	1.061605e-11	4.135718e-16	5.591202e-16	6.607891e-16
9.000000e+02	7.726233e-12	6.970845e-17	1.266156e-11	4.743783e-16	7.289570e-16	7.558517e-16
9.500000e+02	9.419504e-12	1.030410e-16	1.484478e-11	5.393461e-16	9.256256e-16	8.512621e-16
1.000000e+03	1.126886e-11	1.468562e-16	1.714853e-11	6.082625e-16	1.148501e-15	9.462654e-16
1.050000e+03	1.326203e-11	2.026670e-16	1.955574e-11	6.808398e-16	1.396401e-15	1.040278e-15
