T, K	k_01, cm3/s	k_02, cm3/s	k_10, cm3/s	k_12, cm3/s	k_20, cm3/s	k_21, cm3/s	
3.000000e+02	1.135774e-14	6.941734e-21	8.613038e-14	2.632635e-16	1.991364e-18	1.501822e-17
3.500000e+02	4.201530e-14	2.660664e-20	2.334062e-13	5.899630e-16	2.569235e-18	2.017523e-17
4.000000e+02	1.198947e-13	7.302407e-20	5.231175e-13	1.052057e-15	3.227422e-18	2.996071e-17
4.500000e+02	2.828841e-13	1.608130e-19	1.021592e-12	1.616039e-15	4.026456e-18	4.836466e-17
5.000000e+02	5.794741e-13	3.046934e-19	1.799489e-12	2.241214e-15	5.090822e-18	8.109310e-17
5.500000e+02	1.065900e-12	5.204209e-19	2.927494e-12	2.890734e-15	6.625172e-18	1.353330e-16
6.000000e+02	1.802832e-12	8.285841e-19	4.472943e-12	3.536328e-15	8.918457e-18	2.192120e-16
6.500000e+02	2.852169e-12	1.260640e-18	6.497317e-12	4.159146e-15	1.233319e-17	3.410891e-16
7.000000e+02	4.274224e-12	1.865827e-18	9.054455e-12	4.748705e-15	1.728185e-17	5.088339e-16
7.500000e+02	6.125380e-12	2.717308e-18	1.218931e-11	5.301175e-15	2.419569e-17	7.292179e-16
8.000000e+02	8.456255e-12	3.916086e-18	1.593717e-11	5.817597e-15	3.349212e-17	1.007485e-15
8.500000e+02	1.131031e-11	5.591851e-18	2.032316e-11	6.302298e-15	4.554573e-17	1.347120e-15
9.000000e+02	1.472289e-11	7.900578e-18	2.536224e-11	6.761589e-15	6.066620e-17	1.749793e-15
9.500000e+02	1.872065e-11	1.101933e-17	3.105932e-11	7.202755e-15	7.908422e-17	2.215448e-15
1.000000e+03	2.332137e-11	1.513909e-17	3.740979e-11	7.633302e-15	1.009452e-16	2.742485e-15
1.050000e+03	2.853398e-11	2.045657e-17	4.440019e-11	8.060426e-15	1.263096e-16	3.327997e-15
