R E0 E1 E2 E3 E4
1.97 99588.65 106962.87 108603.82 110729.76 110547.74
1.98 99383.60 106869.77 108465.17 110574.68 110399.45
1.99 99186.08 106781.06 108332.70 110426.17 110257.67
2.00 98995.82 106696.58 108206.23 110284.01 110122.12
2.01 98812.54 106616.27 108085.61 110147.91 109992.62
2.02 98636.02 106540.00 107970.69 110017.68 109868.97
2.03 98465.95 106467.68 107861.36 109893.10 109750.97
2.04 98302.15 106399.24 107757.54 109773.96 109638.48
2.05 98144.38 106334.63 107659.13 109660.09 109531.30
2.06 97992.40 106273.76 107566.04 109551.28 109429.30
2.07 97846.00 106216.57 107478.14 109447.35 109332.32
2.08 97704.99 106162.97 107395.36 109348.10 109240.19
2.09 97569.16 106112.87 107317.55 109253.37 109152.72
2.10 97438.30 106066.12 107244.49 109162.98 109069.75
2.15 96852.52 105876.44 106941.82 108769.69 108715.00
2.20 96366.07 105743.04 106715.92 108456.51 108439.73
2.25 95961.45 105648.40 106542.47 108206.64 108224.43
2.30 95624.11 105581.97 106405.99 108006.19 108054.52
2.35 95342.04 105536.68 106297.68 107845.35 107920.36
2.40 95105.11 105507.59 106212.28 107716.83 107815.00
2.45 94905.15 105490.32 106145.61 107614.76 107733.00
2.50 94735.38 105481.63 106094.36 107534.20 107669.82
2.55 94590.24 105479.75 106055.72 107470.79 107621.66
2.60 94465.20 105482.79 106027.09 107420.86 107585.25
2.65 94356.54 105489.14 106006.11 107381.20 107557.72
2.70 94261.24 105497.74 105991.11 107349.23 107536.88
2.75 94176.89 105507.60 105980.41 107322.77 107520.80
2.80 94101.49 105517.98 105972.72 107300.06 107508.01
2.85 94033.50 105528.35 105966.97 107279.72 107497.24
2.90 93971.43 105538.28 105962.44 107260.68 107487.66
3.00 93862.26 105555.73 105954.53 107223.38 107469.33
3.10 93768.06 105568.99 105945.77 107183.91 107449.48
3.20 93685.45 105577.67 105934.49 107140.28 107426.52
3.30 93611.79 105581.84 105920.03 107091.85 107400.01
3.40 93545.89 105581.95 105902.47 107039.01 107370.37
3.50 93486.76 105578.51 105882.16 106982.46 107338.34
3.60 93433.86 105572.18 105859.77 106923.30 107304.85
3.70 93386.40 105563.34 105835.62 106862.48 107270.74
3.80 93344.36 105552.56 105810.40 106801.05 107236.87
3.90 93307.08 105540.27 105784.59 106739.94 107203.95
4.00 93274.39 105526.73 105758.64 106679.92 107172.65
4.10 93245.53 105512.44 105732.99 106621.64 107143.31
4.20 93220.27 105497.55 105707.89 106565.58 107116.29
4.30 93198.30 105482.34 105683.63 106512.13 107091.70
4.40 93179.25 105466.91 105660.20 106461.54 107069.57
4.50 93162.78 105451.46 105637.83 106414.01 107049.89
4.60 93148.61 105436.15 105616.64 106369.62 107032.57
4.70 93136.45 105421.08 105596.61 106328.41 107017.42
4.80 93126.07 105406.39 105577.79 106290.33 107004.26
4.90 93117.25 105392.21 105560.20 106255.33 106992.92
5.00 93109.77 105378.57 105543.91 106223.33 106983.19
5.10 93103.43 105365.57 105528.72 106194.07 106974.73
5.20 93098.08 105353.25 105514.72 106167.45 106967.48
5.30 93093.61 105341.65 105501.81 106143.30 106961.22
5.40 93089.88 105330.80 105489.99 106121.49 106955.82
5.50 93086.77 105320.71 105479.16 106101.81 106951.13
5.60 93084.22 105311.37 105469.28 106084.07 106947.06
5.70 93082.12 105302.79 105460.28 106068.14 106943.51
5.80 93080.41 105294.91 105452.13 106053.82 106940.42
5.90 93079.02 105287.71 105444.75 106040.98 106937.70
6.00 93077.89 105281.16 105438.06 106029.47 106935.29
6.20 93076.27 105269.85 105426.65 106010.00 106931.32
6.40 93075.97 105260.71 105417.46 105994.56 106928.33
6.60 93075.39 105253.32 105410.08 105982.19 106925.95
6.80 93075.07 105247.43 105404.24 105972.35 106924.09
7.00 93074.94 105242.75 105399.58 105964.55 106922.65
7.20 93074.90 105239.07 105395.91 105958.39 106921.56
7.40 93074.95 105236.19 105393.02 105953.53 106920.71
7.60 93075.02 105234.18 105391.09 105949.75 106920.24
7.80 93075.12 105232.41 105389.28 105946.76 106919.72
8.00 93075.24 105231.06 105387.88 105944.40 106919.37
8.20 93075.35 105230.02 105386.94 105942.70 106919.24
8.40 93075.49 105229.23 105386.11 105941.28 106919.03
8.60 93075.58 105228.65 105385.44 105940.15 106918.89
8.80 93075.65 105228.20 105384.95 105939.28 106918.81
9.00 93075.72 105227.86 105384.58 105938.61 106918.75
9.20 93075.79 105227.63 105384.30 105938.12 106918.69
9.40 93075.85 105227.46 105384.12 105937.75 106918.69
9.60 93075.91 105227.32 105383.96 105937.46 106918.70
9.80 93075.96 105227.25 105383.86 105937.23 106918.70
10.00 93076.01 105227.17 105383.77 105937.04 106918.69
10.50 93076.12 105227.11 105383.73 105936.86 106918.78
11.00 93076.25 105227.09 105383.74 105936.78 106918.84
