R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<2|V|3> Re<2|V|4> Re<3|V|4>
1.97 2.63 3.32 -5.04 -5.05 1029.68 366.36 667.57 311.76 -169.81 -917.48
1.98 2.77 3.37 -5.09 -5.09 980.64 345.52 632.70 295.33 -180.47 -891.52
1.99 2.90 3.44 -5.13 -5.09 933.70 325.57 599.29 279.65 -190.54 -866.52
2.00 3.02 3.52 -5.17 -5.11 888.80 306.50 567.31 264.69 -199.99 -842.45
2.01 3.14 3.57 -5.19 -5.11 845.94 288.30 536.80 250.51 -208.76 -819.25
2.02 3.24 3.63 -5.23 -5.11 805.16 270.98 507.71 237.11 -216.83 -796.87
2.03 3.34 3.68 -5.25 -5.11 766.47 254.56 480.10 224.51 -224.12 -775.27
2.04 3.42 3.71 -5.26 -5.11 729.89 239.03 453.94 212.77 -230.59 -754.37
2.05 3.50 3.77 -5.28 -5.10 695.46 224.40 429.27 201.91 -236.14 -734.12
2.06 3.57 3.80 -5.29 -5.10 663.22 210.73 406.13 191.95 -240.73 -714.48
2.07 3.64 3.83 -5.31 -5.08 633.17 197.94 384.50 182.92 -244.29 -695.40
2.08 3.69 3.86 -5.32 -5.08 605.32 186.11 364.39 174.86 -246.82 -676.84
2.09 3.76 3.88 -5.32 -5.06 579.64 175.19 345.75 167.75 -248.26 -658.77
2.10 3.80 3.91 -5.33 -5.05 556.06 165.13 328.58 161.54 -248.68 -641.17
2.15 3.99 3.98 -5.32 -4.95 465.05 126.24 261.20 142.43 -237.98 -560.41
2.20 4.12 4.00 -5.28 -4.84 404.75 100.12 215.07 138.84 -213.03 -495.20
2.25 4.16 3.97 -5.22 -4.71 361.73 81.18 181.10 143.88 -182.96 -445.23
2.30 4.18 3.93 -5.13 -4.55 329.50 66.65 154.83 155.21 -150.52 -409.56
2.35 4.16 3.87 -5.02 -4.41 304.60 55.10 133.88 170.53 -117.65 -385.47
2.40 4.12 3.80 -4.92 -4.27 285.09 45.82 116.98 187.73 -85.89 -369.75
2.45 4.05 3.70 -4.79 -4.11 269.70 38.32 103.28 204.90 -56.63 -359.64
2.50 3.97 3.59 -4.65 -3.94 257.39 32.26 92.13 220.83 -30.57 -352.98
2.55 3.87 3.48 -4.51 -3.79 247.10 27.18 82.72 234.97 -7.84 -348.23
2.60 3.77 3.37 -4.35 -3.63 238.22 22.85 74.63 246.99 11.65 -344.33
2.65 3.66 3.26 -4.20 -3.47 230.23 19.02 67.43 256.83 28.07 -340.62
2.70 3.54 3.12 -4.04 -3.31 222.89 15.62 60.95 264.63 41.85 -336.58
2.75 3.43 3.01 -3.88 -3.15 215.91 12.49 54.90 270.48 53.26 -331.94
2.80 3.30 2.88 -3.72 -2.99 209.06 9.53 49.14 274.54 62.60 -326.51
2.85 3.17 2.74 -3.57 -2.85 202.21 6.68 43.52 277.00 70.17 -320.19
2.90 3.04 2.63 -3.41 -2.70 195.23 3.87 37.94 277.98 76.19 -312.91
3.00 2.78 2.37 -3.10 -2.42 180.73 -1.72 26.67 276.20 84.55 -295.48
3.10 2.53 2.15 -2.81 -2.15 165.30 -7.36 15.10 270.31 89.13 -274.51
3.20 2.28 1.92 -2.52 -1.89 149.08 -13.07 3.15 261.35 91.09 -250.58
3.30 2.05 1.70 -2.26 -1.66 132.25 -18.77 -9.03 250.15 91.23 -224.51
3.40 1.83 1.52 -2.02 -1.45 115.19 -24.35 -21.23 237.40 90.17 -197.05
3.50 1.63 1.34 -1.80 -1.25 98.25 -29.68 -33.20 223.70 88.40 -169.02
3.60 1.44 1.17 -1.59 -1.09 81.88 -34.57 -44.63 209.55 86.29 -141.16
3.70 1.26 1.02 -1.41 -0.93 66.21 -38.98 -55.40 195.26 83.95 -114.17
3.80 1.11 0.89 -1.25 -0.80 51.61 -42.80 -65.25 181.16 81.55 -88.58
3.90 0.97 0.78 -1.09 -0.68 38.22 -45.93 -74.04 167.43 79.15 -64.79
4.00 0.84 0.67 -0.96 -0.57 26.12 -48.39 -81.66 154.14 76.68 -43.11
4.10 0.73 0.57 -0.83 -0.47 15.54 -50.07 -87.96 141.57 74.38 -23.80
4.20 0.63 0.50 -0.73 -0.40 6.43 -51.05 -92.94 129.68 72.07 -6.91
4.30 0.54 0.43 -0.63 -0.32 -1.19 -51.30 -96.54 118.54 69.83 7.52
4.40 0.46 0.36 -0.54 -0.27 -7.51 -50.95 -98.90 108.08 67.46 19.51
