R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<2|V|3> Re<2|V|4> Re<3|V|4>
1.970000 0.039009 -0.037233 -0.128712 0.089000 0.032347 0.210093 -0.180726 -0.093796 0.098695 0.116980
1.980000 0.037057 -0.035802 -0.125079 0.086962 0.033161 0.215381 -0.185274 -0.096156 0.101179 0.119924
1.990000 0.035290 -0.034469 -0.121549 0.084909 0.033974 0.220662 -0.189817 -0.098514 0.103660 0.122864
2.000000 0.033683 -0.033223 -0.118114 0.082849 0.034784 0.225923 -0.194343 -0.100863 0.106132 0.125794
2.010000 0.032217 -0.032054 -0.114770 0.080788 0.035589 0.231151 -0.198840 -0.103197 0.108588 0.128704
2.020000 0.030875 -0.030952 -0.111510 0.078732 0.036386 0.236331 -0.203296 -0.105509 0.111021 0.131589
2.030000 0.029640 -0.029912 -0.108332 0.076685 0.037174 0.241448 -0.207697 -0.107794 0.113425 0.134438
2.040000 0.028500 -0.028925 -0.105230 0.074652 0.037950 0.246487 -0.212032 -0.110043 0.115792 0.137243
2.050000 0.027444 -0.027988 -0.102201 0.072634 0.038711 0.251431 -0.216285 -0.112251 0.118115 0.139997
2.060000 0.026463 -0.027094 -0.099243 0.070636 0.039456 0.256266 -0.220445 -0.114410 0.120386 0.142689
2.070000 0.025546 -0.026240 -0.096352 0.068659 0.040181 0.260975 -0.224495 -0.116512 0.122598 0.145311
2.080000 0.024688 -0.025421 -0.093525 0.066706 0.040884 0.265542 -0.228424 -0.118551 0.124743 0.147853
2.090000 0.023881 -0.024635 -0.090761 0.064777 0.041563 0.269951 -0.232216 -0.120519 0.126815 0.150308
2.100000 0.023119 -0.023879 -0.088056 0.062875 0.042215 0.274185 -0.235859 -0.122410 0.128804 0.152666
2.150000 0.019821 -0.020453 -0.075368 0.053796 0.044991 0.292216 -0.251369 -0.130459 0.137274 0.162705
2.200000 0.017067 -0.017462 -0.063928 0.045489 0.046781 0.303841 -0.261369 -0.135649 0.142735 0.169178
2.250000 0.014580 -0.014759 -0.053586 0.037978 0.047430 0.308062 -0.265000 -0.137534 0.144718 0.171528
2.300000 0.012205 -0.012258 -0.044229 0.031251 0.046934 0.304838 -0.262227 -0.136094 0.143203 0.169733
2.350000 0.009867 -0.009911 -0.035761 0.025268 0.045438 0.295123 -0.253870 -0.131757 0.138640 0.164324
2.400000 0.007541 -0.007694 -0.028105 0.019978 0.043207 0.280632 -0.241404 -0.125288 0.131832 0.156255
2.450000 0.005230 -0.005598 -0.021191 0.015317 0.040561 0.263446 -0.226621 -0.117615 0.123759 0.146686
2.500000 0.002955 -0.003622 -0.014959 0.011223 0.037815 0.245612 -0.211279 -0.109653 0.115381 0.136756
2.550000 0.000740 -0.001770 -0.009353 0.007634 0.035233 0.228841 -0.196853 -0.102166 0.107502 0.127418
2.600000 -0.001391 -0.000045 -0.004325 0.004495 0.033006 0.214372 -0.184406 -0.095706 0.100705 0.119362
2.650000 -0.003420 0.001553 0.000168 0.001760 0.031249 0.202961 -0.174590 -0.090612 0.095345 0.113008
2.700000 -0.005334 0.003023 0.004166 -0.000614 0.030016 0.194954 -0.167702 -0.087037 0.091583 0.108550
2.750000 -0.007126 0.004367 0.007702 -0.002658 0.029313 0.190388 -0.163775 -0.084998 0.089438 0.106008
2.800000 -0.008794 0.005590 0.010807 -0.004400 0.029114 0.189097 -0.162664 -0.084422 0.088832 0.105289
2.850000 -0.010338 0.006695 0.013508 -0.005863 0.029375 0.190789 -0.164120 -0.085178 0.089627 0.106231
2.900000 -0.011762 0.007688 0.015829 -0.007067 0.030040 0.195111 -0.167838 -0.087107 0.091657 0.108638
3.000000 -0.014263 0.009357 0.019419 -0.008763 0.032351 0.210119 -0.180747 -0.093807 0.098707 0.116994
3.100000 -0.016328 0.010637 0.021741 -0.009610 0.035575 0.231062 -0.198764 -0.103157 0.108546 0.128655
3.200000 -0.017977 0.011558 0.022944 -0.009727 0.039249 0.254926 -0.219292 -0.113811 0.119756 0.141942
3.300000 -0.019214 0.012146 0.023176 -0.009238 0.042905 0.278666 -0.239713 -0.124410 0.130909 0.155161
3.400000 -0.020027 0.012419 0.022592 -0.008283 0.046067 0.299208 -0.257384 -0.133581 0.140559 0.166598
3.500000 -0.020397 0.012394 0.021356 -0.007014 0.048299 0.313703 -0.269853 -0.140052 0.147368 0.174669
3.600000 -0.020309 0.012091 0.019637 -0.005584 0.049272 0.320020 -0.275286 -0.142872 0.150335 0.178187
3.700000 -0.019763 0.011533 0.017603 -0.004138 0.048845 0.317252 -0.272906 -0.141637 0.149035 0.176646
3.800000 -0.018780 0.010756 0.015403 -0.002793 0.047103 0.305936 -0.263171 -0.136584 0.143719 0.170344
3.900000 -0.017409 0.009798 0.013160 -0.001627 0.044310 0.287796 -0.247567 -0.128486 0.135198 0.160244
4.000000 -0.015713 0.008703 0.010964 -0.000683 0.040826 0.265168 -0.228102 -0.118384 0.124568 0.147645
4.100000 -0.013769 0.007513 0.008874 0.000033 0.037009 0.240372 -0.206772 -0.107314 0.112919 0.133839
4.200000 -0.011652 0.006268 0.006922 0.000534 0.033148 0.215299 -0.185204 -0.096120 0.101141 0.119878
4.300000 -0.009433 0.005000 0.005122 0.000846 0.029447 0.191258 -0.164523 -0.085387 0.089847 0.106492
4.400000 -0.007170 0.003737 0.003477 0.001001 0.026022 0.169012 -0.145387 -0.075455 0.079397 0.094106
4.500000 -0.004914 0.002499 0.001982 0.001031 0.022927 0.148912 -0.128097 -0.066482 0.069954 0.082914
4.600000 -0.002703 0.001304 0.000629 0.000964 0.020174 0.131030 -0.112714 -0.058498 0.061554 0.072957
4.700000 -0.000566 0.000162 -0.000591 0.000824 0.017748 0.115275 -0.099161 -0.051464 0.054152 0.064185
4.800000 0.001475 -0.000919 -0.001691 0.000633 0.015623 0.101475 -0.087290 -0.045303 0.047670 0.056501
4.900000 0.003405 -0.001932 -0.002678 0.000408 0.013768 0.089423 -0.076923 -0.039923 0.042008 0.049790
5.000000 0.005215 -0.002877 -0.003563 0.000161 0.012149 0.078909 -0.067878 -0.035229 0.037069 0.043936
5.100000 0.006899 -0.003750 -0.004354 -0.000096 0.010737 0.069735 -0.059987 -0.031133 0.032759 0.038828
5.200000 0.008457 -0.004555 -0.005060 -0.000356 0.009503 0.061723 -0.053096 -0.027556 0.028996 0.034367
5.300000 0.009890 -0.005291 -0.005690 -0.000612 0.008424 0.054716 -0.047067 -0.024428 0.025704 0.030466
5.400000 0.011201 -0.005963 -0.006250 -0.000860 0.007479 0.048574 -0.041784 -0.021686 0.022819 0.027046
5.500000 0.012395 -0.006573 -0.006748 -0.001097 0.006648 0.043181 -0.037145 -0.019278 0.020285 0.024043
5.600000 0.013478 -0.007124 -0.007189 -0.001321 0.005918 0.038435 -0.033062 -0.017159 0.018055 0.021400
5.700000 0.014458 -0.007622 -0.007579 -0.001530 0.005273 0.034249 -0.029461 -0.015290 0.016089 0.019070
5.800000 0.015340 -0.008069 -0.007924 -0.001725 0.004703 0.030549 -0.026279 -0.013639 0.014351 0.017010
5.900000 0.016133 -0.008470 -0.008229 -0.001904 0.004199 0.027273 -0.023461 -0.012176 0.012812 0.015186
6.000000 0.016844 -0.008828 -0.008498 -0.002069 0.003752 0.024367 -0.020961 -0.010878 0.011447 0.013567
6.200000 0.018045 -0.009433 -0.008942 -0.002355 0.003000 0.019484 -0.016761 -0.008699 0.009153 0.010849
6.400000 0.018997 -0.009911 -0.009285 -0.002590 0.002403 0.015605 -0.013424 -0.006967 0.007331 0.008689
6.600000 0.019745 -0.010285 -0.009548 -0.002781 0.001926 0.012508 -0.010760 -0.005584 0.005876 0.006965
