State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	
9.308089e+04	2.488883e-14	1.052317e+05	4.541037e-14	1.053884e+05	4.537761e-14	1.059414e+05	4.834259e-14	1.069235e+05	3.358899e-14
9.308111e+04	2.379579e-14	1.052319e+05	4.456284e-14	1.053886e+05	4.453895e-14	1.059416e+05	4.683571e-14	1.069237e+05	3.353881e-14
9.308133e+04	2.656732e-14	1.052322e+05	4.669288e-14	1.053888e+05	4.668603e-14	1.059419e+05	5.121052e-14	1.069239e+05	3.368399e-14
9.308157e+04	2.576217e-14	1.052324e+05	4.625942e-14	1.053891e+05	4.626053e-14	1.059421e+05	5.035711e-14	1.069242e+05	3.366476e-14
9.308182e+04	2.490945e-14	1.052327e+05	4.572687e-14	1.053893e+05	4.573118e-14	1.059424e+05	4.931427e-14	1.069244e+05	3.362691e-14
9.308209e+04	2.402693e-14	1.052329e+05	4.507137e-14	1.053896e+05	4.507493e-14	1.059426e+05	4.805519e-14	1.069247e+05	3.357918e-14
9.308236e+04	2.313891e-14	1.052332e+05	4.426727e-14	1.053899e+05	4.426742e-14	1.059429e+05	4.655756e-14	1.069250e+05	3.352637e-14
9.308265e+04	2.506202e-14	1.052335e+05	4.610687e-14	1.053901e+05	4.613214e-14	1.059432e+05	5.047030e-14	1.069252e+05	3.359591e-14
9.308295e+04	2.439074e-14	1.052338e+05	4.566164e-14	1.053904e+05	4.569224e-14	1.059435e+05	4.955824e-14	1.069255e+05	3.359624e-14
9.308327e+04	2.369279e-14	1.052341e+05	4.510329e-14	1.053908e+05	4.513658e-14	1.059438e+05	4.843525e-14	1.069259e+05	3.357442e-14
9.308360e+04	2.298367e-14	1.052344e+05	4.440380e-14	1.053911e+05	4.443828e-14	1.059441e+05	4.707382e-14	1.069262e+05	3.354128e-14
9.308395e+04	2.427683e-14	1.052348e+05	4.577763e-14	1.053914e+05	4.580890e-14	1.059445e+05	5.021892e-14	1.069265e+05	3.352359e-14
9.308431e+04	2.374801e-14	1.052351e+05	4.535877e-14	1.053918e+05	4.540750e-14	1.059448e+05	4.935524e-14	1.069269e+05	3.349815e-14
9.308469e+04	2.319478e-14	1.052355e+05	4.482744e-14	1.053922e+05	4.489672e-14	1.059452e+05	4.827778e-14	1.069273e+05	3.346904e-14
9.308509e+04	2.262341e-14	1.052359e+05	4.416113e-14	1.053926e+05	4.424594e-14	1.059456e+05	4.695599e-14	1.069277e+05	3.343012e-14
9.308550e+04	2.356991e-14	1.052363e+05	4.529125e-14	1.053930e+05	4.536772e-14	1.059460e+05	4.971643e-14	1.069281e+05	3.335826e-14
9.308594e+04	2.312126e-14	1.052368e+05	4.486384e-14	1.053934e+05	4.497301e-14	1.059465e+05	4.883038e-14	1.069285e+05	3.332656e-14
9.308639e+04	2.264646e-14	1.052372e+05	4.434242e-14	1.053939e+05	4.446297e-14	1.059469e+05	4.771618e-14	1.069290e+05	3.328728e-14
9.308687e+04	2.215579e-14	1.052377e+05	4.367499e-14	1.053944e+05	4.380403e-14	1.059474e+05	4.634608e-14	1.069295e+05	3.323684e-14
9.308737e+04	2.288202e-14	1.052382e+05	4.477069e-14	1.053949e+05	4.489231e-14	1.059479e+05	4.899307e-14	1.069300e+05	3.319611e-14
9.308790e+04	2.247855e-14	1.052387e+05	4.431896e-14	1.053954e+05	4.445922e-14	1.059484e+05	4.801398e-14	1.069305e+05	3.314852e-14
9.308845e+04	2.205998e-14	1.052393e+05	4.374074e-14	1.053959e+05	4.389213e-14	1.059490e+05	4.678448e-14	1.069310e+05	3.309228e-14
9.308902e+04	2.256521e-14	1.052399e+05	4.451823e-14	1.053965e+05	4.472576e-14	1.059496e+05	4.891180e-14	1.069316e+05	3.299551e-14
9.308962e+04	2.222019e-14	1.052405e+05	4.411072e-14	1.053971e+05	4.433261e-14	1.059502e+05	4.800075e-14	1.069322e+05	3.292945e-14
9.309025e+04	2.185941e-14	1.052411e+05	4.358717e-14	1.053977e+05	4.381138e-14	1.059508e+05	4.684655e-14	1.069328e+05	3.285999e-14
9.309091e+04	2.220696e-14	1.052418e+05	4.421916e-14	1.053984e+05	4.447459e-14	1.059514e+05	4.865453e-14	1.069335e+05	3.276587e-14
9.309160e+04	2.190026e-14	1.052424e+05	4.383190e-14	1.053991e+05	4.409724e-14	1.059521e+05	4.776447e-14	1.069342e+05	3.268620e-14
9.309233e+04	2.158085e-14	1.052432e+05	4.332525e-14	1.053998e+05	4.359091e-14	1.059529e+05	4.662939e-14	1.069349e+05	3.260479e-14
9.309309e+04	2.182794e-14	1.052439e+05	4.386966e-14	1.054006e+05	4.417422e-14	1.059536e+05	4.825738e-14	1.069357e+05	3.256384e-14
9.309388e+04	2.155509e-14	1.052447e+05	4.347189e-14	1.054014e+05	4.378379e-14	1.059544e+05	4.734527e-14	1.069365e+05	3.247789e-14
9.309471e+04	2.127306e-14	1.052456e+05	4.295814e-14	1.054022e+05	4.326190e-14	1.059552e+05	4.618182e-14	1.069373e+05	3.238993e-14
9.309558e+04	2.147260e-14	1.052464e+05	4.347299e-14	1.054031e+05	4.381716e-14	1.059561e+05	4.773013e-14	1.069382e+05	3.231095e-14
9.309649e+04	2.122817e-14	1.052473e+05	4.305117e-14	1.054040e+05	4.339265e-14	1.059570e+05	4.675344e-14	1.069391e+05	3.223163e-14
9.309745e+04	2.136484e-14	1.052483e+05	4.336932e-14	1.054049e+05	4.374391e-14	1.059580e+05	4.789537e-14	1.069400e+05	3.213935e-14
9.309844e+04	2.115043e-14	1.052493e+05	4.301039e-14	1.054059e+05	4.338522e-14	1.059590e+05	4.705523e-14	1.069410e+05	3.206144e-14
9.309949e+04	2.092793e-14	1.052503e+05	4.254349e-14	1.054070e+05	4.290361e-14	1.059600e+05	4.597202e-14	1.069421e+05	3.198297e-14
