R	E0	E1	E2	E3
1.97000000000000	106962.86999999999534	108603.82000000000698	110729.75999999999476	110547.74000000000524
1.98000000000000	106869.77000000000407	108465.16999999999825	110574.67999999999302	110399.44999999999709
1.99000000000000	106781.05999999999767	108332.69999999999709	110426.16999999999825	110257.66999999999825
2.00000000000000	106696.58000000000175	108206.22999999999593	110284.00999999999476	110122.11999999999534
2.01000000000000	106616.27000000000407	108085.61000000000058	110147.91000000000349	109992.61999999999534
2.02000000000000	106540.00000000000000	107970.69000000000233	110017.67999999999302	109868.97000000000116
2.03000000000000	106467.67999999999302	107861.36000000000058	109893.10000000000582	109750.97000000000116
2.04000000000000	106399.24000000000524	107757.53999999999360	109773.96000000000640	109638.47999999999593
2.05000000000000	106334.63000000000466	107659.13000000000466	109660.08999999999651	109531.30000000000291
2.06000000000000	106273.75999999999476	107566.03999999999360	109551.27999999999884	109429.30000000000291
2.07000000000000	106216.57000000000698	107478.13999999999942	109447.35000000000582	109332.32000000000698
2.08000000000000	106162.97000000000116	107395.36000000000058	109348.10000000000582	109240.19000000000233
2.09000000000000	106112.86999999999534	107317.55000000000291	109253.36999999999534	109152.72000000000116
2.10000000000000	106066.11999999999534	107244.49000000000524	109162.97999999999593	109069.75000000000000
2.15000000000000	105876.44000000000233	106941.82000000000698	108769.69000000000233	108715.00000000000000
2.20000000000000	105743.03999999999360	106715.91999999999825	108456.50999999999476	108439.72999999999593
2.25000000000000	105648.39999999999418	106542.47000000000116	108206.63999999999942	108224.42999999999302
2.30000000000000	105581.97000000000116	106405.99000000000524	108006.19000000000233	108054.52000000000407
2.35000000000000	105536.67999999999302	106297.67999999999302	107845.35000000000582	107920.36000000000058
2.40000000000000	105507.58999999999651	106212.27999999999884	107716.83000000000175	107815.00000000000000
2.45000000000000	105490.32000000000698	106145.61000000000058	107614.75999999999476	107733.00000000000000
2.50000000000000	105481.63000000000466	106094.36000000000058	107534.19999999999709	107669.82000000000698
2.55000000000000	105479.75000000000000	106055.72000000000116	107470.78999999999360	107621.66000000000349
2.60000000000000	105482.78999999999360	106027.08999999999651	107420.86000000000058	107585.25000000000000
2.65000000000000	105489.13999999999942	106006.11000000000058	107381.19999999999709	107557.72000000000116
2.70000000000000	105497.74000000000524	105991.11000000000058	107349.22999999999593	107536.88000000000466
2.75000000000000	105507.60000000000582	105980.41000000000349	107322.77000000000407	107520.80000000000291
2.80000000000000	105517.97999999999593	105972.72000000000116	107300.05999999999767	107508.00999999999476
2.85000000000000	105528.35000000000582	105966.97000000000116	107279.72000000000116	107497.24000000000524
2.90000000000000	105538.27999999999884	105962.44000000000233	107260.67999999999302	107487.66000000000349
3.00000000000000	105555.72999999999593	105954.52999999999884	107223.38000000000466	107469.33000000000175
3.10000000000000	105568.99000000000524	105945.77000000000407	107183.91000000000349	107449.47999999999593
3.20000000000000	105577.66999999999825	105934.49000000000524	107140.27999999999884	107426.52000000000407
3.30000000000000	105581.83999999999651	105920.02999999999884	107091.85000000000582	107400.00999999999476
3.40000000000000	105581.94999999999709	105902.47000000000116	107039.00999999999476	107370.36999999999534
3.50000000000000	105578.50999999999476	105882.16000000000349	106982.46000000000640	107338.33999999999651
3.60000000000000	105572.17999999999302	105859.77000000000407	106923.30000000000291	107304.85000000000582
3.70000000000000	105563.33999999999651	105835.61999999999534	106862.47999999999593	107270.74000000000524
3.80000000000000	105552.55999999999767	105810.39999999999418	106801.05000000000291	107236.86999999999534
3.90000000000000	105540.27000000000407	105784.58999999999651	106739.94000000000233	107203.94999999999709
4.00000000000000	105526.72999999999593	105758.63999999999942	106679.91999999999825	107172.64999999999418
4.10000000000000	105512.44000000000233	105732.99000000000524	106621.63999999999942	107143.30999999999767
4.20000000000000	105497.55000000000291	105707.88999999999942	106565.58000000000175	107116.28999999999360
4.30000000000000	105482.33999999999651	105683.63000000000466	106512.13000000000466	107091.69999999999709
4.40000000000000	105466.91000000000349	105660.19999999999709	106461.53999999999360	107069.57000000000698
4.50000000000000	105451.46000000000640	105637.83000000000175	106414.00999999999476	107049.88999999999942
4.60000000000000	105436.14999999999418	105616.63999999999942	106369.61999999999534	107032.57000000000698
4.70000000000000	105421.08000000000175	105596.61000000000058	106328.41000000000349	107017.41999999999825
4.80000000000000	105406.38999999999942	105577.78999999999360	106290.33000000000175	107004.25999999999476
4.90000000000000	105392.21000000000640	105560.19999999999709	106255.33000000000175	106992.91999999999825
5.00000000000000	105378.57000000000698	105543.91000000000349	106223.33000000000175	106983.19000000000233
5.10000000000000	105365.57000000000698	105528.72000000000116	106194.07000000000698	106974.72999999999593
5.20000000000000	105353.25000000000000	105514.72000000000116	106167.44999999999709	106967.47999999999593
5.30000000000000	105341.64999999999418	105501.80999999999767	106143.30000000000291	106961.22000000000116
5.40000000000000	105330.80000000000291	105489.99000000000524	106121.49000000000524	106955.82000000000698
5.50000000000000	105320.71000000000640	105479.16000000000349	106101.80999999999767	106951.13000000000466
5.60000000000000	105311.36999999999534	105469.27999999999884	106084.07000000000698	106947.05999999999767
5.70000000000000	105302.78999999999360	105460.27999999999884	106068.13999999999942	106943.50999999999476
5.80000000000000	105294.91000000000349	105452.13000000000466	106053.82000000000698	106940.41999999999825
5.90000000000000	105287.71000000000640	105444.75000000000000	106040.97999999999593	106937.69999999999709
6.00000000000000	105281.16000000000349	105438.05999999999767	106029.47000000000116	106935.28999999999360
6.20000000000000	105269.85000000000582	105426.64999999999418	106010.00000000000000	106931.32000000000698
6.40000000000000	105260.71000000000640	105417.46000000000640	105994.55999999999767	106928.33000000000175
6.60000000000000	105253.32000000000698	105410.08000000000175	105982.19000000000233	106925.94999999999709
6.80000000000000	105247.42999999999302	105404.24000000000524	105972.35000000000582	106924.08999999999651
7.00000000000000	105242.75000000000000	105399.58000000000175	105964.55000000000291	106922.64999999999418
7.20000000000000	105239.07000000000698	105395.91000000000349	105958.38999999999942	106921.55999999999767
7.40000000000000	105236.19000000000233	105393.02000000000407	105953.52999999999884	106920.71000000000640
7.60000000000000	105234.17999999999302	105391.08999999999651	105949.75000000000000	106920.24000000000524
7.80000000000000	105232.41000000000349	105389.27999999999884	105946.75999999999476	106919.72000000000116
8.00000000000000	105231.05999999999767	105387.88000000000466	105944.39999999999418	106919.36999999999534
8.20000000000000	105230.02000000000407	105386.94000000000233	105942.69999999999709	106919.24000000000524
8.40000000000000	105229.22999999999593	105386.11000000000058	105941.27999999999884	106919.02999999999884
8.60000000000000	105228.64999999999418	105385.44000000000233	105940.14999999999418	106918.88999999999942
8.80000000000000	105228.19999999999709	105384.94999999999709	105939.27999999999884	106918.80999999999767
9.00000000000000	105227.86000000000058	105384.58000000000175	105938.61000000000058	106918.75000000000000
9.20000000000000	105227.63000000000466	105384.30000000000291	105938.11999999999534	106918.69000000000233
9.40000000000000	105227.46000000000640	105384.11999999999534	105937.75000000000000	106918.69000000000233
9.60000000000000	105227.32000000000698	105383.96000000000640	105937.46000000000640	106918.69999999999709
9.80000000000000	105227.25000000000000	105383.86000000000058	105937.22999999999593	106918.69999999999709
10.00000000000000	105227.16999999999825	105383.77000000000407	105937.03999999999360	106918.69000000000233
10.50000000000000	105227.11000000000058	105383.72999999999593	105936.86000000000058	106918.77999999999884
11.00000000000000	105227.08999999999651	105383.74000000000524	105936.77999999999884	106918.83999999999651
