T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	
3.000000e+02	7.579010e-12	2.642999e-17	1.468391e-19	1.081904e-11	2.067617e-16	2.810610e-18	5.602793e-17	3.694805e-16	1.035131e-12	1.809773e-17	7.966012e-16	3.277354e-11
3.500000e+02	1.235696e-11	4.107853e-17	5.091088e-19	1.652026e-11	3.060083e-16	1.582545e-17	6.805660e-17	4.739302e-16	3.651592e-12	4.204631e-17	2.041715e-15	6.276437e-11
4.000000e+02	1.838185e-11	5.788040e-17	1.529490e-18	2.341007e-11	4.257193e-16	6.536400e-17	8.642050e-17	6.380515e-16	9.567219e-12	9.846649e-17	4.440611e-15	1.047834e-10
4.500000e+02	2.552398e-11	7.783463e-17	4.331414e-18	3.129739e-11	5.860477e-16	2.103980e-16	1.171692e-16	9.251351e-16	2.049996e-11	2.144880e-16	8.522437e-15	1.590236e-10
5.000000e+02	3.359783e-11	1.035644e-16	1.153982e-17	3.995672e-11	8.275439e-16	5.577297e-16	1.683914e-16	1.430772e-15	3.808633e-11	4.271852e-16	1.483641e-14	2.251676e-10
5.500000e+02	4.240101e-11	1.394713e-16	2.831484e-17	4.916908e-11	1.216211e-15	1.270721e-15	2.500663e-16	2.285833e-15	6.370217e-11	7.824410e-16	2.389715e-14	3.025723e-10
6.000000e+02	5.174131e-11	1.918052e-16	6.341130e-17	5.874431e-11	1.847102e-15	2.568885e-15	3.740273e-16	3.656673e-15	9.837685e-11	1.332474e-15	3.614087e-14	3.904002e-10
6.500000e+02	6.145115e-11	2.687148e-16	1.300104e-16	6.852891e-11	2.845628e-15	4.718492e-15	5.540467e-16	5.741637e-15	1.427770e-10	2.132432e-15	5.189723e-14	4.877071e-10
7.000000e+02	7.139249e-11	3.802922e-16	2.461172e-16	7.840528e-11	4.365917e-15	8.016674e-15	8.059104e-16	8.763625e-15	1.972319e-10	3.236601e-15	7.137656e-14	5.934979e-10
7.500000e+02	8.145620e-11	5.385744e-16	4.344192e-16	8.828687e-11	6.586114e-15	1.277238e-14	1.147325e-15	1.295944e-14	2.617784e-10	4.694801e-15	9.466964e-14	7.067625e-10
8.000000e+02	9.155857e-11	7.574389e-16	7.216170e-16	9.811205e-11	9.701079e-15	1.928733e-14	1.597559e-15	1.856738e-14	3.362130e-10	6.549399e-15	1.217564e-13	8.264975e-10
8.500000e+02	1.016368e-10	1.052350e-15	1.137332e-15	1.078382e-10	1.391340e-14	2.783923e-14	2.176827e-15	2.581464e-14	4.201410e-10	8.833186e-15	1.525201e-13	9.517206e-10
9.000000e+02	1.116447e-10	1.439948e-15	1.712747e-15	1.174366e-10	1.942382e-14	3.866857e-14	2.905467e-15	3.490612e-14	5.130220e-10	1.156820e-14	1.867642e-13	1.081481e-09
9.500000e+02	1.215485e-10	1.937503e-15	2.479156e-15	1.268882e-10	2.642206e-14	5.196963e-14	3.803058e-15	4.601531e-14	6.142089e-10	1.476539e-14	2.242299e-13	1.214864e-09
1.000000e+03	1.313237e-10	2.562294e-15	3.466564e-15	1.361806e-10	3.507891e-14	6.788536e-14	4.887544e-15	5.927808e-14	7.229803e-10	1.842508e-14	2.646133e-13	1.351001e-09
1.050000e+03	1.409526e-10	3.330972e-15	4.702465e-15	1.453060e-10	4.553995e-14	8.650582e-14	6.174499e-15	7.478919e-14	8.385678e-10	2.253782e-14	3.075807e-13	1.489072e-09
