T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	
3.000000e+02	6.636504e-12	1.605092e-16	1.007260e-17	1.406480e-11	1.651319e-15	1.746923e-17	4.822783e-15	2.341187e-14	1.509824e-14	3.377165e-14	2.760548e-14	1.674725e-12
3.500000e+02	1.069065e-11	3.905306e-16	4.018768e-17	2.035162e-11	3.134417e-15	7.134343e-17	7.216695e-15	3.042611e-14	4.694265e-14	4.219694e-14	3.930654e-14	2.657153e-12
4.000000e+02	1.557742e-11	8.781026e-16	1.163268e-16	2.736159e-11	5.714086e-15	2.158697e-16	1.126919e-14	4.174935e-14	1.147059e-13	5.115420e-14	5.399166e-14	3.920293e-12
4.500000e+02	2.116337e-11	1.818154e-15	2.713250e-16	3.491786e-11	1.009704e-14	5.303376e-16	1.757228e-14	5.914656e-14	2.368136e-13	6.064494e-14	7.178636e-14	5.466628e-12
5.000000e+02	2.732860e-11	3.452003e-15	5.428759e-16	4.288782e-11	1.714153e-14	1.117811e-15	2.659186e-14	8.414167e-14	4.314401e-13	7.062203e-14	9.259792e-14	7.276111e-12
5.500000e+02	3.396988e-11	6.035815e-15	9.693816e-16	5.117032e-11	2.774784e-14	2.095264e-15	3.861947e-14	1.178626e-13	7.137940e-13	8.099163e-14	1.161505e-13	9.311221e-12
6.000000e+02	4.099767e-11	9.808318e-15	1.586036e-15	5.968378e-11	4.275150e-14	3.580806e-15	5.376409e-14	1.609727e-13	1.094289e-12	9.162906e-14	1.420388e-13	1.152423e-11
6.500000e+02	4.833247e-11	1.496556e-14	2.421726e-15	6.835813e-11	6.284017e-14	5.681315e-15	7.197017e-14	2.136711e-13	1.577815e-12	1.023961e-13	1.697822e-13	1.386383e-11
7.000000e+02	5.590203e-11	2.164569e-14	3.497059e-15	7.713032e-11	8.850220e-14	8.482815e-15	9.304914e-14	2.757386e-13	2.163931e-12	1.131552e-13	1.988732e-13	1.627998e-11
7.500000e+02	6.363980e-11	2.992331e-14	4.823519e-15	8.594221e-11	1.200058e-13	1.204465e-14	1.167153e-13	3.466116e-13	2.847651e-12	1.237789e-13	2.288137e-13	1.872706e-11
8.000000e+02	7.148415e-11	3.981138e-14	6.403613e-15	9.473982e-11	1.574035e-13	1.639739e-14	1.426200e-13	4.254660e-13	3.620505e-12	1.341557e-13	2.591406e-13	2.116546e-11
8.500000e+02	7.937819e-11	5.126819e-14	8.231706e-15	1.034734e-10	2.005532e-13	2.154374e-14	1.703816e-13	5.113016e-13	4.471643e-12	1.441926e-13	2.894410e-13	2.356222e-11
9.000000e+02	8.726983e-11	6.420700e-14	1.029531e-14	1.120974e-10	2.491507e-13	2.746163e-14	1.996093e-13	6.030165e-13	5.388836e-12	1.538157e-13	3.193600e-13	2.589088e-11
9.500000e+02	9.511186e-11	7.850661e-14	1.257653e-14	1.205711e-10	3.027652e-13	3.410840e-14	2.299209e-13	6.994706e-13	6.359315e-12	1.629690e-13	3.486021e-13	2.813103e-11
1.000000e+03	1.028620e-10	9.402172e-14	1.505359e-14	1.288586e-10	3.608755e-13	4.142549e-14	2.609556e-13	7.995356e-13	7.370409e-12	1.716130e-13	3.769294e-13	3.026760e-11
1.050000e+03	1.104832e-10	1.105922e-13	1.770215e-14	1.369287e-10	4.229031e-13	4.934307e-14	2.923826e-13	9.021314e-13	8.410019e-12	1.797221e-13	4.041568e-13	3.229012e-11
