T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	
3.000000e+02	6.142725e-12	2.775968e-17	9.694627e-19	1.301833e-11	1.577111e-16	2.887505e-18	8.340848e-16	2.235959e-15	1.275149e-14	3.230591e-15	4.540248e-15	1.414216e-12
3.500000e+02	9.852081e-12	9.260377e-17	4.674783e-18	1.875525e-11	4.423081e-16	1.537053e-17	1.711240e-15	4.293506e-15	4.091895e-14	4.889475e-15	8.444905e-15	2.316024e-12
4.000000e+02	1.430929e-11	2.731673e-16	1.657920e-17	2.513411e-11	1.162206e-15	5.693717e-17	3.505707e-15	8.491500e-15	1.023563e-13	7.271548e-15	1.421718e-14	3.498089e-12
4.500000e+02	1.939956e-11	6.837629e-16	4.648567e-17	3.200771e-11	2.700983e-15	1.624522e-16	6.608498e-15	1.582182e-14	2.145624e-13	1.037098e-14	2.196663e-14	4.952870e-12
5.000000e+02	2.502188e-11	1.473366e-15	1.087264e-16	3.926779e-11	5.541383e-15	3.823327e-16	1.134980e-14	2.720064e-14	3.943115e-13	1.412490e-14	3.165013e-14	6.649860e-12
5.500000e+02	3.108898e-11	2.806726e-15	2.208643e-16	4.683068e-11	1.020763e-14	7.779240e-16	1.795852e-14	4.335822e-14	6.550000e-13	1.843428e-14	4.310361e-14	8.544199e-12
6.000000e+02	3.752356e-11	4.843300e-15	4.015900e-16	5.462621e-11	1.720378e-14	1.414277e-15	2.654845e-14	6.477758e-14	1.005109e-12	2.318239e-14	5.608064e-14	1.058499e-11
6.500000e+02	4.425505e-11	7.719617e-15	6.685214e-16	6.259130e-11	2.696200e-14	2.352637e-15	3.712405e-14	9.167703e-14	1.447813e-12	2.824882e-14	7.028922e-14	1.272149e-11
7.000000e+02	5.121766e-11	1.153769e-14	1.036424e-15	7.066709e-11	3.980772e-14	3.644326e-15	4.959751e-14	1.240255e-13	1.981433e-12	3.351875e-14	8.542209e-14	1.490695e-11
7.500000e+02	5.834955e-11	1.635970e-14	1.516077e-15	7.879799e-11	5.594268e-14	5.326825e-15	6.381074e-14	1.615786e-13	2.600340e-12	3.888855e-14	1.011792e-13	1.710063e-11
8.000000e+02	6.559276e-11	2.220793e-14	2.113798e-15	8.693180e-11	7.544323e-14	7.422071e-15	7.955756e-14	2.039252e-13	3.296032e-12	4.426852e-14	1.172827e-13	1.926858e-11
8.500000e+02	7.289336e-11	2.906826e-14	2.831490e-15	9.502006e-11	9.827004e-14	9.936608e-15	9.660375e-14	2.505352e-13	4.058167e-12	4.958369e-14	1.334857e-13	2.138350e-11
9.000000e+02	8.020179e-11	3.689589e-14	3.667073e-15	1.030185e-10	1.242847e-13	1.286303e-14	1.147035e-13	3.008048e-13	4.875453e-12	5.477342e-14	1.495761e-13	2.342430e-11
9.500000e+02	8.747306e-11	4.562193e-14	4.615115e-15	1.108876e-10	1.532697e-13	1.618219e-14	1.336122e-13	3.540951e-13	5.736358e-12	5.979023e-14	1.653775e-13	2.537532e-11
1.000000e+03	9.466691e-11	5.515996e-14	5.667557e-15	1.185923e-10	1.849491e-13	1.986572e-14	1.530956e-13	4.097629e-13	6.629643e-12	6.459831e-14	1.807471e-13	2.722555e-11
1.050000e+03	1.017479e-10	6.541215e-14	6.814431e-15	1.261025e-10	2.190077e-13	2.387855e-14	1.729362e-13	4.671844e-13	7.544722e-12	6.917192e-14	1.955734e-13	2.896784e-11
