T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	
3.000000e+02	6.696133e-12	6.251670e-17	6.774742e-19	9.470367e-12	1.581883e-15	2.821773e-18	2.035406e-16	4.078011e-15	1.474541e-13	3.241710e-17	1.047554e-16	3.920292e-12
3.500000e+02	1.070711e-11	1.070059e-16	1.929292e-18	1.416889e-11	2.553411e-15	7.594910e-18	2.882266e-16	5.600205e-15	4.538803e-13	5.879166e-17	2.202942e-16	6.575608e-12
4.000000e+02	1.564925e-11	1.703298e-16	4.407998e-18	1.972240e-11	3.721557e-15	1.739435e-17	4.396364e-16	6.992169e-15	1.065431e-12	1.018820e-16	4.063523e-16	9.885358e-12
4.500000e+02	2.140369e-11	2.653242e-16	8.858132e-18	2.597779e-11	5.010273e-15	3.610799e-17	6.945846e-16	8.204299e-15	2.084728e-12	1.661065e-16	6.700164e-16	1.377131e-11
5.000000e+02	2.782178e-11	4.102437e-16	1.640156e-17	3.276674e-11	6.348207e-15	6.925249e-17	1.082546e-15	9.234572e-15	3.586739e-12	2.546312e-16	1.011040e-15	1.814297e-11
5.500000e+02	3.474968e-11	6.250471e-16	2.857141e-17	3.993029e-11	7.680324e-15	1.234218e-16	1.619710e-15	1.010329e-14	5.613767e-12	3.690329e-16	1.423608e-15	2.290483e-11
6.000000e+02	4.204455e-11	9.275097e-16	4.723039e-17	4.733150e-11	8.969672e-15	2.054230e-16	2.308260e-15	1.083844e-14	8.177016e-12	5.092810e-16	1.898300e-15	2.796127e-11
6.500000e+02	4.958233e-11	1.330528e-15	7.440503e-17	5.485888e-11	1.019462e-14	3.214259e-16	3.138886e-15	1.146819e-14	1.126143e-11	6.739467e-16	2.423771e-15	3.322020e-11
7.000000e+02	5.725976e-11	1.840955e-15	1.120885e-16	6.242476e-11	1.134488e-14	4.763281e-16	4.094425e-15	1.201743e-14	1.483166e-11	8.605336e-16	2.988051e-15	3.859585e-11
7.500000e+02	6.499299e-11	2.459682e-15	1.620585e-16	6.996147e-11	1.241776e-14	6.734005e-16	5.153370e-15	1.250667e-14	1.883808e-11	1.065839e-15	3.579444e-15	4.401071e-11
8.000000e+02	7.271488e-11	3.182490e-15	2.257403e-16	7.741708e-11	1.341524e-14	9.141891e-16	6.292638e-15	1.295195e-14	2.322204e-11	1.286287e-15	4.187110e-15	4.939679e-11
8.500000e+02	8.037191e-11	4.001234e-15	3.041235e-16	8.475163e-11	1.434183e-14	1.198610e-15	7.489536e-15	1.336530e-14	2.792034e-11	1.518201e-15	4.801392e-15	5.469612e-11
9.000000e+02	8.792140e-11	4.905081e-15	3.977331e-16	9.193413e-11	1.520320e-14	1.525163e-15	8.722983e-15	1.375539e-14	3.286877e-11	1.758009e-15	5.413965e-15	5.986068e-11
9.500000e+02	9.532922e-11	5.881611e-15	5.066421e-16	9.894027e-11	1.600524e-14	1.891208e-15	9.974187e-15	1.412824e-14	3.800472e-11	2.002384e-15	6.017855e-15	6.485191e-11
1.000000e+03	1.025680e-10	6.917732e-15	6.305150e-16	1.057508e-10	1.675361e-14	2.293253e-15	1.122692e-14	1.448775e-14	4.326906e-11	2.248331e-15	6.607378e-15	6.963997e-11
1.050000e+03	1.096158e-10	8.000370e-15	7.686683e-16	1.123506e-10	1.745341e-14	2.727230e-15	1.246755e-14	1.483633e-14	4.860735e-11	2.493224e-15	7.178039e-15	7.420273e-11
