T, K	k_01, cm3/s	k_02, cm3/s	k_03, cm3/s	k_10, cm3/s	k_12, cm3/s	k_13, cm3/s	k_20, cm3/s	k_21, cm3/s	k_23, cm3/s	k_30, cm3/s	k_31, cm3/s	k_32, cm3/s	
3.000000e+02	7.167068e-12	1.494811e-15	1.610397e-19	1.022833e-11	1.083251e-13	4.403449e-18	6.778854e-15	1.624458e-14	1.027818e-12	2.410297e-17	1.584098e-15	3.251729e-11
3.500000e+02	1.168810e-11	2.627524e-15	5.880369e-19	1.562555e-11	1.306566e-13	2.945111e-17	7.353420e-15	1.424312e-14	3.622649e-12	5.771919e-17	4.361499e-15	6.220510e-11
4.000000e+02	1.739373e-11	3.907816e-15	1.850121e-18	2.215389e-11	1.465115e-13	1.311000e-16	7.618882e-15	1.274496e-14	9.480546e-12	1.292774e-16	9.497995e-15	1.036767e-10
4.500000e+02	2.416017e-11	5.215278e-15	5.265429e-18	2.962957e-11	1.569728e-13	4.280297e-16	7.687086e-15	1.167754e-14	2.027882e-11	2.582694e-16	1.753239e-14	1.569097e-10
5.000000e+02	3.180855e-11	6.467278e-15	1.344523e-17	3.783414e-11	1.632765e-13	1.111322e-15	7.640479e-15	1.103296e-14	3.757384e-11	4.625601e-16	2.872848e-14	2.212030e-10
5.500000e+02	4.014240e-11	7.617388e-15	3.061662e-17	4.655408e-11	1.665317e-13	2.431517e-15	7.537530e-15	1.084092e-14	6.259618e-11	7.553440e-16	4.309181e-14	2.953503e-10
6.000000e+02	4.897352e-11	8.646388e-15	6.257364e-17	5.560204e-11	1.676498e-13	4.669661e-15	7.418869e-15	1.114788e-14	9.614327e-11	1.143562e-15	6.042201e-14	3.778068e-10
6.500000e+02	5.813553e-11	9.552893e-15	1.162548e-16	6.482395e-11	1.673503e-13	8.103305e-15	7.312077e-15	1.200101e-14	1.385548e-10	1.627760e-15	8.037477e-14	4.668465e-10
7.000000e+02	6.748835e-11	1.034590e-14	1.990838e-16	7.409804e-11	1.661882e-13	1.297657e-14	7.235140e-15	1.343731e-14	1.897468e-10	2.202959e-15	1.025199e-13	5.606964e-10
7.500000e+02	7.691758e-11	1.103953e-14	3.182536e-16	8.333020e-11	1.645842e-13	1.947911e-14	7.198937e-15	1.547719e-14	2.492798e-10	2.860015e-15	1.263894e-13	6.576429e-10
8.000000e+02	8.633134e-11	1.164963e-14	4.801003e-16	9.244848e-11	1.628505e-13	2.773521e-14	7.209088e-15	1.812226e-14	3.164423e-10	3.587075e-15	1.515147e-13	7.561053e-10
8.500000e+02	9.565659e-11	1.219167e-14	6.896505e-16	1.013980e-10	1.612136e-13	3.780157e-14	7.267375e-15	2.135581e-14	3.903349e-10	4.370893e-15	1.774514e-13	8.546813e-10
9.000000e+02	1.048354e-10	1.267968e-14	9.503663e-16	1.101370e-10	1.598314e-13	4.967166e-14	7.372841e-15	2.514525e-14	4.699467e-10	5.197877e-15	2.037955e-13	9.521680e-10
9.500000e+02	1.138222e-10	1.312570e-14	1.264071e-15	1.186333e-10	1.588082e-13	6.328422e-14	7.522650e-15	2.944543e-14	5.542197e-10	6.054862e-15	2.301923e-13	1.047566e-09
1.000000e+03	1.225807e-10	1.353969e-14	1.631015e-15	1.268624e-10	1.582066e-13	7.853365e-14	7.712756e-15	3.420224e-14	6.420994e-10	6.929625e-15	2.563389e-13	1.140069e-09
1.050000e+03	1.310828e-10	1.392956e-14	2.050038e-15	1.348057e-10	1.580570e-13	9.528100e-14	7.938406e-15	3.935596e-14	7.325724e-10	7.811187e-15	2.819839e-13	1.229052e-09
