R	E0
1.97	99588.65
1.98	99383.60
1.99	99186.08
2.00	98995.82
2.01	98812.54
2.02	98636.02
2.03	98465.95
2.04	98302.15
2.05	98144.38
2.06	97992.40
2.07	97846.00
2.08	97704.99
2.09	97569.16
2.10	97438.30
2.15	96852.52
2.20	96366.07
2.25	95961.45
2.30	95624.11
2.35	95342.04
2.40	95105.11
2.45	94905.15
2.50	94735.38
2.55	94590.24
2.60	94465.20
2.65	94356.54
2.70	94261.24
2.75	94176.89
2.80	94101.49
2.85	94033.50
2.90	93971.43
3.00	93862.26
3.10	93768.06
3.20	93685.45
3.30	93611.79
3.40	93545.89
3.50	93486.76
3.60	93433.86
3.70	93386.40
3.80	93344.36
3.90	93307.08
4.00	93274.39
4.10	93245.53
4.20	93220.27
4.30	93198.30
4.40	93179.25
4.50	93162.78
4.60	93148.61
4.70	93136.45
4.80	93126.07
4.90	93117.25
5.00	93109.77
5.10	93103.43
5.20	93098.08
5.30	93093.61
5.40	93089.88
5.50	93086.77
5.60	93084.22
5.70	93082.12
5.80	93080.41
5.90	93079.02
6.00	93077.89
6.20	93076.27
6.40	93075.97
6.60	93075.39
6.80	93075.07
7.00	93074.94
7.20	93074.90
7.40	93074.95
7.60	93075.02
7.80	93075.12
8.00	93075.24
8.20	93075.35
8.40	93075.49
8.60	93075.58
8.80	93075.65
9.00	93075.72
9.20	93075.79
9.40	93075.85
9.60	93075.91
9.80	93075.96
10.00	93076.01
10.50	93076.12
11.00	93076.25
