E, cm-1	Sigma_00, cm2	
9.308089e+04	1.159752e-14
9.308100e+04	1.155977e-14
9.308111e+04	1.152360e-14
9.308122e+04	1.148810e-14
9.308133e+04	1.155287e-14
9.308145e+04	1.148091e-14
9.308157e+04	1.141678e-14
9.308170e+04	1.135959e-14
9.308182e+04	1.130832e-14
9.308195e+04	1.126197e-14
9.308209e+04	1.121968e-14
9.308222e+04	1.118070e-14
9.308236e+04	1.129738e-14
9.308251e+04	1.122653e-14
9.308265e+04	1.116172e-14
9.308280e+04	1.110249e-14
9.308295e+04	1.104823e-14
9.308311e+04	1.099823e-14
9.308327e+04	1.114888e-14
9.308343e+04	1.107715e-14
9.308360e+04	1.100906e-14
9.308377e+04	1.094466e-14
9.308395e+04	1.088388e-14
9.308412e+04	1.082654e-14
9.308431e+04	1.094595e-14
9.308450e+04	1.087829e-14
9.308469e+04	1.081262e-14
9.308488e+04	1.074921e-14
9.308509e+04	1.068817e-14
9.308529e+04	1.062945e-14
9.308550e+04	1.057328e-14
9.308572e+04	1.051947e-14
9.308594e+04	1.046772e-14
9.308616e+04	1.041791e-14
9.308639e+04	1.036991e-14
9.308663e+04	1.032354e-14
9.308687e+04	1.035297e-14
9.308712e+04	1.030019e-14
9.308737e+04	1.024911e-14
9.308763e+04	1.019965e-14
9.308790e+04	1.015166e-14
9.308817e+04	1.016871e-14
9.308845e+04	1.011842e-14
9.308873e+04	1.006956e-14
9.308902e+04	1.002193e-14
9.308932e+04	9.975421e-15
9.308962e+04	9.973215e-15
9.308993e+04	9.926780e-15
9.309025e+04	9.881248e-15
9.309058e+04	9.836542e-15
9.309091e+04	9.819501e-15
9.309126e+04	9.774411e-15
9.309160e+04	9.730058e-15
9.309196e+04	9.686729e-15
9.309233e+04	9.644151e-15
9.309270e+04	9.602169e-15
9.309309e+04	9.560620e-15
9.309348e+04	9.519406e-15
9.309388e+04	9.478490e-15
9.309429e+04	9.454651e-15
9.309471e+04	9.413390e-15
9.309514e+04	9.372550e-15
9.309558e+04	9.332110e-15
9.309603e+04	9.310449e-15
9.309649e+04	9.269864e-15
9.309696e+04	9.229752e-15
9.309745e+04	9.205782e-15
9.309794e+04	9.166250e-15
9.309844e+04	9.126939e-15
9.309896e+04	9.087987e-15
9.309949e+04	9.058539e-15
9.310003e+04	9.020473e-15
9.310059e+04	8.982616e-15
9.310115e+04	8.944848e-15
9.310173e+04	8.907082e-15
9.310233e+04	8.869259e-15
9.310293e+04	8.831257e-15
9.310355e+04	8.799687e-15
