E, cm-1	Sigma_00, cm2	
9.308089e+04	3.712970e-14
9.308552e+04	3.508370e-14
9.309016e+04	3.432143e-14
9.309480e+04	3.735010e-14
9.309943e+04	3.866769e-14
9.310407e+04	3.256445e-14
9.310871e+04	3.280290e-14
9.311335e+04	2.875116e-14
9.311798e+04	3.143704e-14
9.312262e+04	3.104898e-14
9.312726e+04	3.219658e-14
9.313189e+04	3.646471e-14
9.313653e+04	3.632853e-14
9.314117e+04	3.601776e-14
9.314580e+04	3.727258e-14
9.315044e+04	3.912917e-14
9.315508e+04	3.503404e-14
9.315972e+04	3.184096e-14
9.316435e+04	3.556635e-14
9.316899e+04	3.933414e-14
9.317363e+04	4.174957e-14
9.317826e+04	3.754858e-14
9.318290e+04	4.046048e-14
9.318754e+04	4.066334e-14
9.319218e+04	3.860029e-14
9.319681e+04	3.680965e-14
9.320145e+04	3.669229e-14
9.320609e+04	3.342314e-14
9.321072e+04	4.026175e-14
9.321536e+04	4.174218e-14
9.322000e+04	3.998483e-14
9.322463e+04	3.755195e-14
9.322927e+04	3.868308e-14
9.323391e+04	3.789167e-14
9.323854e+04	4.209997e-14
9.324318e+04	3.576215e-14
9.324782e+04	3.749119e-14
9.325246e+04	4.182634e-14
9.325709e+04	3.786280e-14
9.326173e+04	3.940726e-14
9.326637e+04	3.604954e-14
9.327100e+04	3.579033e-14
9.327564e+04	3.739374e-14
9.328028e+04	3.976284e-14
9.328491e+04	4.053941e-14
9.328955e+04	3.999649e-14
9.329419e+04	4.270526e-14
9.329883e+04	3.492418e-14
9.330346e+04	4.496704e-14
9.330810e+04	3.726197e-14
9.331274e+04	4.241824e-14
9.331737e+04	3.927016e-14
9.332665e+04	4.318558e-14
9.333129e+04	3.994424e-14
9.333592e+04	3.975546e-14
9.334520e+04	3.568178e-14
9.334983e+04	4.281903e-14
9.335447e+04	4.301186e-14
9.336374e+04	4.699314e-14
9.336838e+04	3.997014e-14
9.337765e+04	4.260304e-14
9.338229e+04	3.906120e-14
9.339157e+04	4.360537e-14
9.339620e+04	3.993869e-14
9.340548e+04	4.337907e-14
9.341011e+04	4.125353e-14
9.341939e+04	4.344907e-14
9.342866e+04	4.117506e-14
9.343794e+04	4.121349e-14
9.344257e+04	3.987379e-14
9.345185e+04	4.258648e-14
9.346112e+04	4.369241e-14
9.347040e+04	3.970685e-14
9.347967e+04	3.994774e-14
9.348894e+04	4.276480e-14
9.349822e+04	3.847034e-14
9.350749e+04	4.171401e-14
9.351676e+04	4.226687e-14
9.353068e+04	4.046316e-14
9.353995e+04	4.092167e-14
9.354922e+04	4.202893e-14
9.356313e+04	4.181286e-14
9.357241e+04	4.299376e-14
9.358632e+04	4.281095e-14
9.359559e+04	4.295095e-14
9.360951e+04	4.182767e-14
9.361878e+04	4.259172e-14
9.363269e+04	4.406607e-14
9.364660e+04	4.511836e-14
9.366051e+04	4.559917e-14
9.367442e+04	4.278787e-14
9.368833e+04	4.229403e-14
9.370224e+04	4.224045e-14
9.371616e+04	4.570792e-14
9.373007e+04	4.343550e-14
9.374862e+04	4.096496e-14
9.376253e+04	4.350696e-14
9.377644e+04	4.023913e-14
9.379499e+04	4.227735e-14
9.380890e+04	4.012096e-14
9.382744e+04	4.490578e-14
9.384599e+04	4.106826e-14
9.386454e+04	4.062807e-14
9.388309e+04	4.287490e-14
9.390164e+04	4.094887e-14
9.392018e+04	4.114195e-14
9.393873e+04	4.117789e-14
9.396192e+04	4.358754e-14
9.398046e+04	4.450098e-14
9.400365e+04	4.395193e-14
9.402220e+04	4.277834e-14
9.404538e+04	4.494228e-14
9.406857e+04	4.434308e-14
9.409175e+04	4.577659e-14
9.411494e+04	4.319631e-14
9.413812e+04	4.476614e-14
9.416131e+04	4.384080e-14
9.418913e+04	4.264911e-14
9.421232e+04	4.274249e-14
9.424014e+04	4.428146e-14
9.426796e+04	4.306448e-14
9.429578e+04	4.236471e-14
9.432360e+04	4.486020e-14
9.435143e+04	4.369119e-14
9.438388e+04	4.487773e-14
9.441171e+04	4.400877e-14
9.444416e+04	4.122406e-14
9.447662e+04	4.327874e-14
9.450908e+04	4.515431e-14
9.454154e+04	4.571549e-14
9.457864e+04	4.562283e-14
9.461110e+04	4.513276e-14
9.464819e+04	4.328167e-14
9.468529e+04	4.505371e-14
9.472238e+04	4.362641e-14
9.475948e+04	4.657619e-14
9.480121e+04	4.348888e-14
9.483831e+04	4.444808e-14
9.488004e+04	4.477994e-14
9.492178e+04	4.405896e-14
9.496351e+04	4.553892e-14
9.500988e+04	4.416202e-14
9.505625e+04	4.378190e-14
9.510262e+04	4.374000e-14
9.514899e+04	4.461790e-14
9.519536e+04	4.619556e-14
9.524637e+04	4.629599e-14
9.529737e+04	4.573738e-14
9.534838e+04	4.453172e-14
9.539939e+04	4.366621e-14
9.545503e+04	4.425236e-14
9.551068e+04	4.298902e-14
9.556632e+04	4.585105e-14
9.562660e+04	4.465389e-14
9.568224e+04	4.512130e-14
9.574252e+04	4.565935e-14
9.580744e+04	4.463208e-14
9.587236e+04	4.539319e-14
9.593728e+04	4.612961e-14
9.600220e+04	4.619404e-14
9.607175e+04	4.545661e-14
9.614131e+04	4.473533e-14
9.621086e+04	4.371605e-14
9.628505e+04	4.450292e-14
9.635925e+04	4.517481e-14
9.643344e+04	4.371446e-14
9.651227e+04	4.541651e-14
9.659573e+04	4.595957e-14
9.667456e+04	4.571050e-14
9.675803e+04	4.505483e-14
9.684613e+04	4.593044e-14
9.693423e+04	4.429487e-14
