E, cm-1	Sigma_00, cm2	
9.308089e+04	3.718949e-14
9.308100e+04	3.587914e-14
9.308111e+04	3.461293e-14
9.308122e+04	3.339133e-14
9.308133e+04	4.451343e-14
9.308145e+04	4.316464e-14
9.308157e+04	4.183481e-14
9.308170e+04	4.052891e-14
9.308182e+04	3.925085e-14
9.308195e+04	3.800354e-14
9.308209e+04	3.678899e-14
9.308222e+04	3.560841e-14
9.308236e+04	4.452728e-14
9.308251e+04	4.332286e-14
9.308265e+04	4.212544e-14
9.308280e+04	4.094069e-14
9.308295e+04	3.977308e-14
9.308311e+04	3.862594e-14
9.308327e+04	4.566654e-14
9.308343e+04	4.459553e-14
9.308360e+04	4.351363e-14
9.308377e+04	4.242822e-14
9.308395e+04	4.134559e-14
9.308412e+04	4.027080e-14
9.308431e+04	4.575369e-14
9.308450e+04	4.480022e-14
9.308469e+04	4.382482e-14
9.308488e+04	4.283546e-14
9.308509e+04	4.183933e-14
9.308529e+04	4.084251e-14
9.308550e+04	3.984987e-14
9.308572e+04	3.886494e-14
9.308594e+04	3.788997e-14
9.308616e+04	3.692601e-14
9.308639e+04	3.597302e-14
9.308663e+04	3.503005e-14
9.308687e+04	3.971681e-14
9.308712e+04	3.879675e-14
9.308737e+04	3.788453e-14
9.308763e+04	3.698126e-14
9.308790e+04	3.608680e-14
9.308817e+04	3.993051e-14
9.308845e+04	3.907174e-14
9.308873e+04	3.821956e-14
9.308902e+04	3.737591e-14
9.308932e+04	3.654118e-14
9.308962e+04	3.972944e-14
9.308993e+04	3.893571e-14
9.309025e+04	3.814852e-14
9.309058e+04	3.737004e-14
9.309091e+04	4.002104e-14
9.309126e+04	3.928903e-14
9.309160e+04	3.856004e-14
9.309196e+04	3.783764e-14
9.309233e+04	3.712349e-14
9.309270e+04	3.641734e-14
9.309309e+04	3.571715e-14
9.309348e+04	3.501938e-14
9.309388e+04	3.431947e-14
9.309429e+04	3.672365e-14
9.309471e+04	3.606931e-14
9.309514e+04	3.541676e-14
9.309558e+04	3.476145e-14
9.309603e+04	3.681087e-14
9.309649e+04	3.619002e-14
9.309696e+04	3.556957e-14
9.309745e+04	3.730496e-14
9.309794e+04	3.670558e-14
9.309844e+04	3.610803e-14
9.309896e+04	3.551013e-14
9.309949e+04	3.701270e-14
9.310003e+04	3.643293e-14
9.310059e+04	3.585556e-14
9.310115e+04	3.527865e-14
9.310173e+04	3.469847e-14
9.310233e+04	3.411011e-14
9.310293e+04	3.350829e-14
9.310355e+04	3.493480e-14
9.310419e+04	3.438204e-14
9.310484e+04	3.382128e-14
9.310551e+04	3.506006e-14
9.310619e+04	3.454169e-14
9.310689e+04	3.401900e-14
9.310760e+04	3.511140e-14
9.310833e+04	3.462378e-14
9.310908e+04	3.413296e-14
9.310984e+04	3.510519e-14
9.311062e+04	3.464078e-14
9.311143e+04	3.417209e-14
9.311224e+04	3.369173e-14
9.311308e+04	3.319222e-14
9.311394e+04	3.266765e-14
9.311482e+04	3.366231e-14
9.311572e+04	3.317300e-14
9.311664e+04	3.265848e-14
9.311758e+04	3.354859e-14
9.311854e+04	3.306758e-14
9.311953e+04	3.382491e-14
9.312053e+04	3.337330e-14
9.312156e+04	3.290478e-14
9.312262e+04	3.360422e-14
9.312370e+04	3.316860e-14
9.312481e+04	3.271617e-14
9.312594e+04	3.224233e-14
9.312709e+04	3.174640e-14
9.312828e+04	3.251330e-14
9.312949e+04	3.204767e-14
9.313073e+04	3.272109e-14
9.313200e+04	3.227871e-14
9.313330e+04	3.286778e-14
9.313463e+04	3.244225e-14
9.313599e+04	3.198833e-14
9.313738e+04	3.254578e-14
9.313880e+04	3.210803e-14
9.314026e+04	3.164537e-14
9.314175e+04	3.116470e-14
9.314328e+04	3.174299e-14
9.314484e+04	3.128353e-14
9.314643e+04	3.181568e-14
9.314807e+04	3.137712e-14
9.314974e+04	3.186761e-14
9.315145e+04	3.144421e-14
9.315321e+04	3.189296e-14
