E, cm-1	Sigma_00, cm2	
9.3076713700e+04	2.1385189075e-14
9.3076719069e+04	2.0783106097e-14
9.3076724501e+04	8.1410142505e-14
9.3076729995e+04	8.0069287768e-14
9.3076735554e+04	7.8740378164e-14
9.3076741176e+04	7.7423343592e-14
9.3076746864e+04	7.6118121569e-14
9.3076752617e+04	7.4824657044e-14
9.3076758437e+04	7.3542902192e-14
9.3076764324e+04	7.2272816227e-14
9.3076770280e+04	7.1014365218e-14
9.3076776305e+04	6.9767521891e-14
9.3076782399e+04	6.8532265452e-14
9.3076788564e+04	6.7308581399e-14
9.3076794800e+04	6.6096461346e-14
9.3076801108e+04	6.4895902835e-14
9.3076807490e+04	6.3706909161e-14
9.3076813945e+04	6.2529489189e-14
9.3076820476e+04	6.1363657180e-14
9.3076827081e+04	6.0209432598e-14
9.3076833764e+04	5.9066839945e-14
9.3076840523e+04	5.7935908569e-14
9.3076847361e+04	5.6816672483e-14
9.3076854278e+04	5.5709170183e-14
9.3076861276e+04	5.4613444463e-14
9.3076868354e+04	5.3529542224e-14
9.3076875514e+04	5.2457514283e-14
9.3076882757e+04	5.1397415190e-14
9.3076890084e+04	5.0349303021e-14
9.3076897496e+04	4.9313239192e-14
9.3076904994e+04	4.8289288253e-14
9.3076912578e+04	4.7277517684e-14
9.3076920250e+04	4.6277997692e-14
9.3076928012e+04	4.5290801005e-14
9.3076935863e+04	4.4316002650e-14
9.3076943804e+04	4.3353679744e-14
9.3076951838e+04	4.2403911276e-14
9.3076959965e+04	4.1466777875e-14
9.3076968186e+04	4.0542361594e-14
9.3076976502e+04	3.9630745673e-14
9.3076984915e+04	3.8732014307e-14
9.3076993425e+04	3.7846252409e-14
9.3077002033e+04	3.6973545369e-14
9.3077010741e+04	3.6113978810e-14
9.3077019550e+04	3.5267638339e-14
9.3077028461e+04	8.6211100484e-14
9.3077037476e+04	8.4752936677e-14
9.3077046594e+04	8.3310813740e-14
9.3077055818e+04	8.1884606540e-14
9.3077065149e+04	8.0474184143e-14
9.3077074588e+04	7.9079411996e-14
9.3077084136e+04	7.7700153837e-14
9.3077093795e+04	7.6336273341e-14
9.3077103566e+04	7.4987635548e-14
9.3077113450e+04	7.3654108086e-14
9.3077123448e+04	7.2335562208e-14
9.3077133562e+04	7.1031873690e-14
9.3077143793e+04	6.9742923565e-14
9.3077154143e+04	6.8468598754e-14
9.3077164612e+04	6.7208792563e-14
9.3077175203e+04	6.5963405105e-14
9.3077185916e+04	6.4732343613e-14
9.3077196754e+04	6.3515522693e-14
9.3077207717e+04	6.2312864495e-14
9.3077218807e+04	6.1124298830e-14
9.3077230025e+04	5.9949763222e-14
9.3077241373e+04	5.8789202925e-14
9.3077252853e+04	5.7642570885e-14
9.3077264465e+04	5.6509827663e-14
9.3077276212e+04	5.5390941326e-14
9.3077288095e+04	5.4285887310e-14
9.3077300116e+04	5.3194648238e-14
9.3077312275e+04	5.2117213736e-14
9.3077324576e+04	5.1053580199e-14
9.3077337019e+04	5.0003750553e-14
9.3077349606e+04	4.8967733996e-14
9.3077362339e+04	4.7945545711e-14
9.3077375219e+04	4.6937206570e-14
9.3077388249e+04	4.5942742821e-14
9.3077401429e+04	4.4962185762e-14
9.3077414762e+04	4.3995571400e-14
9.3077428249e+04	4.3042940093e-14
9.3077441893e+04	4.2104336197e-14
9.3077455694e+04	4.1179807684e-14
9.3077469655e+04	4.0269405760e-14
9.3077483778e+04	3.9373184474e-14
9.3077498065e+04	3.8491200319e-14
9.3077512517e+04	3.7623511824e-14
9.3077527136e+04	3.6770179138e-14
9.3077541924e+04	3.5931263616e-14
9.3077556884e+04	3.5106827388e-14
9.3077572017e+04	3.4296932938e-14
9.3077587325e+04	3.3501642663e-14
