E, cm-1	Sigma_00, cm2	
9.308089e+04	2.488884e-14
9.308552e+04	2.354760e-14
9.309016e+04	2.253801e-14
9.309480e+04	2.168553e-14
9.309943e+04	2.141635e-14
9.310407e+04	2.094955e-14
9.310871e+04	2.072319e-14
9.311335e+04	2.044851e-14
9.311798e+04	2.032800e-14
9.312262e+04	2.021971e-14
9.312726e+04	2.001251e-14
9.313189e+04	1.994143e-14
9.313653e+04	1.987177e-14
9.314117e+04	1.973884e-14
9.314580e+04	1.968471e-14
9.315044e+04	1.960492e-14
9.315508e+04	1.953625e-14
9.315972e+04	1.947545e-14
9.316435e+04	1.941993e-14
9.316899e+04	1.936827e-14
9.317363e+04	1.932105e-14
9.317826e+04	1.927676e-14
9.318290e+04	1.923625e-14
9.318754e+04	1.919813e-14
9.319218e+04	1.916152e-14
9.319681e+04	1.911357e-14
9.320145e+04	1.908112e-14
9.320609e+04	1.905012e-14
9.321072e+04	1.902034e-14
9.321536e+04	1.899128e-14
9.322000e+04	1.895132e-14
9.322463e+04	1.892286e-14
9.322927e+04	1.889457e-14
9.323391e+04	1.886594e-14
9.323854e+04	1.883746e-14
9.324318e+04	1.880184e-14
9.324782e+04	1.877432e-14
9.325246e+04	1.874700e-14
9.325709e+04	1.872020e-14
9.326173e+04	1.869331e-14
9.326637e+04	1.866156e-14
9.327100e+04	1.862957e-14
9.327564e+04	1.860540e-14
9.328028e+04	1.858135e-14
9.328491e+04	1.855734e-14
9.328955e+04	1.853389e-14
9.329419e+04	1.850714e-14
9.329883e+04	1.848107e-14
9.330346e+04	1.846078e-14
9.330810e+04	1.844090e-14
9.331274e+04	1.842221e-14
9.331737e+04	1.839933e-14
9.332665e+04	1.836024e-14
9.333129e+04	1.834363e-14
9.333592e+04	1.832318e-14
9.334520e+04	1.829114e-14
9.334983e+04	1.827119e-14
9.335447e+04	1.825552e-14
9.336374e+04	1.822024e-14
9.336838e+04	1.820065e-14
9.337765e+04	1.816935e-14
9.338229e+04	1.815099e-14
9.339157e+04	1.811698e-14
9.339620e+04	1.809826e-14
9.340548e+04	1.806827e-14
9.341011e+04	1.805109e-14
9.341939e+04	1.802172e-14
9.342866e+04	1.798916e-14
9.343794e+04	1.796003e-14
9.344257e+04	1.794656e-14
9.345185e+04	1.791902e-14
9.346112e+04	1.789223e-14
9.347040e+04	1.786474e-14
9.347967e+04	1.784089e-14
9.348894e+04	1.781585e-14
9.349822e+04	1.779099e-14
9.350749e+04	1.776440e-14
9.351676e+04	1.773990e-14
9.353068e+04	1.770495e-14
9.353995e+04	1.768140e-14
9.354922e+04	1.765650e-14
9.356313e+04	1.762385e-14
9.357241e+04	1.760202e-14
9.358632e+04	1.756947e-14
9.359559e+04	1.754719e-14
9.360951e+04	1.751766e-14
9.361878e+04	1.749777e-14
9.363269e+04	1.746764e-14
9.364660e+04	1.743761e-14
9.366051e+04	1.740844e-14
9.367442e+04	1.738126e-14
9.368833e+04	1.735226e-14
9.370224e+04	1.732602e-14
9.371616e+04	1.729933e-14
9.373007e+04	1.727303e-14
9.374862e+04	1.723821e-14
9.376253e+04	1.721467e-14
9.377644e+04	1.719010e-14
9.379499e+04	1.715732e-14
9.380890e+04	1.713344e-14
9.382744e+04	1.710328e-14
9.384599e+04	1.707289e-14
9.386454e+04	1.704277e-14
