E, cm-1	Sigma_00, cm2	
9.308089e+04	2.488884e-14
9.308100e+04	2.434014e-14
9.308111e+04	2.379580e-14
9.308122e+04	2.325910e-14
9.308133e+04	2.656734e-14
9.308145e+04	2.617141e-14
9.308157e+04	2.576218e-14
9.308170e+04	2.534090e-14
9.308182e+04	2.490946e-14
9.308195e+04	2.447050e-14
9.308209e+04	2.402694e-14
9.308222e+04	2.358197e-14
9.308236e+04	2.569299e-14
9.308251e+04	2.538331e-14
9.308265e+04	2.506203e-14
9.308280e+04	2.473067e-14
9.308295e+04	2.439076e-14
9.308311e+04	2.404414e-14
9.308327e+04	2.524732e-14
9.308343e+04	2.501616e-14
9.308360e+04	2.477735e-14
9.308377e+04	2.453086e-14
9.308395e+04	2.427685e-14
9.308412e+04	2.401575e-14
9.308431e+04	2.471922e-14
9.308450e+04	2.454443e-14
9.308469e+04	2.436410e-14
9.308488e+04	2.417748e-14
9.308509e+04	2.398362e-14
9.308529e+04	2.378132e-14
9.308550e+04	2.356992e-14
9.308572e+04	2.334949e-14
9.308594e+04	2.312127e-14
9.308616e+04	2.288649e-14
9.308639e+04	2.264647e-14
9.308663e+04	2.240244e-14
9.308687e+04	2.326175e-14
9.308712e+04	2.307525e-14
9.308737e+04	2.288202e-14
9.308763e+04	2.268272e-14
9.308790e+04	2.247856e-14
9.308817e+04	2.304370e-14
9.308845e+04	2.289010e-14
9.308873e+04	2.273042e-14
9.308902e+04	2.256522e-14
9.308932e+04	2.239500e-14
9.308962e+04	2.276921e-14
9.308993e+04	2.263601e-14
9.309025e+04	2.249767e-14
9.309058e+04	2.235451e-14
9.309091e+04	2.256865e-14
9.309126e+04	2.245525e-14
9.309160e+04	2.233761e-14
9.309196e+04	2.221567e-14
9.309233e+04	2.208980e-14
9.309270e+04	2.196041e-14
9.309309e+04	2.182794e-14
9.309348e+04	2.169277e-14
9.309388e+04	2.155509e-14
9.309429e+04	2.182469e-14
9.309471e+04	2.170954e-14
9.309514e+04	2.159210e-14
9.309558e+04	2.147261e-14
9.309603e+04	2.167062e-14
9.309649e+04	2.157099e-14
9.309696e+04	2.146902e-14
9.309745e+04	2.158626e-14
9.309794e+04	2.150090e-14
9.309844e+04	2.141331e-14
9.309896e+04	2.132348e-14
9.309949e+04	2.140851e-14
9.310003e+04	2.133124e-14
9.310059e+04	2.125177e-14
9.310115e+04	2.117004e-14
9.310173e+04	2.108609e-14
