State0	Sigma0	
1.052473e+05	4.381189e-14
1.052475e+05	4.317503e-14
1.052477e+05	4.466166e-14
1.052479e+05	4.434361e-14
1.052482e+05	4.395197e-14
1.052485e+05	4.346777e-14
1.052487e+05	4.286938e-14
1.052490e+05	4.409894e-14
1.052493e+05	4.377521e-14
1.052496e+05	4.337188e-14
1.052500e+05	4.286776e-14
1.052503e+05	4.375190e-14
1.052507e+05	4.346033e-14
1.052511e+05	4.309204e-14
1.052515e+05	4.262272e-14
1.052519e+05	4.337733e-14
1.052523e+05	4.308269e-14
1.052528e+05	4.270898e-14
1.052532e+05	4.222658e-14
1.052537e+05	4.293276e-14
1.052543e+05	4.261008e-14
1.052548e+05	4.219604e-14
1.052554e+05	4.268211e-14
1.052560e+05	4.239273e-14
1.052566e+05	4.201354e-14
1.052573e+05	4.238187e-14
1.052580e+05	4.210456e-14
1.052587e+05	4.173766e-14
1.052595e+05	4.204052e-14
1.052602e+05	4.175366e-14
1.052611e+05	4.138130e-14
1.052620e+05	4.165458e-14
1.052629e+05	4.134947e-14
1.052638e+05	4.150055e-14
1.052648e+05	4.123203e-14
1.052659e+05	4.089556e-14
1.052670e+05	4.107610e-14
1.052681e+05	4.077519e-14
1.052693e+05	4.088681e-14
1.052706e+05	4.061425e-14
1.052719e+05	4.067732e-14
1.052733e+05	4.042347e-14
1.052747e+05	4.045258e-14
1.052762e+05	4.020711e-14
1.052778e+05	4.021840e-14
1.052795e+05	3.997430e-14
1.052812e+05	3.996766e-14
1.052830e+05	3.972030e-14
1.052849e+05	3.970619e-14
1.052869e+05	3.945196e-14
1.052890e+05	3.943450e-14
1.052912e+05	3.937441e-14
1.052935e+05	3.914633e-14
1.052959e+05	3.908493e-14
1.052984e+05	3.899884e-14
1.053010e+05	3.878222e-14
1.053037e+05	3.869923e-14
1.053066e+05	3.859381e-14
1.053096e+05	3.836970e-14
1.053128e+05	3.826215e-14
1.053161e+05	3.814209e-14
1.053196e+05	3.801105e-14
1.053232e+05	3.778878e-14
1.053270e+05	3.765697e-14
1.053310e+05	3.751595e-14
1.053351e+05	3.736539e-14
1.053395e+05	3.720891e-14
1.053441e+05	3.704848e-14
1.053488e+05	3.682156e-14
1.053539e+05	3.666159e-14
1.053591e+05	3.649913e-14
1.053646e+05	3.633621e-14
1.053703e+05	3.617401e-14
1.053764e+05	3.601387e-14
1.053827e+05	3.585726e-14
1.053893e+05	3.570526e-14
1.053962e+05	3.555623e-14
1.054034e+05	3.544359e-14
1.054110e+05	3.529678e-14
1.054189e+05	3.514905e-14
1.054272e+05	3.499798e-14
1.054359e+05	3.484166e-14
1.054450e+05	3.470501e-14
1.054546e+05	3.454012e-14
1.054646e+05	3.437250e-14
1.054750e+05	3.420519e-14
1.054860e+05	3.406129e-14
1.054974e+05	3.390345e-14
1.055095e+05	3.376409e-14
1.055220e+05	3.360915e-14
1.055352e+05	3.346494e-14
1.055490e+05	3.330239e-14
1.055634e+05	3.315039e-14
1.055785e+05	3.298665e-14
1.055944e+05	3.283822e-14
1.056110e+05	3.269270e-14
1.056283e+05	3.253582e-14
1.056465e+05	3.238480e-14
1.056655e+05	3.223186e-14
1.056855e+05	3.207980e-14
1.057063e+05	3.192228e-14
1.057282e+05	3.177230e-14
1.057511e+05	3.162011e-14
1.057750e+05	3.146732e-14
1.058001e+05	3.131544e-14
1.058264e+05	3.116832e-14
1.058539e+05	3.101603e-14
1.058827e+05	3.086351e-14
1.059129e+05	3.070992e-14
1.059445e+05	3.055777e-14
1.059775e+05	3.040824e-14
1.060122e+05	3.025597e-14
1.060484e+05	3.010590e-14
1.060864e+05	2.995330e-14
1.061262e+05	2.980302e-14
1.061678e+05	2.965255e-14
1.062114e+05	2.949909e-14
1.062571e+05	2.934752e-14
1.063049e+05	2.919938e-14
1.063550e+05	2.904435e-14
1.064074e+05	2.889566e-14
1.064623e+05	2.874844e-14
1.065198e+05	2.858404e-14
1.065799e+05	2.844052e-14
1.066430e+05	2.830457e-14
1.067090e+05	2.814050e-14
1.067781e+05	2.796963e-14
1.068504e+05	2.783132e-14
1.069262e+05	2.770934e-14
1.070056e+05	2.756299e-14
1.070886e+05	2.738064e-14
1.071756e+05	2.719648e-14
1.072667e+05	2.704809e-14
1.073621e+05	2.693717e-14
1.074620e+05	2.683106e-14
1.075666e+05	2.669299e-14
1.076762e+05	2.651031e-14
1.077908e+05	2.630271e-14
1.079109e+05	2.610538e-14
1.080367e+05	2.594612e-14
1.081684e+05	2.583163e-14
1.083063e+05	2.574751e-14
1.084506e+05	2.566288e-14
1.086018e+05	2.555035e-14
1.087601e+05	2.539287e-14
1.089259e+05	2.518952e-14
1.090995e+05	2.495619e-14
1.092813e+05	2.472045e-14
1.094716e+05	2.450696e-14
1.096709e+05	2.433520e-14
1.098796e+05	2.421077e-14
1.100982e+05	2.413039e-14
1.103270e+05	2.407851e-14
1.105666e+05	2.403503e-14
1.108175e+05	2.397603e-14
1.110803e+05	2.388267e-14
1.113554e+05	2.374581e-14
1.116435e+05	2.356073e-14
1.119451e+05	2.333114e-14
1.122610e+05	2.306943e-14
1.125918e+05	2.279144e-14
1.129381e+05	2.251325e-14
1.133008e+05	2.225330e-14
1.136806e+05	2.202528e-14
1.140782e+05	2.183928e-14
1.144947e+05	2.169983e-14
1.149307e+05	2.160403e-14
1.153873e+05	2.155005e-14
1.158654e+05	2.152658e-14
1.163660e+05	2.152211e-14
1.168902e+05	2.152593e-14
1.174392e+05	2.152342e-14
1.180140e+05	2.150364e-14
1.186159e+05	2.145735e-14
1.192461e+05	2.137625e-14
1.199061e+05	2.125380e-14
1.205972e+05	2.109037e-14
1.213208e+05	2.088431e-14
1.220785e+05	2.064086e-14
1.228720e+05	2.036321e-14
1.237028e+05	2.006012e-14
1.245729e+05	1.973443e-14
1.254839e+05	1.940171e-14
