R E0
1.97 109186.15
1.98 108993.83
1.99 108810.11
2.00 108634.73
2.01 108467.66
2.02 108308.79
2.03 108158.05
2.04 108015.44
2.05 107880.95
2.06 107754.61
2.07 107636.31
2.08 107526.00
2.09 107423.54
2.10 107328.59
2.15 106951.81
2.20 106692.72
2.25 106507.11
2.30 106371.40
2.35 106271.74
2.40 106199.37
2.45 106147.37
2.50 106110.63
2.55 106085.15
2.60 106067.78
2.65 106055.82
2.70 106047.77
2.75 106041.90
2.80 106037.05
2.85 106032.32
2.90 106027.06
3.00 106013.34
3.10 105993.89
3.20 105968.39
3.30 105937.25
3.40 105901.53
3.50 105862.49
3.60 105821.61
3.70 105779.52
3.80 105737.49
3.90 105696.24
4.00 105656.23
4.10 105618.39
4.20 105582.76
4.30 105549.76
4.40 105519.01
4.50 105490.73
4.60 105464.97
4.70 105441.43
4.80 105420.10
4.90 105400.84
5.00 105383.49
5.10 105367.90
5.20 105353.92
5.30 105341.40
5.40 105330.18
5.50 105320.18
5.60 105311.27
5.70 105303.32
5.80 105296.25
5.90 105289.94
6.00 105284.34
6.20 105274.96
6.40 105267.55
6.60 105261.80
6.80 105257.34
7.00 105253.83
7.20 105251.09
7.40 105248.99
7.60 105248.11
7.80 105246.72
8.00 105245.65
8.20 105244.84
8.40 105244.22
8.60 105243.76
8.80 105243.42
9.00 105243.17
9.20 105243.00
9.40 105242.86
9.60 105242.77
9.80 105242.70
10.00 105242.66
10.50 105242.60
11.00 105242.62
