E, cm-1	Sigma_00, cm2	
1.052473e+05	1.813316e-14
1.052474e+05	1.796084e-14
1.052475e+05	1.778469e-14
1.052476e+05	1.760487e-14
1.052477e+05	1.859123e-14
1.052478e+05	1.845514e-14
1.052479e+05	1.831467e-14
1.052481e+05	1.816983e-14
1.052482e+05	1.802066e-14
1.052483e+05	1.786724e-14
1.052485e+05	1.770969e-14
1.052486e+05	1.754814e-14
1.052487e+05	1.820621e-14
1.052489e+05	1.808175e-14
1.052490e+05	1.795336e-14
1.052492e+05	1.782101e-14
1.052493e+05	1.768464e-14
1.052495e+05	1.754421e-14
1.052496e+05	1.793500e-14
1.052498e+05	1.782463e-14
1.052500e+05	1.771023e-14
1.052501e+05	1.759193e-14
1.052503e+05	1.747001e-14
1.052505e+05	1.734464e-14
1.052507e+05	1.756792e-14
1.052509e+05	1.746766e-14
1.052511e+05	1.736406e-14
1.052513e+05	1.725676e-14
1.052515e+05	1.714556e-14
1.052517e+05	1.703042e-14
1.052519e+05	1.691165e-14
1.052521e+05	1.678979e-14
1.052523e+05	1.666524e-14
1.052525e+05	1.653803e-14
1.052528e+05	1.640814e-14
1.052530e+05	1.627557e-14
1.052532e+05	1.654258e-14
1.052535e+05	1.642846e-14
1.052537e+05	1.631094e-14
1.052540e+05	1.619088e-14
1.052543e+05	1.606875e-14
1.052545e+05	1.623175e-14
1.052548e+05	1.612906e-14
1.052551e+05	1.602275e-14
1.052554e+05	1.591259e-14
1.052557e+05	1.579880e-14
1.052560e+05	1.587981e-14
1.052563e+05	1.578456e-14
1.052566e+05	1.568624e-14
1.052569e+05	1.558481e-14
1.052573e+05	1.558302e-14
1.052576e+05	1.549475e-14
1.052580e+05	1.541063e-14
1.052583e+05	1.531856e-14
1.052587e+05	1.522373e-14
1.052591e+05	1.512598e-14
1.052595e+05	1.502512e-14
1.052598e+05	1.492267e-14
1.052602e+05	1.481643e-14
1.052607e+05	1.484108e-14
1.052611e+05	1.474842e-14
1.052615e+05	1.465697e-14
1.052620e+05	1.455981e-14
1.052624e+05	1.455169e-14
1.052629e+05	1.446266e-14
1.052633e+05	1.437265e-14
1.052638e+05	1.434631e-14
1.052643e+05	1.426092e-14
1.052648e+05	1.417482e-14
1.052653e+05	1.408799e-14
1.052659e+05	1.405213e-14
1.052664e+05	1.396791e-14
1.052670e+05	1.388413e-14
1.052675e+05	1.379995e-14
1.052681e+05	1.371538e-14
1.052687e+05	1.363031e-14
1.052693e+05	1.354454e-14
1.052699e+05	1.351825e-14
1.052706e+05	1.343673e-14
1.052712e+05	1.335457e-14
1.052719e+05	1.331292e-14
1.052726e+05	1.323505e-14
1.052733e+05	1.315644e-14
1.052740e+05	1.310415e-14
1.052747e+05	1.302936e-14
1.052754e+05	1.295419e-14
1.052762e+05	1.289765e-14
1.052770e+05	1.282457e-14
1.052778e+05	1.275110e-14
1.052786e+05	1.267716e-14
1.052795e+05	1.260270e-14
1.052803e+05	1.252792e-14
1.052812e+05	1.247681e-14
1.052821e+05	1.240403e-14
1.052830e+05	1.233060e-14
1.052839e+05	1.227492e-14
1.052849e+05	1.220308e-14
1.052859e+05	1.214418e-14
1.052869e+05	1.207330e-14
1.052879e+05	1.200185e-14
1.052890e+05	1.193999e-14
1.052901e+05	1.186946e-14
1.052912e+05	1.179848e-14
1.052923e+05	1.172634e-14
1.052935e+05	1.165463e-14
1.052946e+05	1.159428e-14
1.052959e+05	1.152256e-14
1.052971e+05	1.146071e-14
1.052984e+05	1.139046e-14
1.052997e+05	1.132599e-14
1.053010e+05	1.125649e-14
1.053024e+05	1.118682e-14
1.053037e+05	1.112256e-14
1.053052e+05	1.105348e-14
1.053066e+05	1.098392e-14
1.053081e+05	1.091511e-14
1.053096e+05	1.085259e-14
1.053112e+05	1.078404e-14
1.053128e+05	1.072083e-14
1.053144e+05	1.065353e-14
1.053161e+05	1.058922e-14
1.053178e+05	1.052281e-14
1.053196e+05	1.045842e-14
1.053214e+05	1.039201e-14
1.053232e+05	1.032586e-14
1.053251e+05	1.025857e-14
1.053270e+05	1.019514e-14
1.053290e+05	1.012870e-14
1.053310e+05	1.006458e-14
1.053330e+05	1.000037e-14
1.053351e+05	9.934279e-15
1.053373e+05	9.869848e-15
1.053395e+05	9.804084e-15
1.053418e+05	9.738325e-15
1.053441e+05	9.672421e-15
1.053464e+05	9.608972e-15
1.053488e+05	9.545096e-15
1.053513e+05	9.480315e-15
1.053539e+05	9.416976e-15
1.053564e+05	9.352443e-15
1.053591e+05	9.289410e-15
1.053618e+05	9.225306e-15
1.053646e+05	9.161114e-15
1.053674e+05	9.098449e-15
1.053703e+05	9.035387e-15
1.053733e+05	8.971748e-15
1.053764e+05	8.908774e-15
1.053795e+05	8.845929e-15
1.053827e+05	8.782477e-15
1.053859e+05	8.719274e-15
1.053893e+05	8.656881e-15
1.053927e+05	8.594569e-15
1.053962e+05	8.531973e-15
1.053997e+05	8.469952e-15
1.054034e+05	8.407992e-15
1.054071e+05	8.345942e-15
1.054110e+05	8.283941e-15
1.054149e+05	8.222311e-15
1.054189e+05	8.160723e-15
1.054230e+05	8.099369e-15
1.054272e+05	8.037600e-15
1.054315e+05	7.976480e-15
1.054359e+05	7.915023e-15
1.054404e+05	7.854219e-15
1.054450e+05	7.793415e-15
1.054497e+05	7.732733e-15
1.054546e+05	7.672083e-15
1.054595e+05	7.611608e-15
1.054646e+05	7.551092e-15
1.054697e+05	7.490793e-15
1.054750e+05	7.430542e-15
1.054804e+05	7.370427e-15
1.054860e+05	7.310530e-15
1.054916e+05	7.250513e-15
1.054974e+05	7.190859e-15
1.055034e+05	7.131173e-15
1.055095e+05	7.071639e-15
1.055157e+05	7.012246e-15
1.055220e+05	6.952936e-15
1.055285e+05	6.893484e-15
1.055352e+05	6.834277e-15
1.055420e+05	6.775263e-15
1.055490e+05	6.716280e-15
1.055561e+05	6.657360e-15
1.055634e+05	6.598382e-15
1.055709e+05	6.539664e-15
1.055785e+05	6.480864e-15
1.055864e+05	6.422147e-15
1.055944e+05	6.363529e-15
1.056026e+05	6.304909e-15
1.056110e+05	6.246359e-15
1.056195e+05	6.187837e-15
1.056283e+05	6.129317e-15
1.056373e+05	6.070826e-15
1.056465e+05	6.012302e-15
1.056559e+05	5.953836e-15
1.056655e+05	5.895380e-15
1.056754e+05	5.836903e-15
1.056855e+05	5.778368e-15
1.056958e+05	5.719809e-15
1.057063e+05	5.661186e-15
1.057171e+05	5.602491e-15
1.057282e+05	5.543740e-15
1.057395e+05	5.484876e-15
1.057511e+05	5.425901e-15
1.057629e+05	5.366783e-15
1.057750e+05	5.307508e-15
1.057874e+05	5.248069e-15
1.058001e+05	5.188421e-15
1.058131e+05	5.128530e-15
1.058264e+05	5.068357e-15
1.058400e+05	5.007873e-15
1.058539e+05	4.946959e-15
1.058681e+05	4.885608e-15
1.058827e+05	4.823761e-15
1.058976e+05	4.761354e-15
1.059129e+05	4.698272e-15
1.059285e+05	4.634396e-15
1.059445e+05	4.569577e-15
1.059608e+05	4.503681e-15
1.059775e+05	4.436432e-15
1.059947e+05	4.367472e-15
1.060122e+05	4.296372e-15
1.060301e+05	4.222414e-15
1.060484e+05	4.144696e-15
1.060672e+05	4.062413e-15
1.060864e+05	3.975266e-15
1.061061e+05	3.884465e-15
1.061262e+05	3.791991e-15
1.061468e+05	3.699344e-15
1.061678e+05	3.607696e-15
1.061894e+05	3.517608e-15
1.062114e+05	3.429389e-15
1.062340e+05	3.343357e-15
1.062571e+05	3.259574e-15
1.062807e+05	3.178200e-15
1.063049e+05	3.099254e-15
1.063296e+05	3.022838e-15
1.063550e+05	2.948896e-15
1.063809e+05	2.877404e-15
1.064074e+05	2.808410e-15
1.064345e+05	2.741813e-15
1.064623e+05	2.677609e-15
1.064907e+05	2.615764e-15
1.065198e+05	2.556197e-15
1.065495e+05	2.498840e-15
1.065799e+05	2.443624e-15
1.066111e+05	2.390524e-15
1.066430e+05	2.339477e-15
1.066756e+05	2.290379e-15
1.067090e+05	2.243187e-15
1.067431e+05	2.197832e-15
1.067781e+05	2.154254e-15
1.068138e+05	2.112361e-15
1.068504e+05	2.072153e-15
1.068879e+05	2.033494e-15
1.069262e+05	1.996391e-15
1.069654e+05	1.960726e-15
1.070056e+05	1.926483e-15
1.070466e+05	1.893593e-15
1.070886e+05	1.862006e-15
1.071316e+05	1.831669e-15
1.071756e+05	1.802504e-15
1.072207e+05	1.774519e-15
1.072667e+05	1.747626e-15
1.073139e+05	1.721764e-15
1.073621e+05	1.696941e-15
1.074115e+05	1.673067e-15
1.074620e+05	1.650122e-15
1.075137e+05	1.628064e-15
1.075666e+05	1.606856e-15
1.076208e+05	1.586457e-15
1.076762e+05	1.566821e-15
1.077328e+05	1.547928e-15
1.077908e+05	1.529732e-15
1.078502e+05	1.512202e-15
1.079109e+05	1.495333e-15
1.079731e+05	1.479059e-15
1.080367e+05	1.463372e-15
1.081018e+05	1.448243e-15
1.081684e+05	1.433647e-15
1.082365e+05	1.419561e-15
1.083063e+05	1.405955e-15
1.083776e+05	1.392805e-15
1.084506e+05	1.380115e-15
1.085254e+05	1.367861e-15
1.086018e+05	1.356013e-15
1.086801e+05	1.344578e-15
1.087601e+05	1.333551e-15
1.088421e+05	1.322913e-15
1.089259e+05	1.312665e-15
1.090117e+05	1.302792e-15
1.090995e+05	1.293301e-15
