E, cm-1	Sigma_00, cm2	
1.052473e+05	3.868857e-14
1.052519e+05	3.792156e-14
1.052565e+05	3.721415e-14
1.052612e+05	3.615069e-14
1.052658e+05	3.579516e-14
1.052704e+05	3.519689e-14
1.052751e+05	3.500758e-14
1.052797e+05	3.449789e-14
1.052844e+05	3.426048e-14
1.052890e+05	3.418888e-14
1.052936e+05	3.359215e-14
1.052983e+05	3.359363e-14
1.053029e+05	3.360772e-14
1.053075e+05	3.295097e-14
1.053122e+05	3.302349e-14
1.053168e+05	3.281026e-14
1.053214e+05	3.262471e-14
1.053261e+05	3.243711e-14
1.053307e+05	3.224377e-14
1.053354e+05	3.206443e-14
1.053400e+05	3.191909e-14
1.053446e+05	3.181010e-14
1.053493e+05	3.172300e-14
1.053539e+05	3.164142e-14
1.053585e+05	3.155997e-14
1.053632e+05	3.116387e-14
1.053678e+05	3.110815e-14
1.053725e+05	3.107556e-14
1.053771e+05	3.106094e-14
1.053817e+05	3.105350e-14
1.053864e+05	3.075770e-14
1.053910e+05	3.074456e-14
1.053956e+05	3.073481e-14
1.054003e+05	3.073461e-14
1.054049e+05	3.074581e-14
1.054096e+05	3.049241e-14
1.054142e+05	3.051125e-14
1.054188e+05	3.052653e-14
1.054235e+05	3.053779e-14
1.054281e+05	3.054880e-14
1.054327e+05	3.030105e-14
1.054374e+05	3.006300e-14
1.054420e+05	3.009523e-14
1.054466e+05	3.013044e-14
1.054513e+05	3.016477e-14
1.054559e+05	3.019676e-14
1.054606e+05	2.997434e-14
1.054652e+05	2.975187e-14
1.054698e+05	2.979887e-14
1.054745e+05	2.985239e-14
1.054791e+05	2.991021e-14
1.054837e+05	2.971585e-14
1.054930e+05	2.958033e-14
1.054977e+05	2.964033e-14
1.055023e+05	2.944486e-14
1.055116e+05	2.957880e-14
1.055162e+05	2.939777e-14
1.055208e+05	2.947110e-14
1.055301e+05	2.936246e-14
1.055348e+05	2.918392e-14
1.055440e+05	2.932191e-14
1.055487e+05	2.915271e-14
1.055579e+05	2.907100e-14
1.055626e+05	2.891885e-14
1.055718e+05	2.907395e-14
1.055765e+05	2.892159e-14
1.055858e+05	2.907956e-14
1.055950e+05	2.879790e-14
1.056043e+05	2.874934e-14
1.056089e+05	2.883170e-14
1.056182e+05	2.877796e-14
1.056275e+05	2.872662e-14
1.056368e+05	2.847737e-14
1.056460e+05	2.864660e-14
1.056553e+05	2.860962e-14
1.056646e+05	2.857298e-14
1.056739e+05	2.834203e-14
1.056831e+05	2.831994e-14
1.056970e+05	2.838958e-14
1.057063e+05	2.836802e-14
1.057156e+05	2.815189e-14
1.057295e+05	2.823288e-14
1.057388e+05	2.822251e-14
1.057527e+05	2.810882e-14
1.057620e+05	2.790550e-14
1.057759e+05	2.800242e-14
1.057851e+05	2.800320e-14
1.057991e+05	2.790713e-14
1.058130e+05	2.781745e-14
1.058269e+05	2.773662e-14
1.058408e+05	2.784094e-14
1.058547e+05	2.758140e-14
1.058686e+05	2.769047e-14
1.058825e+05	2.762429e-14
1.058964e+05	2.755887e-14
1.059150e+05	2.742539e-14
1.059289e+05	2.753838e-14
1.059428e+05	2.748348e-14
1.059614e+05	2.736339e-14
1.059753e+05	2.731973e-14
1.059938e+05	2.736644e-14
1.060124e+05	2.726114e-14
1.060309e+05	2.716113e-14
1.060495e+05	2.721656e-14
1.060680e+05	2.712406e-14
1.060866e+05	2.703310e-14
1.061051e+05	2.709805e-14
1.061283e+05	2.695562e-14
1.061468e+05	2.702627e-14
1.061700e+05	2.689087e-14
1.061886e+05	2.681593e-14
1.062118e+05	2.684015e-14
1.062349e+05	2.671730e-14
1.062581e+05	2.674657e-14
1.062813e+05	2.678321e-14
1.063045e+05	2.652733e-14
1.063277e+05	2.656329e-14
1.063555e+05	2.655534e-14
1.063787e+05	2.646457e-14
1.064065e+05	2.646878e-14
1.064343e+05	2.633684e-14
1.064622e+05	2.633660e-14
1.064900e+05	2.634188e-14
1.065178e+05	2.622579e-14
1.065503e+05	2.633952e-14
1.065781e+05	2.623734e-14
1.066105e+05	2.622017e-14
1.066430e+05	2.606953e-14
1.066755e+05	2.604681e-14
1.067079e+05	2.602969e-14
1.067450e+05	2.598797e-14
1.067775e+05	2.599478e-14
1.068146e+05	2.597652e-14
1.068517e+05	2.596045e-14
1.068888e+05	2.582375e-14
1.069259e+05	2.591313e-14
1.069676e+05	2.573547e-14
1.070047e+05	2.570343e-14
1.070464e+05	2.564489e-14
1.070881e+05	2.559690e-14
1.071299e+05	2.556213e-14
1.071762e+05	2.562381e-14
1.072226e+05	2.547899e-14
1.072690e+05	2.555958e-14
1.073154e+05	2.553107e-14
1.073617e+05	2.549894e-14
1.074127e+05	2.543509e-14
1.074637e+05	2.536429e-14
1.075148e+05	2.528836e-14
1.075658e+05	2.521106e-14
1.076214e+05	2.521085e-14
1.076770e+05	2.511790e-14
1.077327e+05	2.513413e-14
1.077930e+05	2.504465e-14
1.078486e+05	2.499111e-14
1.079089e+05	2.502889e-14
1.079738e+05	2.496289e-14
1.080387e+05	2.500366e-14
1.081036e+05	2.495340e-14
1.081686e+05	2.490611e-14
1.082381e+05	2.502327e-14
1.083077e+05	2.495017e-14
1.083772e+05	2.487223e-14
1.084514e+05	2.485683e-14
1.085256e+05	2.483303e-14
1.085998e+05	2.471781e-14
1.086786e+05	2.466751e-14
1.087621e+05	2.459954e-14
1.088409e+05	2.446854e-14
1.089244e+05	2.449738e-14
1.090125e+05	2.443584e-14
1.091006e+05	2.430696e-14
