E, cm-1	Sigma_00, cm2	
1.0524725700e+05	3.8688569185e-14
1.0524736501e+05	3.8620413038e-14
1.0524747554e+05	3.8538948514e-14
1.0524758864e+05	3.8440558840e-14
1.0524770437e+05	3.8532667993e-14
1.0524782280e+05	3.8502758764e-14
1.0524794399e+05	3.8475873985e-14
1.0524806800e+05	3.8450650268e-14
1.0524819490e+05	3.8425242588e-14
1.0524832476e+05	3.8397303844e-14
1.0524845764e+05	3.8363979829e-14
1.0524859361e+05	3.8321921175e-14
1.0524873276e+05	3.8289372629e-14
1.0524887514e+05	3.8260487871e-14
1.0524902084e+05	3.8237484476e-14
1.0524916994e+05	3.8219531641e-14
1.0524932250e+05	3.8205225733e-14
1.0524947863e+05	3.8192553803e-14
1.0524963838e+05	3.8222309257e-14
1.0524980186e+05	3.8175423362e-14
1.0524996915e+05	3.8135475708e-14
1.0525014033e+05	3.8102922020e-14
1.0525031550e+05	3.8077671409e-14
1.0525049476e+05	3.8059003561e-14
1.0525067818e+05	3.8233994071e-14
1.0525086588e+05	3.8165469308e-14
1.0525105795e+05	3.8102349420e-14
1.0525125450e+05	3.8046062833e-14
1.0525145562e+05	3.7997555561e-14
1.0525166143e+05	3.7957165184e-14
1.0525187203e+05	3.7924522240e-14
1.0525208754e+05	3.7898484439e-14
1.0525230807e+05	3.7877107431e-14
1.0525253373e+05	3.7857654115e-14
1.0525276465e+05	3.7836642702e-14
1.0525300095e+05	3.7809931863e-14
1.0525324275e+05	3.7775871389e-14
1.0525349019e+05	3.7723736935e-14
1.0525374339e+05	3.7678622620e-14
1.0525400249e+05	3.7638376770e-14
1.0525426762e+05	3.7600039186e-14
1.0525453893e+05	3.7631271630e-14
1.0525481655e+05	3.7540941103e-14
1.0525510065e+05	3.7460211817e-14
1.0525539136e+05	3.7388115763e-14
1.0525568884e+05	3.7322783559e-14
1.0525599325e+05	3.7424923833e-14
1.0525630476e+05	3.7297776609e-14
1.0525662352e+05	3.7182004759e-14
1.0525694970e+05	3.7077564853e-14
1.0525728348e+05	3.7302533518e-14
1.0525762504e+05	3.7134256740e-14
1.0525797455e+05	3.6977893930e-14
1.0525833220e+05	3.6835025313e-14
1.0525869819e+05	3.6706170537e-14
1.0525907270e+05	3.6590812591e-14
1.0525945593e+05	3.6487502657e-14
1.0525984809e+05	3.6394030984e-14
1.0526024938e+05	3.6307642508e-14
1.0526066002e+05	3.6297063272e-14
1.0526108023e+05	3.6174080571e-14
1.0526151022e+05	3.6066264269e-14
1.0526195023e+05	3.5971532375e-14
1.0526240049e+05	3.6029575967e-14
1.0526286124e+05	3.5896182933e-14
1.0526333272e+05	3.5781730743e-14
1.0526381518e+05	3.5958869991e-14
1.0526430888e+05	3.5803542403e-14
1.0526481408e+05	3.5669964947e-14
1.0526533104e+05	3.5557345339e-14
1.0526586005e+05	3.5778532679e-14
1.0526640138e+05	3.5629259758e-14
1.0526695532e+05	3.5501818934e-14
1.0526752216e+05	3.5394999757e-14
1.0526810221e+05	3.5306562963e-14
1.0526869577e+05	3.5233598226e-14
1.0526930315e+05	3.5172888305e-14
1.0526992468e+05	3.5270955016e-14
1.0527056069e+05	3.5181309707e-14
1.0527121151e+05	3.5103563356e-14
1.0527187749e+05	3.5249869335e-14
1.0527255899e+05	3.5137702812e-14
1.0527325636e+05	3.5036374158e-14
1.0527396997e+05	3.5212071031e-14
1.0527470020e+05	3.5073926175e-14
1.0527544745e+05	3.4945974181e-14
1.0527621210e+05	3.5135100573e-14
1.0527699456e+05	3.4971769065e-14
1.0527779524e+05	3.4819192632e-14
1.0527861458e+05	3.4675486732e-14
1.0527945300e+05	3.4538880046e-14
1.0528031095e+05	3.4408141559e-14
1.0528118889e+05	3.4501500106e-14
1.0528208727e+05	3.4352564409e-14
1.0528300658e+05	3.4212061488e-14
1.0528394731e+05	3.4325713429e-14
1.0528490994e+05	3.4175003985e-14
1.0528589500e+05	3.4326871092e-14
1.0528690301e+05	3.4169244500e-14
1.0528793449e+05	3.4022598989e-14
1.0528899000e+05	3.4188877068e-14
1.0529007010e+05	3.4036356001e-14
1.0529117535e+05	3.3891139089e-14
1.0529230635e+05	3.3750024862e-14
1.0529346369e+05	3.3611294716e-14
1.0529464800e+05	3.3754601669e-14
1.0529585988e+05	3.3600074425e-14
1.0529710000e+05	3.3751400122e-14
1.0529836900e+05	3.3579381788e-14
1.0529966756e+05	3.3729941082e-14
1.0530099637e+05	3.3541069309e-14
1.0530235613e+05	3.3347885850e-14
1.0530374756e+05	3.3485216492e-14
1.0530517141e+05	3.3280948857e-14
1.0530662842e+05	3.3075603811e-14
1.0530811937e+05	3.2873457061e-14
1.0530964504e+05	3.3003908903e-14
1.0531120626e+05	3.2800065398e-14
1.0531280384e+05	3.2943671464e-14
1.0531443863e+05	3.2741215667e-14
1.0531611150e+05	3.2893896606e-14
1.0531782333e+05	3.2690604032e-14
1.0531957504e+05	3.2844520596e-14
1.0532136756e+05	3.2634275916e-14
1.0532320182e+05	3.2420085215e-14
1.0532507882e+05	3.2207788859e-14
1.0532699953e+05	3.2328372883e-14
1.0532896498e+05	3.2100621268e-14
1.0533097621e+05	3.2213758160e-14
1.0533303429e+05	3.2333772766e-14
1.0533514031e+05	3.2089271176e-14
1.0533729539e+05	3.2210647281e-14
1.0533950066e+05	3.1971042708e-14
1.0534175730e+05	3.1742666475e-14
1.0534406651e+05	3.1532406191e-14
1.0534642950e+05	3.1642027193e-14
1.0534884753e+05	3.1762655831e-14
1.0535132189e+05	3.1536913486e-14
1.0535385388e+05	3.1646431165e-14
1.0535644485e+05	3.1413607065e-14
1.0535909617e+05	3.1509802203e-14
1.0536180925e+05	3.1274434003e-14
1.0536458553e+05	3.1057079740e-14
1.0536742647e+05	3.1137408561e-14
1.0537033358e+05	3.1229756808e-14
1.0537330842e+05	3.1017310760e-14
1.0537635254e+05	3.1111242464e-14
1.0537946757e+05	3.1209392766e-14
1.0538265516e+05	3.0992166570e-14
1.0538591700e+05	3.0785319989e-14
1.0538925482e+05	3.0854452070e-14
1.0539267038e+05	3.0922360546e-14
1.0539616550e+05	3.0703090094e-14
1.0539974204e+05	3.0766378415e-14
1.0540340188e+05	3.0833795422e-14
1.0540714697e+05	3.0621506447e-14
1.0541097929e+05	3.0416919938e-14
1.0541490089e+05	3.0473141761e-14
1.0541891382e+05	3.0521725462e-14
1.0542302023e+05	3.0562382131e-14
1.0542722229e+05	3.0332384182e-14
1.0543152223e+05	3.0364673878e-14
1.0543592233e+05	3.0136942997e-14
1.0544042492e+05	3.0173212984e-14
1.0544503239e+05	3.0208361267e-14
1.0544974718e+05	3.0238622345e-14
1.0545457179e+05	3.0005612412e-14
1.0545950879e+05	3.0024798444e-14
1.0546456077e+05	2.9782190490e-14
1.0546973044e+05	2.9803538698e-14
1.0547502052e+05	2.9828578060e-14
1.0548043382e+05	2.9854955118e-14
1.0548597322e+05	2.9877536572e-14
1.0549164164e+05	2.9639212659e-14
1.0549744210e+05	2.9649346231e-14
1.0550337767e+05	2.9399880043e-14
1.0550945150e+05	2.9408612631e-14
1.0551566680e+05	2.9418533170e-14
1.0552202688e+05	2.9425340098e-14
1.0552853510e+05	2.9176549511e-14
1.0553519492e+05	2.9167113644e-14
1.0554200987e+05	2.9153346720e-14
1.0554898355e+05	2.9141305028e-14
1.0555611968e+05	2.9132476697e-14
1.0556342202e+05	2.8891661235e-14
1.0557089446e+05	2.9105928419e-14
1.0557854095e+05	2.9083370964e-14
1.0558636556e+05	2.9060183476e-14
1.0559437242e+05	2.8816981893e-14
1.0560256579e+05	2.8798831473e-14
1.0561095000e+05	2.8773797471e-14
1.0561952951e+05	2.8740333296e-14
1.0562830886e+05	2.8703985085e-14
1.0563729271e+05	2.8463496171e-14
1.0564648582e+05	2.8634982509e-14
1.0565589306e+05	2.8594612776e-14
1.0566551943e+05	2.8549385643e-14
1.0567537002e+05	2.8304958732e-14
1.0568545006e+05	2.8264643348e-14
1.0569576490e+05	2.8419560172e-14
1.0570632000e+05	2.8368018429e-14
1.0571712096e+05	2.8116328280e-14
1.0572817351e+05	2.8262246285e-14
1.0573948350e+05	2.8206971372e-14
1.0575105694e+05	2.8144849788e-14
1.0576289996e+05	2.8081256503e-14
1.0577501883e+05	2.8020215665e-14
1.0578742000e+05	2.7956082030e-14
1.0580011002e+05	2.7885585880e-14
1.0581309563e+05	2.7815005962e-14
1.0582638371e+05	2.7746093281e-14
1.0583998132e+05	2.7856589562e-14
1.0585389565e+05	2.7595848317e-14
1.0586813409e+05	2.7698991842e-14
1.0588270418e+05	2.7621195487e-14
1.0589761366e+05	2.7539062632e-14
1.0591287042e+05	2.7458822147e-14
1.0592848256e+05	2.7545007243e-14
1.0594445835e+05	2.7457654922e-14
1.0596080627e+05	2.7371499684e-14
1.0597753497e+05	2.7286712367e-14
1.0599465334e+05	2.7354360880e-14
1.0601217045e+05	2.7263783848e-14
1.0603009558e+05	2.7172453220e-14
1.0604843824e+05	2.7230231225e-14
1.0606720816e+05	2.7134564119e-14
1.0608641529e+05	2.7034963115e-14
1.0610606981e+05	2.7085713805e-14
1.0612618213e+05	2.6982762764e-14
1.0614676294e+05	2.7027166874e-14
1.0616782314e+05	2.6918046748e-14
1.0618937388e+05	2.6805944849e-14
1.0621142662e+05	2.6844053867e-14
1.0623399302e+05	2.6728466015e-14
1.0625708507e+05	2.6758457532e-14
1.0628071499e+05	2.6789820273e-14
1.0630489533e+05	2.6523027685e-14
1.0632963890e+05	2.6542447578e-14
1.0635495882e+05	2.6560832966e-14
1.0638086852e+05	2.6443502600e-14
1.0640738174e+05	2.6460392341e-14
1.0643451252e+05	2.6335070884e-14
1.0646227527e+05	2.6335430001e-14
1.0649068469e+05	2.6335436734e-14
1.0651975585e+05	2.6339003417e-14
1.0654950417e+05	2.6345692499e-14
1.0657994541e+05	2.6221668962e-14
1.0661109572e+05	2.6215412007e-14
1.0664297161e+05	2.6069722890e-14
1.0667558999e+05	2.6045640925e-14
1.0670896815e+05	2.6021120661e-14
1.0674312379e+05	2.6002302591e-14
1.0677807501e+05	2.5990389393e-14
1.0681384035e+05	2.5861374490e-14
1.0685043878e+05	2.5968857418e-14
1.0688788969e+05	2.5829667164e-14
