E, cm-1	Sigma_00, cm2	
1.0524308370e+05	3.8371693594e-14
1.0524308907e+05	3.8052740094e-14
1.0524309450e+05	4.8696857608e-14
1.0524310000e+05	4.8596148944e-14
1.0524310555e+05	4.8494251181e-14
1.0524311118e+05	4.8391114451e-14
1.0524311686e+05	4.8286687464e-14
1.0524312262e+05	4.8180917503e-14
1.0524312844e+05	4.8073750412e-14
1.0524313432e+05	4.7965130599e-14
1.0524314028e+05	4.7855001034e-14
1.0524314630e+05	4.7743303244e-14
1.0524315240e+05	4.7629977319e-14
1.0524315856e+05	4.7514961917e-14
1.0524316480e+05	4.7398194270e-14
1.0524317111e+05	4.7279610193e-14
1.0524317749e+05	4.7159144099e-14
1.0524318395e+05	4.7036729008e-14
1.0524319048e+05	4.6912296574e-14
1.0524319708e+05	4.6785777093e-14
1.0524320376e+05	4.6657099541e-14
1.0524321052e+05	4.6526191590e-14
1.0524321736e+05	4.6392979643e-14
1.0524322428e+05	4.6257388869e-14
1.0524323128e+05	4.6119343241e-14
1.0524323835e+05	4.5978765572e-14
1.0524324551e+05	4.5835577566e-14
1.0524325276e+05	4.5689699868e-14
1.0524326008e+05	4.5541052112e-14
1.0524326750e+05	4.5389552986e-14
1.0524327499e+05	4.5235120290e-14
1.0524328258e+05	4.5077671004e-14
1.0524329025e+05	4.4917121360e-14
1.0524329801e+05	4.4753386922e-14
1.0524330586e+05	4.4586382665e-14
1.0524331380e+05	4.4416023060e-14
1.0524332184e+05	4.4242222173e-14
1.0524332997e+05	4.4064893756e-14
1.0524333819e+05	4.3883951355e-14
1.0524334650e+05	4.3699308419e-14
1.0524335491e+05	4.3510878409e-14
1.0524336342e+05	4.3318574929e-14
1.0524337203e+05	4.3122311843e-14
1.0524338074e+05	4.2922003414e-14
1.0524338955e+05	4.2717564440e-14
1.0524339846e+05	4.6231806053e-14
1.0524340748e+05	4.6158636183e-14
1.0524341659e+05	4.6085016194e-14
1.0524342582e+05	4.6010906678e-14
1.0524343515e+05	4.5936266167e-14
1.0524344459e+05	4.5861051061e-14
1.0524345414e+05	4.5785215564e-14
1.0524346380e+05	4.5708711616e-14
1.0524347357e+05	4.5631488829e-14
1.0524348345e+05	4.5553494419e-14
1.0524349345e+05	4.5474673145e-14
1.0524350356e+05	4.5394967244e-14
1.0524351379e+05	4.5314316373e-14
1.0524352414e+05	4.5232657549e-14
1.0524353461e+05	4.5149925094e-14
1.0524354520e+05	4.5066050578e-14
1.0524355592e+05	4.4980962774e-14
1.0524356675e+05	4.4894587604e-14
1.0524357772e+05	4.4806848099e-14
1.0524358881e+05	4.4717664361e-14
1.0524360002e+05	4.4626953520e-14
1.0524361137e+05	4.4534629714e-14
1.0524362285e+05	4.4440604053e-14
1.0524363447e+05	4.4344784605e-14
1.0524364621e+05	4.4247076379e-14
1.0524365809e+05	4.4147381321e-14
1.0524367012e+05	4.4045598310e-14
1.0524368228e+05	4.3941623166e-14
1.0524369458e+05	4.3835348665e-14
1.0524370702e+05	4.3726664559e-14
1.0524371961e+05	4.3615457614e-14
1.0524373234e+05	4.3501611644e-14
1.0524374522e+05	4.3385007568e-14
1.0524375825e+05	4.3265523469e-14
1.0524377143e+05	4.3143034665e-14
1.0524378476e+05	4.3017413798e-14
1.0524379825e+05	4.2888530924e-14
1.0524381189e+05	4.2756253626e-14
1.0524382569e+05	4.2620447134e-14
1.0524383966e+05	4.2480974464e-14
1.0524385378e+05	4.2337696561e-14
1.0524386806e+05	4.2190472470e-14
1.0524388252e+05	4.2039159512e-14
1.0524389714e+05	4.1883613480e-14
1.0524391192e+05	4.1723688853e-14
