E, cm-1	Sigma_00, cm2	
1.052473e+05	4.381188e-14
1.052519e+05	4.336359e-14
1.052565e+05	4.262645e-14
1.052612e+05	4.187218e-14
1.052658e+05	4.144691e-14
1.052704e+05	4.089833e-14
1.052751e+05	4.054006e-14
1.052797e+05	4.013942e-14
1.052844e+05	3.987973e-14
1.052890e+05	3.961041e-14
1.052936e+05	3.927297e-14
1.052983e+05	3.907884e-14
1.053029e+05	3.886189e-14
1.053075e+05	3.860081e-14
1.053122e+05	3.841142e-14
1.053168e+05	3.819701e-14
1.053214e+05	3.799370e-14
1.053261e+05	3.779846e-14
1.053307e+05	3.761027e-14
1.053354e+05	3.742808e-14
1.053400e+05	3.725051e-14
1.053446e+05	3.707843e-14
1.053493e+05	3.691402e-14
1.053539e+05	3.675753e-14
1.053585e+05	3.660679e-14
1.053632e+05	3.645177e-14
1.053678e+05	3.631749e-14
1.053725e+05	3.618901e-14
1.053771e+05	3.606720e-14
1.053817e+05	3.595242e-14
1.053864e+05	3.583482e-14
1.053910e+05	3.573268e-14
1.053956e+05	3.563643e-14
1.054003e+05	3.554293e-14
1.054049e+05	3.545250e-14
1.054096e+05	3.535972e-14
1.054142e+05	3.527535e-14
1.054188e+05	3.519232e-14
1.054235e+05	3.511169e-14
1.054281e+05	3.503063e-14
1.054327e+05	3.494647e-14
1.054374e+05	3.486120e-14
1.054420e+05	3.478364e-14
1.054466e+05	3.470627e-14
1.054513e+05	3.462884e-14
1.054559e+05	3.455205e-14
1.054606e+05	3.447441e-14
1.054652e+05	3.439734e-14
1.054698e+05	3.432613e-14
1.054745e+05	3.425641e-14
1.054791e+05	3.418945e-14
1.054837e+05	3.412089e-14
1.054930e+05	3.399406e-14
1.054977e+05	3.393526e-14
1.055023e+05	3.387463e-14
1.055116e+05	3.376414e-14
1.055162e+05	3.370638e-14
1.055208e+05	3.365373e-14
1.055301e+05	3.354532e-14
1.055348e+05	3.348944e-14
1.055440e+05	3.338644e-14
1.055487e+05	3.333332e-14
1.055579e+05	3.323030e-14
1.055626e+05	3.317778e-14
1.055718e+05	3.308227e-14
1.055765e+05	3.303392e-14
1.055858e+05	3.294248e-14
1.055950e+05	3.285351e-14
1.056043e+05	3.276860e-14
1.056089e+05	3.272746e-14
1.056182e+05	3.264605e-14
1.056275e+05	3.256598e-14
1.056368e+05	3.248589e-14
1.056460e+05	3.240845e-14
1.056553e+05	3.233206e-14
1.056646e+05	3.225748e-14
1.056739e+05	3.218342e-14
1.056831e+05	3.211204e-14
1.056970e+05	3.200953e-14
1.057063e+05	3.194354e-14
1.057156e+05	3.187722e-14
1.057295e+05	3.178190e-14
1.057388e+05	3.171983e-14
1.057527e+05	3.162644e-14
1.057620e+05	3.156631e-14
1.057759e+05	3.147797e-14
1.057851e+05	3.142136e-14
1.057991e+05	3.133698e-14
1.058130e+05	3.125574e-14
1.058269e+05	3.117631e-14
1.058408e+05	3.109951e-14
1.058547e+05	3.102239e-14
1.058686e+05	3.094763e-14
1.058825e+05	3.087487e-14
1.058964e+05	3.080396e-14
1.059150e+05	3.071200e-14
1.059289e+05	3.064470e-14
1.059428e+05	3.057783e-14
1.059614e+05	3.049145e-14
1.059753e+05	3.042810e-14
1.059938e+05	3.034559e-14
1.060124e+05	3.026525e-14
1.060309e+05	3.018695e-14
1.060495e+05	3.010953e-14
1.060680e+05	3.003510e-14
1.060866e+05	2.996177e-14
1.061051e+05	2.988934e-14
1.061283e+05	2.980231e-14
1.061468e+05	2.973341e-14
1.061700e+05	2.965057e-14
1.061886e+05	2.958534e-14
1.062118e+05	2.950564e-14
1.062349e+05	2.942838e-14
1.062581e+05	2.935076e-14
1.062813e+05	2.927621e-14
1.063045e+05	2.920537e-14
1.063277e+05	2.913540e-14
1.063555e+05	2.904797e-14
1.063787e+05	2.897745e-14
1.064065e+05	2.890280e-14
1.064343e+05	2.882995e-14
1.064622e+05	2.875317e-14
1.064900e+05	2.867308e-14
1.065178e+05	2.859346e-14
1.065503e+05	2.851085e-14
1.065781e+05	2.844740e-14
1.066105e+05	2.837905e-14
1.066430e+05	2.830915e-14
1.066755e+05	2.823086e-14
1.067079e+05	2.814698e-14
1.067450e+05	2.805124e-14
1.067775e+05	2.797357e-14
1.068146e+05	2.789678e-14
1.068517e+05	2.783136e-14
1.068888e+05	2.777133e-14
1.069259e+05	2.771248e-14
1.069676e+05	2.763886e-14
1.070047e+05	2.756565e-14
1.070464e+05	2.747594e-14
1.070881e+05	2.738260e-14
1.071299e+05	2.729095e-14
1.071762e+05	2.719540e-14
1.072226e+05	2.711511e-14
1.072690e+05	2.704666e-14
1.073154e+05	2.698935e-14
1.073617e+05	2.693898e-14
1.074127e+05	2.688440e-14
1.074637e+05	2.682887e-14
1.075148e+05	2.676590e-14
1.075658e+05	2.669395e-14
1.076214e+05	2.660511e-14
1.076770e+05	2.650882e-14
1.077327e+05	2.640773e-14
1.077930e+05	2.629940e-14
1.078486e+05	2.620233e-14
1.079089e+05	2.610829e-14
1.079738e+05	2.601797e-14
1.080387e+05	2.594215e-14
1.081036e+05	2.588101e-14
1.081686e+05	2.583074e-14
1.082381e+05	2.578435e-14
1.083077e+05	2.574497e-14
1.083772e+05	2.570468e-14
1.084514e+05	2.566053e-14
1.085256e+05	2.560969e-14
1.085998e+05	2.554927e-14
1.086786e+05	2.547507e-14
1.087621e+05	2.538640e-14
1.088409e+05	2.529428e-14
1.089244e+05	2.518641e-14
1.090125e+05	2.506908e-14
1.091006e+05	2.495146e-14
