E, cm-1	Sigma_00, cm2	
1.052473e+05	4.381188e-14
1.052474e+05	4.350902e-14
1.052475e+05	4.317502e-14
1.052476e+05	4.280732e-14
1.052477e+05	4.466165e-14
1.052478e+05	4.451075e-14
1.052479e+05	4.434360e-14
1.052481e+05	4.415809e-14
1.052482e+05	4.395196e-14
1.052483e+05	4.372273e-14
1.052485e+05	4.346776e-14
1.052486e+05	4.318429e-14
1.052487e+05	4.435990e-14
1.052489e+05	4.423632e-14
1.052490e+05	4.409893e-14
1.052492e+05	4.394588e-14
1.052493e+05	4.377520e-14
1.052495e+05	4.358471e-14
1.052496e+05	4.418120e-14
1.052498e+05	4.408866e-14
1.052500e+05	4.398711e-14
1.052501e+05	4.387543e-14
1.052503e+05	4.375190e-14
1.052505e+05	4.361433e-14
1.052507e+05	4.396244e-14
1.052509e+05	4.388856e-14
1.052511e+05	4.380732e-14
1.052513e+05	4.371717e-14
1.052515e+05	4.361639e-14
1.052517e+05	4.350338e-14
1.052519e+05	4.337733e-14
1.052521e+05	4.323775e-14
1.052523e+05	4.308269e-14
1.052525e+05	4.290792e-14
1.052528e+05	4.270899e-14
1.052530e+05	4.248275e-14
1.052532e+05	4.318160e-14
1.052535e+05	4.306562e-14
1.052537e+05	4.293276e-14
1.052540e+05	4.278127e-14
1.052543e+05	4.261008e-14
1.052545e+05	4.300014e-14
1.052548e+05	4.290569e-14
1.052551e+05	4.280046e-14
1.052554e+05	4.268211e-14
1.052557e+05	4.254729e-14
1.052560e+05	4.277363e-14
1.052563e+05	4.269066e-14
1.052566e+05	4.259911e-14
1.052569e+05	4.249697e-14
1.052573e+05	4.259069e-14
1.052576e+05	4.251846e-14
1.052580e+05	4.244483e-14
1.052583e+05	4.235938e-14
1.052587e+05	4.226486e-14
1.052591e+05	4.215929e-14
1.052595e+05	4.204051e-14
1.052598e+05	4.190618e-14
1.052602e+05	4.175365e-14
1.052607e+05	4.199662e-14
1.052611e+05	4.189454e-14
1.052615e+05	4.178080e-14
1.052620e+05	4.165458e-14
