 Non-adiabatic couplings for ArHe

       R       NACME12           NACME13           NACME14           NACME15           NACME23           NACME24       NACME25           NACME34           NACME35           NACME45
     1.97    0.02720249   -1.22198012E-02    1.49324860E-12    7.55789513E-03    2.29235866E-01    1.12457733E-12    0.02668105   -4.84715943E-11    6.52410239E-01   -3.45043703E-11
     1.98    0.02654111   -1.28308926E-02   -5.75489212E-12    7.32997621E-03    2.21755845E-01   -1.50569373E-12    0.02840287   -1.24565206E-11    6.79403767E-01    6.19194181E-11
     1.99    0.02588332   -1.34222275E-02    1.97603262E-12    7.08860861E-03    2.14451064E-01   -1.66106354E-10    0.03011642    3.12130761E-12    7.07382027E-01   -4.67033975E-13
     2.00    0.02522915   -1.39941071E-02    3.89827490E-12    6.83377489E-03    2.07315971E-01    7.19676902E-13    0.03181844   -3.46855192E-12    7.36341632E-01    2.44741573E-11
     2.01    0.02457867   -1.45467989E-02   -2.83041845E-13    6.56545232E-03    2.00345009E-01   -4.41239580E-12    0.03350566    9.93238082E-12    7.66271255E-01    6.06055588E-11
     2.02    0.02393193   -1.50805318E-02   -7.96294911E-14    6.28361791E-03    1.93532627E-01   -5.42301014E-13    0.03517477    2.61110485E-11    7.97150332E-01    2.60247346E-12
     2.03    0.02328899   -1.55954966E-02   -1.66612194E-13    5.98825059E-03    1.86873333E-01   -1.70348131E-12    0.03682246    3.32848431E-11    8.28947640E-01   -1.24776496E-11
     2.04    0.02264991   -1.60918501E-02   -1.38170522E-13    5.67933343E-03    1.80361701E-01    5.79909920E-13    0.03844537    3.09681867E-13    8.61619815E-01    4.90464040E-11
     2.05    0.02201474   -1.65697051E-02   -1.48516687E-12    5.35686183E-03    1.73992408E-01    1.66577151E-12    0.04004009   -3.44179061E-11    8.95109774E-01    2.25904744E-11
     2.06    0.02138353   -1.70291446E-02   -1.24372389E-13    5.02084374E-03    1.67760248E-01    1.01077026E-12    0.04160319   -1.38735116E-11    9.29345103E-01    1.01244750E-10
     2.07    0.02075636   -1.74702076E-02   -1.02214346E-13    4.67130837E-03    1.61660180E-01   -8.69633584E-12    0.04313119   -6.35952202E-11    9.64236471E-01   -3.44296871E-11
     2.08    0.02013326   -1.78929011E-02    1.67568943E-13    4.30831119E-03    1.55687337E-01    1.06079162E-11    0.04462055   -4.31778903E-11    9.99676102E-01    1.91382196E-11
     2.09    0.01951431   -1.82971949E-02    1.68858169E-13    3.93193910E-03    1.49837060E-01   -4.30252591E-13    0.04606771   -6.88904989E-11    1.03553634E+00   -3.46190644E-11
     2.10    0.01889953   -1.86830267E-02   -5.40182811E-14    3.54231929E-03    1.44104936E-01   -3.36156836E-14    0.04746904   -4.75559742E-10    1.07166845E+00   -2.56026689E-11
     2.15    0.01589020   -2.03312294E-02    6.61308183E-14    1.40365994E-03    1.17081947E-01    1.76928907E-11    0.05365929   -6.20520790E-10    1.24965477E+00    4.68183480E-11
     2.20    0.01299227    3.03871715E-14   -2.14971291E-02   -1.01161482E-03   -3.21305913E-14    9.25326244E-02    0.05815626    2.44315832E-10   -4.00522110E-10    1.40001137E+00
     2.25    0.01020974   -8.92862173E-14   -2.21687491E-02   -3.60414163E-03   -2.53354516E-11    7.03073313E-02    0.06057296    1.40057976E-11    5.95280209E-12    1.48670008E+00
     2.30    0.00754495    3.73952036E-13   -2.23665237E-02   -6.22506570E-03   -2.00241162E-13    5.04778236E-02    0.06072469   -4.97195955E-11   -1.34339714E-09    1.48321937E+00
     2.35    0.00499860    1.15388412E-12   -2.21600459E-02   -8.70967846E-03   -3.49362133E-11    3.32051828E-02    0.05873837    5.23437074E-11    9.39317476E-10    1.38941854E+00
     2.40    0.00256995   -2.94958268E-13   -2.16574537E-02   -1.09252732E-02    1.09557843E-13    1.85642741E-02    0.05503072   -1.56320679E-11   -3.30767983E-10    1.23158665E+00
     2.45    0.00025705    1.41588884E-13   -2.09745249E-02   -1.27999802E-02   -1.47074208E-10    6.44724577E-03    0.05015821    4.23091493E-11   -1.79343837E-10    1.04572066E+00
     2.50   -0.00194300   -7.01022763E-14   -2.02072194E-02   -1.43196457E-02   -9.96900911E-11   -3.41300789E-03    0.04465186   -2.28209073E-11   -7.80360536E-11    8.60948810E-01
     2.55   -0.00403380   -1.32189160E-13   -1.94211312E-02   -1.55068992E-02    1.01895985E-10   -1.13595120E-02    0.03892528    2.19833959E-11    2.21214252E-10    6.93730890E-01
     2.60   -0.00601944    9.87545506E-14   -1.86544153E-02   -1.64003589E-02    1.99845996E-13   -1.77366453E-02    0.03325952   -1.02568436E-09   -1.26244257E-10    5.50143670E-01
     2.65   -0.00790427   -3.15538441E-13   -1.79256447E-02   -1.70414275E-02   -5.68577539E-11   -2.28491815E-02    0.02782699    6.96890634E-11   -9.35807012E-12    4.30237365E-01
     2.70   -0.00969282    4.88123446E-14   -1.72412208E-02   -1.74680861E-02    9.01529371E-13   -2.69489817E-02    0.02272394    6.60842591E-11   -3.20295345E-11    3.31401036E-01
     2.75   -0.01138962    7.91695946E-14   -1.66006868E-02   -1.77128956E-02    7.13487818E-13   -3.02366729E-02    0.01799771    8.04054513E-10    3.11800302E-10    2.50270031E-01
     2.80   -0.01299915    2.85093396E-13   -1.60000741E-02   -1.78029989E-02    1.31593073E-10   -3.28690928E-02    0.01366593    1.49921472E-10   -1.21595088E-10    1.83606883E-01
     2.85   -0.01452576    3.05814863E-13   -1.54338726E-02   -1.77608638E-02   -5.92483579E-13   -3.49678364E-02    0.00972893   -1.43096301E-10    1.60422631E-11    1.28621928E-01
     2.90   -0.01597365    5.26386338E-14   -1.48961391E-02   -1.76051945E-02    7.96797882E-11   -3.66269525E-02    0.00617741   -2.20717153E-12    8.84604257E-13    8.30322812E-02
     3.00   -0.01864893    4.00337061E-13   -1.38834782E-02   -1.70141421E-02    8.88048399E-11   -3.89014720E-02    0.00017044   -2.69207124E-10    3.43754480E-10    1.31393933E-02
     3.10   -0.02105387   -4.19169903E-14   -1.29225665E-02   -1.61324555E-02   -4.36898879E-12   -4.01031701E-02   -0.00449312    1.11545395E-10    2.01163340E-10   -3.64681180E-02
     3.20   -0.02321333   -2.85244012E-13   -1.19846112E-02   -1.50412912E-02    2.27908093E-10   -4.04866890E-02   -0.00795971   -1.62872348E-10    6.01132399E-12   -7.22202940E-02
     3.30   -0.02514845   -7.18742271E-14   -1.10516896E-02   -1.38085115E-02    7.98337029E-13   -4.02166956E-02   -0.01037246   -8.52611007E-12    2.88978847E-11   -9.81505955E-02
     3.40   -0.02687737   -4.35880983E-13   -1.01155076E-02   -1.24923762E-02   -2.07092974E-12   -3.94063285E-02   -0.01186891    1.20234746E-10   -7.13602548E-10   -1.16860669E-01
     3.50   -0.02841602   -2.18372791E-13   -9.17560869E-03   -1.11428750E-02    5.72664860E-13   -3.81398092E-02   -0.01258075    8.49268275E-13    4.06376783E-10   -1.30088958E-01
     3.60   -0.02977885   -1.60256989E-13   -8.23735235E-03   -9.80201915E-03   -9.20954746E-11   -3.64858009E-02   -0.01263375    3.63461932E-11   -3.12516897E-11   -1.39043382E-01
