 Non-adiabatic couplings for ArHe

       R       NACME12           NACME13           NACME23           NACME14           NACME24           NACME34
     1.97    0.23670376   -1.66365577E-02    1.91511731E+00    1.38242667E-10    8.87907420E-11    1.48590536E-09
     1.98    0.22881486   -2.01432440E-02    2.09391926E+00   -1.40381850E-11    3.54914999E-11   -3.19427724E-10
     1.99    0.22102195   -2.38445576E-02    2.28907860E+00   -2.34225181E-11   -7.49553315E-10   -1.95491875E-11
     2.00    0.21330045   -2.77379263E-02    2.50019787E+00    2.08989545E-11   -4.94640399E-11    1.43398676E-10
     2.01    0.20562377   -3.18145736E-02    2.72578765E+00    2.10028780E-10   -4.24102328E-11    1.33545581E-10
     2.02    0.19796407   -3.60572339E-02    2.96284766E+00   -4.80069873E-11    3.54627024E-11   -6.55012893E-11
     2.03    0.19029351   -4.04376575E-02    3.20643378E+00   -8.20570978E-11   -2.14591017E-12    1.66940887E-10
     2.04    0.18258645   -4.49142192E-02    3.44931033E+00   -6.77377276E-11   -2.36911416E-11    9.05993867E-11
     2.05    0.17482232   -4.94301963E-02    3.68184322E+00   -2.88663292E-11    1.14568515E-10   -2.71357615E-09
     2.06    0.16698934   -5.39134208E-02    3.89232450E+00   -9.69588980E-14   -1.19034426E-11    2.18485845E-10
     2.07    0.15908841   -5.82780878E-02    4.06788862E+00   -7.64984016E-13   -2.09418086E-11    7.22025547E-10
     2.08    0.15113638   -6.24291620E-02    4.19604332E+00    2.35710120E-11   -3.42379538E-11   -7.80965826E-11
     2.09    0.14316754   -6.62693376E-02    4.26659880E+00   -6.29179732E-13   -6.09985946E-11    1.72682574E-09
     2.10    0.13523245   -6.97076391E-02    4.27352718E+00   -3.37731732E-11    2.09778749E-11   -2.27338382E-10
     2.15   -0.09828419   -7.90311390E-02   -3.49808253E+00    3.98724867E-11    1.44879226E-11   -8.92991524E-10
     2.20   -0.06958845   -3.80786246E-02   -1.21415234E+00   -3.81854814E-02   -1.10998771E+00    4.99876627E+01
     2.25   -0.04892773    1.46653078E-12   -3.12890052E-10   -6.70703959E-02   -1.48256042E+00    8.68969532E-11
     2.30   -0.03377059    5.67435845E-13   -2.45024239E-11   -5.56716772E-02   -9.69317176E-01    5.93767190E-11
     2.35   -0.02218709   -2.26257979E-11   -4.09215526E-11   -4.39848242E-02   -6.56249650E-01    7.98371032E-11
     2.40   -0.01302471    3.30380693E-11    5.74575893E-10   -3.27744334E-02   -4.57124811E-01    4.82445650E-11
     2.45   -0.00560180    1.90867299E-13    1.77849019E-10   -2.23229597E-02   -3.24223566E-01   -3.35302992E-11
     2.50    0.00050700    2.19986867E-10   -4.29997676E-11   -1.27134890E-02   -2.31436527E-01    3.60336324E-10
     2.55    0.00558553   -6.48123327E-11    1.83020383E-11   -3.94625001E-03   -1.64013062E-01    3.26413064E-11
     2.60    0.00983513    5.87047605E-13    1.18399339E-10    4.01170708E-03   -1.13268085E-01    5.69948901E-11
     2.65    0.01340572   -4.60283653E-13   -1.46658600E-10    1.12046670E-02   -7.38759747E-02   -2.13665111E-11
     2.70    0.01641286    5.94078341E-11    4.75386142E-10    1.76785528E-02   -4.24484279E-02   -6.48920595E-11
     2.75    0.01894764   -2.72206827E-10   -1.22227751E-09    2.34768442E-02   -1.67583904E-02   -5.50461550E-12
