 Non-adiabatic couplings for ArHe

       R       NACME12           NACME13       NACME23
     1.97    0.04488410    1.59314434E-01   -0.33176792
     1.98    0.04260274    1.55071395E-01   -0.34011754
     1.99    0.04054042    1.50909134E-01   -0.34845706
     2.00    0.03866867    1.46826187E-01   -0.35676551
     2.01    0.03696329    1.42821109E-01   -0.36502098
     2.02    0.03540357    1.38892478E-01   -0.37320070
     2.03    0.03397168    1.35038903E-01   -0.38128113
     2.04    0.03265222    1.31259022E-01   -0.38923805
     2.05    0.03143178    1.27551504E-01   -0.39704670
     2.06    0.03029870    1.23915046E-01   -0.40468186
     2.07    0.02924274    1.20348384E-01   -0.41211811
     2.08    0.02825490    1.16850285E-01   -0.41932989
     2.09    0.02732724    1.13419544E-01   -0.42629175
     2.10    0.02645273    1.10054998E-01   -0.43297852
     2.15    0.02268158    9.41864133E-02   -0.46145181
     2.20    0.01954215    7.98142508E-02   -0.47980966
     2.25    0.01670666    6.68216576E-02   -0.48647430
     2.30    0.01399334    5.51015273E-02   -0.48138360
     2.35    0.01131311    4.45526421E-02   -0.46604233
     2.40    0.00863618    3.50779292E-02   -0.44315839
     2.45    0.00596862    2.65846159E-02   -0.41602018
     2.50    0.00333478    1.89855230E-02   -0.38785704
     2.55    0.00076498    1.22005944E-02   -0.36137314
     2.60   -0.00171229    6.15801007E-03   -0.33852448
     2.65   -0.00407438    7.94551418E-04   -0.32050501
     2.70   -0.00630575   -3.94469484E-03   -0.30786020
     2.75   -0.00839761   -8.10716256E-03   -0.30065055
     2.80   -0.01034660   -1.17338561E-02   -0.29861155
     2.85   -0.01215338   -1.48605352E-02   -0.30128425
     2.90   -0.01382106   -1.75188360E-02   -0.30810926
     3.00   -0.01675707   -2.15423062E-02   -0.33180774
     3.10   -0.01918938   -2.40107648E-02   -0.36488089
     3.20   -0.02114008   -2.51173604E-02   -0.40256565
     3.30   -0.02261146   -2.50579112E-02   -0.44005394
     3.40   -0.02358794   -2.40407335E-02   -0.47249288
     3.50   -0.02404484   -2.22888091E-02   -0.49538328
     3.60   -0.02396161   -2.00324559E-02   -0.50535810
     3.70   -0.02333570    1.74931621E-02    0.50098762
     3.80   -0.02219215    1.48639202E-02    0.48311666
     3.90   -0.02058512    1.22938764E-02    0.45447194
     4.00   -0.01859161    9.88286024E-03    0.41873908
     4.10   -0.01630063    7.68591622E-03    0.37958287
     4.20   -0.01380217    5.72376600E-03    0.33998910
     4.30   -0.01117920    3.99445641E-03    0.30202363
     4.40   -0.00850319    2.48319447E-03    0.26689464
     4.50   -0.00583272    1.16924323E-03    0.23515386
     4.60   -0.00321407    3.02793066E-05    0.20691578
     4.70   -0.00068187   -9.53886026E-04    0.18203543
     4.80    0.00173681   -1.80614251E-03    0.16024332
     4.90    0.00402481   -2.54258363E-03    0.14121115
     5.00    0.00617078   -3.17875221E-03    0.12460806
     5.10    0.00816872   -3.72818132E-03    0.11012192
     5.20    0.01001683   -4.20262806E-03    0.09747028
     5.30    0.01171667   -4.61225168E-03    0.08640378
     5.40    0.01327225   -4.96584253E-03    0.07670560
     5.50    0.01468943   -5.27099422E-03    0.06818895
     5.60    0.01597533   -5.53426850E-03    0.06069383
     5.70    0.01713792   -5.76134280E-03    0.05408356
     5.80    0.01818560   -5.95712143E-03    0.04824151
     5.90    0.01912693   -6.12584113E-03    0.04306813
     6.00    0.01997046   -6.27117296E-03    0.03847833
     6.20    0.02139696   -6.50387980E-03    0.03076826
     6.40    0.02252713   -6.67577632E-03    0.02464266
     6.60    0.02341577   -6.80221175E-03    0.01975229
     6.80    0.02410974   -6.89468380E-03    0.01583377
     7.00    0.02464832   -6.96183503E-03    0.01268607
     7.20    0.02506389   -7.01017945E-03    0.01015389
     7.40    0.02538285   -7.04463633E-03    0.00811595
     7.60    0.02562650   -7.06892187E-03    0.00647640
     7.80    0.02581186   -7.08582638E-03    0.00515877
     8.00    0.02595243   -7.09743432E-03    0.00410150
     8.20    0.02605874   -7.10528497E-03    0.00325472
     8.40    0.02613900   -7.11049988E-03    0.00257784
     8.60    0.02619951   -7.11388578E-03    0.00203783
     8.80    0.02624505   -7.11601401E-03    0.00160784
     9.00    0.02627927   -7.11728622E-03    0.00126605
     9.20    0.02630492   -7.11797955E-03    0.00099484
     9.40    0.02632408   -7.11828737E-03    0.00078002
     9.60    0.02633832   -7.11834264E-03    0.00061020
     9.80    0.02634885   -7.11823761E-03    0.00047624
    10.00    0.02635658   -7.11803830E-03    0.00037083
    10.50    0.02637461   -7.11700000E-03    0.00020449
    11.00    0.02637264   -7.11677403E-03    0.00010314
