 Non-adiabatic couplings for ArHe

       R       NACME12       NACME13           NACME23
     1.97    0.07639250    0.16265752   -2.34792462E-01
     1.98    0.07140601    0.15842075   -2.40748244E-01
     1.99    0.06694920    0.15426158   -2.46739586E-01
     2.00    0.06294875    0.15017873   -2.52753183E-01
     2.01    0.05934342    0.14617088   -2.58775225E-01
     2.02    0.05608172    0.14223675   -2.64791391E-01
     2.03    0.05312011    0.13837502   -2.70786854E-01
     2.04    0.05042155    0.13458441   -2.76746310E-01
     2.05    0.04795435    0.13086363   -2.82654013E-01
     2.06    0.04569130    0.12721143   -2.88493817E-01
     2.07    0.04360888    0.12362658   -2.94249257E-01
     2.08    0.04168672    0.12010787   -2.99903599E-01
     2.09    0.03990706    0.11665409   -3.05439946E-01
     2.10    0.03825437    0.11326409   -3.10841313E-01
     2.15    0.03147143    0.09723203   -3.35237034E-01
     2.20    0.02637038    0.08263533   -3.53863921E-01
     2.25    0.02226133    0.06935673   -3.65220736E-01
     2.30    0.01874307    0.05729084   -3.68633810E-01
     2.35    0.01558079    0.04634100   -3.64451537E-01
     2.40    0.01264133    0.03641727   -3.53997206E-01
     2.45    0.00985469    0.02743555   -3.39294488E-01
     2.50    0.00718924    0.01931771   -3.22669599E-01
     2.55    0.00463477    0.01199220   -3.06365642E-01
     2.60    0.00219114    0.00539465   -2.92268782E-01
     2.65   -0.00013876   -0.00053175   -2.81780611E-01
     2.70   -0.00235298   -0.00583638   -2.75815126E-01
     2.75   -0.00445224   -0.01056159   -2.74874078E-01
     2.80   -0.00644023   -0.01474346   -2.79153688E-01
     2.85   -0.00832318   -0.01841258   -2.88649760E-01
     2.90   -0.01010914   -0.02159494   -3.03243012E-01
     3.00   -0.01342607   -0.02658508   -3.46987356E-01
     3.10   -0.01646013   -0.02985843   -4.08648237E-01
     3.20   -0.01926089   -0.03153129   -4.85646726E-01
     3.30   -0.02183872   -0.03171512   -5.73079705E-01
     3.40   -0.02414713   -0.03054947   -6.61621786E-01
     3.50   -0.02607346   -0.02824453   -7.36503722E-01
     3.60   -0.02745361   -0.02511340   -7.80363832E-01
     3.70   -0.02812230    0.02155277    7.80937802E-01
     3.80   -0.02798130    0.01795588    7.38506672E-01
     3.90   -0.02704057    0.01461228    6.65565728E-01
     4.00   -0.02540558    0.01166825    5.79024512E-01
     4.10   -0.02323111    0.00915544    4.92614722E-01
     4.20   -0.02067719    0.00704243    4.14198746E-01
     4.30   -0.01788435    0.00527443    3.46772537E-01
     4.40   -0.01496574    0.00379448    2.90459783E-01
     4.50   -0.01200839    0.00255186    2.44084746E-01
     4.60   -0.00907756    0.00150432    2.06081971E-01
     4.70   -0.00622140    0.00061879    1.74925347E-01
     4.80   -0.00347449   -0.00013491    1.49291731E-01
     4.90   -0.00086101   -0.00077763    1.28091187E-01
     5.00    0.00160313   -0.00132735    1.10451097E-01
     5.10    0.00390862   -0.00179873    9.56806411E-02
     5.20    0.00605130   -0.00220380    8.32350333E-02
     5.30    0.00803107   -0.00255252    7.26843918E-02
     5.40    0.00985090   -0.00285319    6.36883625E-02
     5.50    0.01151608   -0.00311274    5.59761747E-02
     5.60    0.01303353   -0.00333703    4.93311881E-02
     5.70    0.01441131   -0.00353100    4.35790111E-02
     5.80    0.01565815   -0.00369885    3.85783730E-02
     5.90    0.01678311   -0.00384417    3.42141034E-02
     6.00    0.01779536   -0.00397001    3.03916884E-02
     6.20    0.01951754   -0.00417337    2.40735539E-02
     6.40    0.02089294   -0.00432578    1.91434872E-02
     6.60    0.02198283   -0.00443979    1.52627120E-02
     6.80    0.02284038   -0.00452478    1.21871788E-02
     7.00    0.02351074   -0.00458783    9.73758541E-03
     7.20    0.02403162   -0.00463435    7.77980728E-03
     7.40    0.02443415   -0.00466844    6.21181305E-03
     7.60    0.02474372   -0.00469325    4.95479472E-03
     7.80    0.02498080   -0.00471117    3.94702808E-03
     8.00    0.02516174   -0.00472403    3.13959759E-03
     8.20    0.02529947   -0.00473319    2.49337871E-03
     8.40    0.02540406   -0.00473965    1.97687833E-03
     8.60    0.02548333   -0.00474418    1.56466103E-03
     8.80    0.02554329   -0.00474731    1.23616980E-03
     9.00    0.02558854   -0.00474944    9.74794638E-04
     9.20    0.02562257   -0.00475086    7.67148110E-04
     9.40    0.02564808   -0.00475177    6.02465905E-04
     9.60    0.02566710   -0.00475233    4.72099417E-04
     9.80    0.02568121   -0.00475265    3.69121598E-04
    10.00    0.02569160   -0.00475279    2.87967315E-04
    10.50    0.02571000   -0.00475266    1.59547000E-04
    11.00    0.02571356   -0.00475254    8.10171876E-05
