 Non-adiabatic couplings for ArHe

       R           NACME12
     1.97   -9.95918132E-11
     1.98    4.13153749E-09
     1.99    2.51544274E-10
     2.00    9.09485434E-10
     2.01    3.51889894E-10
     2.02    1.54638520E-10
     2.03   -5.26083077E-10
     2.04    4.85478398E-11
     2.05   -3.93853306E-10
     2.06    1.35885501E-10
     2.07   -3.08176067E-10
     2.08   -4.21272518E-11
     2.09    3.16660238E-10
     2.10    1.26968923E-10
     2.15    1.87476233E-10
     2.20   -4.47283160E-10
     2.25    2.25977743E-10
     2.30   -1.81043806E-10
     2.35    1.86564007E-10
     2.40    8.30095243E-10
     2.45    2.49054245E-10
     2.50    2.25633016E-10
     2.55   -3.74028200E-10
     2.60   -1.22413808E-10
     2.65    1.16568390E-10
     2.70    1.71153815E-10
     2.75   -1.54678294E-10
     2.80    7.92722618E-11
     2.85   -4.52418558E-10
     2.90   -2.01625967E-10
     3.00    3.73484076E-10
     3.10   -1.19060689E-10
     3.20   -2.21364388E-11
     3.30   -3.09918035E-10
     3.40   -2.87975339E-10
     3.50    2.31641359E-10
     3.60   -4.62261630E-10
     3.70   -5.52246067E-09
     3.80    1.89369267E-10
     3.90   -3.06250476E-10
     4.00    1.89521215E-09
     4.10    1.56386283E-10
     4.20   -1.53724774E-10
     4.30   -3.49398736E-10
     4.40    3.12512906E-10
     4.50    1.11463966E-10
     4.60   -4.27550864E-11
     4.70   -6.43752115E-11
     4.80   -3.82250465E-10
     4.90    1.60594844E-10
     5.00    1.83658064E-10
     5.10    8.12877149E-11
     5.20   -4.51376639E-10
     5.30    1.95216740E-10
     5.40   -2.76899795E-11
     5.50    1.65940643E-10
     5.60    5.90025438E-11
     5.70   -3.75240351E-11
     5.80    7.30426161E-11
     5.90   -2.49522024E-10
     6.00   -1.45739872E-10
     6.20   -1.29215593E-10
     6.40    1.10615090E-11
     6.60    5.78484788E-11
     6.80   -1.05126771E-10
     7.00    1.69050613E-10
     7.20    4.79800673E-11
     7.40    4.98555641E-10
     7.60    9.04511674E-10
     7.80   -1.04671812E-10
     8.00    1.96374650E-10
     8.20    2.19505784E-10
     8.40    5.08469966E-10
     8.60   -8.00160685E-11
     8.80   -5.93855226E-11
     9.00    2.40743806E-10
     9.20    2.34518131E-10
     9.40   -8.10304672E-11
     9.60   -9.75201072E-11
     9.80   -1.65117251E-10
    10.00    2.18505622E-10
    10.50    6.49807000E-11
    11.00   -4.99264619E-12
