 Non-adiabatic couplings for ArHe

       R           NACME12
     1.97    1.47694703E-10
     1.98   -2.25375340E-09
     1.99    2.07977342E-10
     2.00   -2.79006644E-10
     2.01   -3.63499404E-12
     2.02   -1.17195702E-10
     2.03   -3.79820059E-10
     2.04    7.35434053E-10
     2.05    3.23337908E-10
     2.06    7.23224251E-11
     2.07    2.29751087E-10
     2.08    6.15739978E-10
     2.09    1.17312934E-10
     2.10   -1.13981043E-10
     2.15   -1.43578477E-10
     2.20    2.82815198E-10
     2.25   -2.14943737E-10
     2.30   -1.09517975E-10
     2.35    1.09803569E-10
     2.40    3.16151341E-11
     2.45   -1.99559247E-10
     2.50    1.08657826E-10
     2.55    2.96009580E-11
     2.60   -8.45617343E-11
     2.65    9.57844111E-11
     2.70   -1.76067967E-09
     2.75    4.66364290E-09
     2.80    3.50858753E-11
     2.85   -2.83569479E-11
     2.90   -9.65890075E-11
     3.00    9.91457803E-11
     3.10   -8.32522708E-11
     3.20   -1.70696423E-10
     3.30   -1.16363931E-10
     3.40    5.21058290E-12
     3.50    1.13735510E-10
     3.60    1.82433935E-11
     3.70   -1.14726351E-10
     3.80    9.17939197E-11
     3.90    1.32023281E-09
     4.00   -1.81270998E-10
     4.10   -1.69980641E-10
     4.20   -7.97385949E-11
     4.30    1.80814890E-11
     4.40   -1.08057278E-10
     4.50   -1.00030009E-11
     4.60   -2.33635139E-11
     4.70    5.73307579E-12
     4.80    8.05572030E-11
     4.90   -9.61000186E-11
     5.00   -6.74625969E-11
     5.10    2.31033396E-09
     5.20   -4.48070606E-11
     5.30    1.04701109E-10
     5.40   -6.97981092E-12
     5.50    1.48918496E-11
     5.60   -8.35059441E-11
     5.70    1.41302376E-10
     5.80    2.86186428E-11
     5.90   -1.24333142E-10
     6.00   -4.44998216E-11
     6.20   -1.13058856E-10
     6.40    1.18853251E-10
     6.60   -9.36298133E-11
     6.80   -8.58497085E-11
     7.00    8.64293707E-11
     7.20   -1.55246684E-10
     7.40   -6.26462893E-11
     7.60   -8.28196227E-11
     7.80   -1.04559718E-10
     8.00   -5.74353253E-11
     8.20    1.93946736E-10
     8.40    4.69975174E-11
     8.60    1.08625740E-10
     8.80    2.26235948E-11
     9.00    3.37872014E-10
     9.20    2.00546135E-10
     9.40    2.54890216E-11
     9.60    1.10851165E-11
     9.80    1.34451688E-10
    10.00    7.58369224E-11
    10.50   -6.70511000E-11
    11.00    9.10060923E-11
