# r	e1
1.97	5507.94
1.98	5296
1.99	5091.79
2	4895.02
2.01	4705.45
2.02	4522.83
2.03	4346.91
2.04	4177.45
2.05	4014.2
2.06	3857.01
2.07	3705.61
2.08	3559.82
2.09	3419.45
2.1	3284.28
2.15	2680.36
2.2	2181.56
2.25	1770.27
2.3	1431.76
2.35	1153.67
2.4	925.68
2.45	739.16
2.5	586.92
2.55	462.94
2.6	362.28
2.65	280.77
2.7	214.98
2.75	162.07
2.8	119.68
2.85	85.86
2.9	59.03
3	21.31
3.1	-1.42
3.2	-14.4
3.3	-21.17
3.4	-24.09
3.5	-24.6
3.6	-23.73
3.7	-22.13
3.8	-20.19
3.9	-18.13
4	-16.14
4.1	-14.26
4.2	-12.54
4.3	-11
4.4	-9.63
4.5	-8.42
4.6	-7.37
4.7	-6.45
4.8	-5.64
4.9	-4.96
5	-4.37
5.1	-3.85
5.2	-3.4
5.3	-3.02
5.4	-2.63
5.5	-2.33
5.6	-2.08
5.7	-1.85
5.8	-1.65
5.9	-1.47
6	-1.31
6.2	-1.07
6.4	-0.88
6.6	-0.74
6.8	-0.34
7	-0.26
7.2	-0.2
7.4	-0.15
7.6	-0.14
7.8	-0.09
8	-0.06
8.2	-0.08
8.4	-0.08
8.6	-0.06
8.8	-0.05
9	-0.05
9.2	-0.04
9.4	-0.03
9.6	-0.02
9.8	-0.03
10	-0.02
10.5	-0.01
11	0
