# R	H01	H02	H03	H04	H05	H06	H07	H08	H09	H010	H011	H012	H013	H014	H015	H016	H017	H018	H019	H020	H021	H022	H023	H024	H025
3.363719399999999915e+00 -5.295428388140968536e+02 -5.294976062962318792e+02 -5.294627489056335889e+02 -5.294672619490213492e+02 -5.295082101733250965e+02 -5.294975522685690521e+02 -5.294557530995823527e+02 -5.295082101733250965e+02 -5.294975522685690521e+02 -5.294557530995823527e+02 -5.294628222207423960e+02 -5.294586907265513673e+02 -5.299388657251025734e+02 -5.295377626698784752e+02 -5.294613430832226868e+02 -5.294935347760927016e+02 -5.294540110165664828e+02 -5.295027632004437237e+02 -5.294968913242094004e+02 -5.294550698274522347e+02 -5.295027632004437237e+02 -5.294968913242094004e+02 -5.294550698274522347e+02 -5.294610695814192241e+02 -5.294589409652166978e+02
3.373168049999999862e+00 -5.295431482468419517e+02 -5.294978339984163540e+02 -5.294637007970376317e+02 -5.294682083214476052e+02 -5.295091613429951849e+02 -5.294978576262576553e+02 -5.294566487822119143e+02 -5.295091613429951849e+02 -5.294978576262576553e+02 -5.294566487822119143e+02 -5.294637788911952612e+02 -5.294596540274219478e+02 -5.299398380396695529e+02 -5.295380733615104418e+02 -5.294622955339151531e+02 -5.294937593044244295e+02 -5.294549617838293898e+02 -5.295037125515372054e+02 -5.294971923818980031e+02 -5.294559681697712676e+02 -5.295037125515372054e+02 -5.294971923818980031e+02 -5.294559681697712676e+02 -5.294620221317102278e+02 -5.294598930973324968e+02
3.382616699999999810e+00 -5.295434511791858085e+02 -5.294980537914968863e+02 -5.294646351667076942e+02 -5.294691376483997374e+02 -5.295100949932862022e+02 -5.294981557831440568e+02 -5.294575269644406035e+02 -5.295100949932862022e+02 -5.294981557831440568e+02 -5.294575269640392889e+02 -5.294647134604642815e+02 -5.294605885366003122e+02 -5.299407929945473370e+02 -5.295383771740741849e+02 -5.294632304027829832e+02 -5.294939769916434216e+02 -5.294558947502898718e+02 -5.295046460018284051e+02 -5.294974902383830795e+02 -5.294568477935138162e+02 -5.295046460018284051e+02 -5.294974902383830795e+02 -5.294568477935138162e+02 -5.294629570408885684e+02 -5.294608279657991261e+02
3.392065349999999757e+00 -5.295437478107271545e+02 -5.294982680932801031e+02 -5.294655519758858873e+02 -5.294700492753522667e+02 -5.295110119024645883e+02 -5.294984469985161013e+02 -5.294583878462677831e+02 -5.295110119024645883e+02 -5.294984469985161013e+02 -5.294583878462677831e+02 -5.294656304293320090e+02 -5.294615056046654900e+02 -5.299417311083117283e+02 -5.295386749048133197e+02 -5.294641477708480579e+02 -5.294941878191727938e+02 -5.294568102760384818e+02 -5.295055648710972491e+02 -5.294977855924609003e+02 -5.294577106354320222e+02 -5.295055648710972491e+02 -5.294977855924609003e+02 -5.294577106358333367e+02 -5.294638746682420560e+02 -5.294617453338643145e+02
3.401513999999999704e+00 -5.295440383414661483e+02 -5.294984758349726235e+02 -5.294664516443524462e+02 -5.294709433422137863e+02 -5.295119121112413723e+02 -5.294987310941079386e+02 -5.294592318276938840e+02 -5.295119121112413723e+02 -5.294987310945091394e+02 -5.294592318276938840e+02 -5.294665301973971054e+02 -5.294624054723294648e+02 -5.299426525220765143e+02 -5.295389665347497612e+02 -5.294650477792238235e+02 -5.294943922644761187e+02 -5.294577084416964681e+02 -5.295064645205860643e+02 -5.294980698066293598e+02 -5.294585561583721756e+02 -5.295064645205860643e+02 -5.294980698066293598e+02 -5.294585561583721756e+02 -5.294647749359062345e+02 -5.294626453422400800e+02
3.410962649999999652e+00 -5.295443228714027555e+02 -5.294986775948406148e+02 -5.294673344120163847e+02 -5.294718205276519711e+02 -5.295127960789056942e+02 -5.294990087675647601e+02 -5.294600593676059361e+02 -5.295127960789056942e+02 -5.294990087675647601e+02 -5.294600593676059361e+02 -5.294674129057729033e+02 -5.294632882803040275e+02 -5.299435575354400498e+02 -5.295392520638840779e+02 -5.294659311057750983e+02 -5.294945902496888266e+02 -5.294585897666429446e+02 -5.295073478289618834e+02 -5.294983471203966019e+02 -5.294593851994877696e+02 -5.295073478289618834e+02 -5.294983471203966019e+02 -5.294593851994877696e+02 -5.294656581434794589e+02 -5.294635285095030213e+02
3.420411300000000043e+00 -5.295446016598250480e+02 -5.294988731946179996e+02 -5.294682006389685966e+02 -5.294726807529996222e+02 -5.295136639465696362e+02 -5.294992796809309539e+02 -5.294608704482294570e+02 -5.295136639465696362e+02 -5.294992796809309539e+02 -5.294608704482294570e+02 -5.294682792323239937e+02 -5.294641545471656627e+02 -5.299444465480009967e+02 -5.295395317918143974e+02 -5.294667976726366305e+02 -5.294947819349016527e+02 -5.294594544903854967e+02 -5.295082150962246033e+02 -5.294986178333615499e+02 -5.294601978809139382e+02 -5.295082150962246033e+02 -5.294986178333615499e+02 -5.294601978809139382e+02 -5.294665249099398352e+02 -5.294643950759634663e+02
3.429859949999999547e+00 -5.295448746478463136e+02 -5.294990630528810698e+02 -5.294690504054292433e+02 -5.294735244775445153e+02 -5.295145160134312619e+02 -5.294995441930932429e+02 -5.294616655877402991e+02 -5.295145160134312619e+02 -5.294995441930932429e+02 -5.294616655877402991e+02 -5.294691291584740611e+02 -5.294650045132250398e+02 -5.299453196609633778e+02 -5.295398058383216267e+02 -5.294676478390970260e+02 -5.294949676781990320e+02 -5.294603027145292344e+02 -5.295090664033969006e+02 -5.294988822052134765e+02 -5.294609946212269733e+02 -5.295090664033969006e+02 -5.294988822052134765e+02 -5.294609946212269733e+02 -5.294673753356885300e+02 -5.294652451827341793e+02
3.439308599999999938e+00 -5.295451420350652825e+02 -5.294992471111439727e+02 -5.294698841315790787e+02 -5.294743519613778062e+02 -5.295153524202022481e+02 -5.294998024641429311e+02 -5.294624449268499120e+02 -5.295153524202022481e+02 -5.294998024641429311e+02 -5.294624449268499120e+02 -5.294699629249342934e+02 -5.294658384389736057e+02 -5.299461771731231465e+02 -5.295400740650486568e+02 -5.294684820648458299e+02 -5.294951475803836729e+02 -5.294611349378707246e+02 -5.295099022694560063e+02 -5.294991401762631540e+02 -5.294617755611390066e+02 -5.295099022694560063e+02 -5.294991401762631540e+02 -5.294617755611390066e+02 -5.294682097606348634e+02 -5.294660794080817823e+02
3.448757249999999885e+00 -5.295454039807698337e+02 -5.294994257282942272e+02 -5.294707021569263361e+02 -5.294751636036969558e+02 -5.295161738455497016e+02 -5.295000546936781802e+02 -5.294632088651569575e+02 -5.295161738455497016e+02 -5.295000546936781802e+02 -5.294632088054675023e+02 -5.294707808905925503e+02 -5.294666565042305137e+02 -5.299470192259946089e+02 -5.295403370696401453e+02 -5.294693004301025212e+02 -5.294953216817657449e+02 -5.294619514205004407e+02 -5.295107228351141657e+02 -5.294993921057982789e+02 -5.294625409409602526e+02 -5.295107228351141657e+02 -5.294993921057982789e+02 -5.294625411002484725e+02 -5.294690282262928349e+02 -5.294668977737396744e+02
