E, K	sigma(1s5_2), cm2	sigma(1s5_1), cm2	sigma(1s5_0), cm2	sigma(1s4_1), cm2	sigma(1s4_0), cm2	sigma(1s3_0), cm2	sigma(1s2_1), cm2	sigma(1s2_0), cm2
6,625299E+00	2,487118E-14	2,289654E-14	2,246775E-14	2,309783E-14	2,188438E-14	2,338526E-14	2,238110E-14	2,114924E-14
6,937540E+00	2,378067E-14	2,217847E-14	2,184680E-14	2,230939E-14	2,140434E-14	2,255380E-14	2,201642E-14	2,105414E-14
7,264496E+00	2,654681E-14	2,420841E-14	2,368422E-14	2,453511E-14	2,289871E-14	2,478608E-14	2,344543E-14	2,169635E-14
7,606861E+00	2,574365E-14	2,370461E-14	2,324634E-14	2,395476E-14	2,258431E-14	2,419376E-14	2,317771E-14	2,166291E-14
7,965362E+00	2,489335E-14	2,315335E-14	2,276631E-14	2,333674E-14	2,223244E-14	2,355910E-14	2,287692E-14	2,160885E-14
8,340758E+00	2,401302E-14	2,256857E-14	2,225858E-14	2,269709E-14	2,185079E-14	2,289618E-14	2,255564E-14	2,153715E-14
8,733845E+00	2,312662E-14	2,196937E-14	2,173891E-14	2,205484E-14	2,145095E-14	2,222306E-14	2,222884E-14	2,145032E-14
9,145459E+00	2,506149E-14	2,337375E-14	2,305115E-14	2,366705E-14	2,254883E-14	2,379890E-14	2,329501E-14	2,194172E-14
9,576471E+00	2,438887E-14	2,294399E-14	2,267927E-14	2,317668E-14	2,226924E-14	2,330288E-14	2,305052E-14	2,190513E-14
1,002780E+01	2,368885E-14	2,248368E-14	2,227899E-14	2,265953E-14	2,196129E-14	2,277470E-14	2,277771E-14	2,185121E-14
1,050039E+01	2,297829E-14	2,200395E-14	2,185884E-14	2,213045E-14	2,163225E-14	2,222654E-14	2,248878E-14	2,178095E-14
1,099526E+01	2,428196E-14	2,300294E-14	2,276919E-14	2,325987E-14	2,238823E-14	2,327972E-14	2,324490E-14	2,214526E-14
1,151345E+01	2,374654E-14	2,265602E-14	2,246361E-14	2,285772E-14	2,215854E-14	2,287952E-14	2,302377E-14	2,211461E-14
1,205606E+01	2,319048E-14	2,228302E-14	2,213312E-14	2,243286E-14	2,190399E-14	2,245198E-14	2,278257E-14	2,206722E-14
1,262425E+01	2,262101E-14	2,189100E-14	2,178615E-14	2,199636E-14	2,163058E-14	2,200778E-14	2,253055E-14	2,200362E-14
1,321921E+01	2,357593E-14	2,262254E-14	2,245280E-14	2,283002E-14	2,220289E-14	2,279942E-14	2,311619E-14	2,228991E-14
