R	<0|H|0>	<1|H|1>	<0|H|1>
1.97	97797.77	98659.25	-1625.22
1.98	97662.65	98511.68	-1561.96
1.99	97532.56	98369.60	-1500.96
2.00	97407.32	98232.80	-1442.13
2.01	97286.74	98101.10	-1385.42
2.02	97170.64	97974.28	-1330.75
2.03	97058.86	97852.16	-1278.04
2.04	96951.21	97734.58	-1227.25
2.05	96847.56	97621.37	-1178.30
2.06	96747.73	97512.33	-1131.13
2.07	96651.60	97407.34	-1085.67
2.08	96559.02	97306.23	-1041.86
2.09	96469.85	97208.88	-999.64
2.10	96383.97	97115.09	-958.98
2.15	95999.43	96695.40	-777.00
2.20	95679.66	96346.77	-626.29
2.25	95412.85	96056.37	-501.70
2.30	95189.25	95813.55	-398.89
2.35	95000.70	95609.42	-314.37
2.40	94840.79	95436.94	-244.77
2.45	94704.01	95290.08	-187.68
2.50	94585.94	95163.95	-140.98
2.55	94482.96	95054.63	-102.88
2.60	94392.22	94958.90	-71.92
2.65	94311.32	94874.16	-46.83
2.70	94238.41	94798.31	-26.63
2.75	94171.97	94729.74	-10.45
2.80	94110.84	94667.02	2.44
2.85	94054.10	94609.16	12.59
2.90	94000.89	94555.18	20.58
3.00	93903.46	94457.18	31.18
3.10	93815.44	94369.20	36.77
3.20	93735.23	94289.46	38.95
3.30	93661.57	94216.51	38.96
3.40	93594.14	94149.88	37.58
3.50	93532.56	94089.05	35.39
3.60	93476.77	94033.87	32.79
3.70	93426.16	93983.84	29.96
3.80	93380.86	93938.99	27.05
3.90	93340.37	93898.83	24.16
4.00	93304.42	93863.09	21.23
4.10	93272.71	93831.48	18.66
4.20	93244.83	93803.69	16.31
4.30	93220.57	93779.42	14.26
4.40	93199.38	93758.19	12.34
4.50	93181.04	93739.80	10.65
4.60	93165.17	93723.87	9.13
4.70	93151.59	93710.14	7.84
4.80	93139.95	93698.40	6.72
4.90	93130.06	93688.35	5.75
5.00	93121.65	93679.80	4.92
5.10	93114.53	93672.54	4.22
5.20	93108.53	93666.40	3.63
5.30	93103.50	93661.22	3.13
5.40	93099.27	93656.87	2.68
5.50	93095.76	93653.24	2.32
5.60	93092.86	93650.23	2.01
5.70	93090.46	93647.72	1.74
5.80	93088.50	93645.66	1.52
5.90	93086.88	93643.96	1.32
6.00	93085.58	93642.58	1.15
6.20	93083.69	93640.55	0.90
6.40	93082.84	93639.52	0.42
6.60	93082.15	93638.74	0.32
6.80	93081.74	93638.27	0.24
7.00	93081.54	93638.01	0.18
7.20	93081.47	93637.90	0.15
7.40	93081.49	93637.89	0.12
7.60	93081.56	93637.93	0.12
7.80	93081.64	93637.99	0.10
8.00	93081.76	93638.10	0.09
8.20	93081.86	93638.20	0.09
8.40	93081.96	93638.28	0.05
8.60	93082.04	93638.36	0.05
8.80	93082.12	93638.44	0.05
9.00	93082.19	93638.51	0.05
9.20	93082.26	93638.58	0.05
9.40	93082.32	93638.64	0.05
9.60	93082.37	93638.69	0.05
9.80	93082.43	93638.75	0.04
10.00	93082.47	93638.79	0.04
10.50	93082.56	93638.83	0.02
11.00	93082.66	93638.93	-0.00
