R	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	E26	E27
1.97	106956.96	106956.96	106953.83	107072.69	107326.1	107326.1	107631.44	107001.17	109615.86	109615.86	106946.74	109280.64	107705.68	107705.7	109368.55
1.98	106914.44	106914.44	106911.41	106978.66	107213.68	107213.69	107502.05	106910.48	109418.43	109418.43	106899.5	109105.04	107581.22	107581.23	109191.11
1.99	106872.89	106872.89	106869.97	106888.78	107107.11	107107.11	107379.72	106823.79	109228.82	109228.82	106854.64	108936.47	107462.66	107462.67	109020.72
2	106832	106832	106829.19	106802.84	107006.36	107006.36	107264.48	106740.96	109046.65	109046.65	106812.06	108774.62	107349.9	107349.91	108857.13
2.01	106791.38	106791.38	106788.69	106720.72	106911.43	106911.43	107156.42	106661.85	108871.73	108871.73	106771.59	108619.25	107242.92	107242.93	108700.1
2.02	106750.64	106750.64	106748.08	106642.28	106822.38	106822.39	107055.7	106586.29	108703.78	108703.78	106733.14	108470.17	107141.66	107141.67	108549.38
2.03	106709.36	106709.36	106706.94	106567.32	106739.29	106739.29	106962.51	106514.13	108542.53	108542.53	106696.6	108327.07	107046.13	107046.13	108404.73
2.04	106667.11	106667.11	106664.84	106495.75	106662.22	106662.22	106877.06	106445.25	108387.76	108387.76	106661.85	108189.77	106956.37	106956.38	108265.94
2.05	106623.43	106623.43	106621.33	106427.44	106591.3	106591.3	106799.58	106379.53	108239.26	108239.26	106628.83	108058.06	106872.41	106872.42	108132.79
2.06	106577.87	106577.87	106575.93	106362.22	106526.53	106526.53	106730.16	106316.81	108096.77	108096.77	106597.38	107931.71	106794.28	106794.29	108005.07
2.07	106530.06	106530.06	106528.3	106300	106467.89	106467.89	106668.82	106257	107960.07	107960.07	106567.45	107810.52	106721.95	106721.96	107882.55
2.08	106479.68	106479.68	106478.09	106240.64	106415.23	106415.23	106615.41	106199.96	107828.95	107828.95	106538.92	107694.32	106655.34	106655.35	107765.06
2.09	106426.51	106426.51	106425.1	106184.03	106368.3	106368.3	106569.57	106145.59	107703.2	107703.2	106511.72	107582.9	106594.27	106594.27	107652.42
2.1	106370.56	106370.56	106369.31	106130.03	106326.68	106326.68	106530.74	106093.79	107582.59	107582.59	106485.81	107476.13	106538.5	106538.51	107544.42
2.15	106059.52	106059.52	106058.93	105896.11	106180.38	106180.38	106415.3	105869.54	107050.62	107050.62	106372.87	107004.37	106324.95	106324.95	107068.35
2.2	105739.82	105739.82	105739.58	105713.73	106096.61	106096.61	106371.98	105695.18	106621.06	106621.06	106277.56	106626.31	106185.32	106185.32	106684.8
2.25	105452.23	105452.23	105452.14	105573.03	106045.43	106045.44	106358.83	105561.14	106275.57	106275.57	106196.34	106322.45	106089.72	106089.72	106377.26
2.3	105208.93	105208.93	105208.89	105465.97	106015.05	106015.05	106361.43	105459.58	105998.95	105998.95	106124.06	106080.23	106023.97	106023.97	106131.99
2.35	105008.01	105008.01	105007.95	105385.92	105999.19	105999.19	106373.34	105383.96	105778.5	105778.5	106059.65	105888.35	105979.74	105979.74	105937.38
2.4	104846.79	104846.79	104846.69	105327.45	105994.07	105994.07	106391.34	105329.25	105604.29	105604.29	106003.63	105737.49	105951.89	105951.9	105784.45
2.45	104718.31	104718.31	104718.14	105285.73	105996.44	105996.45	106412.86	105290.61	105467.5	105467.5	105957.16	105619.78	105936.05	105936.05	105665.04
2.5	104617.04	104617.04	104616.78	105256.92	106003.85	106003.85	106435.98	105264.32	105361.05	105361.05	105920.41	105528.84	105928.96	105928.97	105572.69
2.55	104538.03	104538.03	104537.68	105238.76	106014.39	106014.39	106458.84	105248.23	105279.08	105279.08	105892.13	105459.54	105928.08	105928.08	105502.27
2.6	104477.06	104477.06	104476.6	105228.88	106026.55	106026.56	106480.27	105240.04	105216.83	105216.83	105871.26	105407.61	105931.4	105931.4	105449.36
2.65	104430.55	104430.55	104429.99	105225.18	106039.13	106039.13	106499.39	105237.85	105170.13	105170.13	105856.5	105369.24	105937.28	105937.28	105410.45
2.7	104395.54	104395.54	104394.86	105226.37	106051.24	106051.24	106515.51	105240.17	105136.24	105136.24	105846.67	105342.11	105944.58	105944.58	105382.65
2.75	104369.61	104369.61	104368.81	105231.07	106062.23	106062.23	106528.28	105245.79	105112.28	105112.28	105840.62	105323.6	105952.31	105952.31	105363.54
2.8	104350.72	104350.72	104349.79	105238.29	106071.54	106071.54	106537.33	105253.73	105096.16	105096.16	105837.4	105311.82	105959.74	105959.74	105351.23
2.85	104337.26	104337.26	104336.19	105247.22	106078.84	106078.84	106542.53	105263.24	105086.14	105086.14	105836.13	105305.2	105966.33	105966.33	105344.1
2.9	104327.9	104327.9	104326.69	105257.24	106083.91	106083.91	106543.83	105273.74	105080.84	105080.84	105836.23	105302.56	105971.73	105971.73	105341.04
3	104317.51	104317.51	104316	105278.72	106086.96	106086.96	106535.03	105295.86	105080.2	105080.2	105838.25	105305.38	105977.96	105977.96	105343.08
3.1	104313.49	104313.49	104311.68	105300.08	106080.58	106080.58	106512.04	105317.58	105087.82	105087.82	105840.45	105314.65	105977.58	105977.58	105351.73
3.2	104312.04	104312.04	104309.92	105319.86	106065.57	106065.57	106476.78	105337.54	105099.7	105099.7	105841.05	105326.89	105970.7	105970.71	105363.39
3.3	104310.9	104310.9	104308.46	105337.33	106042.97	106042.97	106431.18	105355.01	105113.39	105113.39	105839.07	105339.92	105957.94	105957.94	105375.93
3.4	104308.82	104308.82	104306.06	105352.15	106014.2	106014.2	106377.6	105369.74	105127.4	105127.4	105834.19	105352.63	105940.29	105940.29	105388.12
3.5	104305.15	104305.15	104302.09	105364.27	105980.65	105980.65	106318.19	105381.68	105140.96	105140.96	105826.33	105364.33	105918.81	105918.82	105399.3
3.6	104299.68	104299.68	104296.33	105373.75	105943.75	105943.75	106255.14	105390.97	105153.67	105153.67	105815.65	105374.75	105894.72	105894.72	105409.22
3.7	104292.27	104292.27	104288.65	105380.73	105904.29	105904.29	106189.59	105397.66	105165.18	105165.18	105802.34	105383.6	105868.58	105868.58	105417.62
3.8	104283.35	104283.35	104279.49	105385.42	105863.49	105863.5	106123.29	105402.07	105175.61	105175.61	105786.77	105390.96	105841.37	105841.37	105424.66
3.9	104272.58	104272.58	104268.51	105388	105822.12	105822.12	106057.33	105404.28	105184.79	105184.79	105769.31	105396.93	105813.67	105813.67	105430.21
4	104260.52	104260.52	104256.29	105388.66	105780.69	105780.69	105992.45	105404.5	105192.84	105192.84	105750.47	105401.63	105785.89	105785.89	105434.44
4.1	104247.5	104247.5	104243.15	105387.63	105740.14	105740.14	105929.93	105403.06	105200	105200	105730.34	105405.19	105758.75	105758.75	105437.62
4.2	104233.73	104233.73	104229.31	105385.08	105700.68	105700.68	105870.02	105400.06	105206.3	105206.3	105709.43	105407.7	105732.34	105732.33	105439.81
4.3	104219.53	104219.53	104215.09	105381.21	105662.79	105662.8	105813.33	105395.77	105211.9	105211.9	105687.97	105409.31	105707.03	105707.03	105441.2
4.4	104205.07	104205.07	104200.67	105376.24	105626.4	105626.41	105759.65	105390.32	105216.75	105216.75	105666.38	105410.15	105682.63	105682.63	105441.76
4.5	104190.63	104190.63	104186.32	105370.35	105591.85	105591.85	105709.38	105383.95	105221.04	105221.04	105644.9	105410.31	105659.37	105659.36	105441.71
4.6	104176.61	104176.61	104172.44	105363.77	105559.2	105559.2	105662.51	105376.79	105224.91	105224.91	105623.75	105410.09	105637.27	105637.27	105441.12
4.7	104162.7	104162.7	104158.73	105356.56	105528.6	105528.61	105619.2	105369.07	105228.18	105228.18	105603.2	105409.28	105616.35	105616.35	105440.11
4.8	104149.32	104149.32	104145.59	105348.95	105500.07	105500.07	105579.34	105360.96	105231.05	105231.05	105583.35	105408.1	105596.67	105596.67	105438.76
4.9	104136.58	104136.58	104133.13	105341.14	105473.62	105473.62	105542.85	105352.66	105233.59	105233.59	105564.38	105406.65	105578.14	105578.14	105437.17
5	104124.56	104124.56	104121.41	105333.23	105449.2	105449.21	105509.59	105344.26	105235.83	105235.83	105546.26	105405.01	105560.8	105560.8	105435.69
5.1	104113.33	104113.33	104110.49	105325.35	105426.74	105426.74	105479.37	105335.91	105237.81	105237.8	105529.29	105403.22	105544.62	105544.62	105433.8
5.2	104102.91	104102.91	104100.38	105317.61	105406.2	105406.2	105452.04	105327.72	105239.56	105239.56	105513.45	105401.41	105529.56	105529.56	105431.88
5.3	104093.31	104093.31	104091.1	105310.11	105387.47	105387.48	105427.42	105319.78	105241.11	105241.11	105498.7	105399.51	105515.6	105515.6	105429.93
5.4	104084.53	104084.53	104082.61	105302.9	105370.45	105370.45	105405.26	105312.17	105242.45	105242.45	105485.07	105397.66	105502.73	105502.73	105428.05
5.5	104076.56	104076.56	104074.92	105296.07	105355.06	105355.07	105385.43	105304.95	105243.68	105243.68	105472.53	105395.86	105490.91	105490.91	105426.17
5.6	104069.36	104069.36	104067.97	105289.63	105341.17	105341.17	105367.69	105298.15	105244.76	105244.76	105461.02	105394.11	105480.11	105480.11	105424.39
5.7	104062.9	104062.9	104061.74	105283.62	105328.68	105328.69	105351.88	105291.8	105245.73	105245.73	105450.49	105392.44	105470.26	105470.26	105422.66
5.8	104057.12	104057.12	104056.17	105278.03	105317.47	105317.47	105337.79	105285.89	105246.57	105246.57	105440.94	105390.87	105461.32	105461.32	105421.04
5.9	104051.97	104051.97	104051.19	105272.88	105307.42	105307.42	105325.27	105280.45	105247.32	105247.32	105432.25	105389.41	105453.23	105453.23	105419.54
6	104047.42	104047.42	104046.79	105268.14	105298.44	105298.44	105314.15	105275.45	105248.01	105248.01	105424.41	105388.03	105445.96	105445.96	105418.12
6.2	104039.85	104039.85	104039.45	105259.87	105283.29	105283.29	105295.58	105266.71	105249.16	105249.16	105410.96	105385.62	105433.59	105433.59	105415.66
6.4	104034.02	104034.02	104033.79	105253.11	105271.33	105271.33	105281.05	105259.59	105250.04	105250.04	105400.19	105383.59	105423.7	105423.7	105413.62
6.6	104029.56	104029.56	104029.44	105247.56	105261.92	105261.92	105269.78	105253.75	105250.76	105250.76	105391.5	105381.89	105415.89	105415.89	105411.94
6.8	104026.23	104026.23	104026.18	105243.16	105254.52	105254.52	105260.94	105249.06	105251.4	105251.4	105384.63	105380.59	105409.74	105409.74	105410.57
7	104023.75	104023.75	104023.74	105239.63	105248.74	105248.74	105254.09	105245.31	105251.86	105251.86	105379.16	105379.51	105404.91	105404.91	105409.43
7.2	104021.94	104021.94	104021.96	105236.83	105244.26	105244.26	105248.8	105242.36	105252.23	105252.23	105374.91	105378.63	105401.15	105401.15	105408.55
7.4	104020.62	104020.62	104020.64	105234.64	105240.77	105240.77	105244.7	105240.03	105252.52	105252.52	105371.57	105377.94	105398.24	105398.25	105407.83
7.6	104019.67	104019.67	104019.71	105232.95	105238.63	105238.63	105242.42	105237.87	105252.06	105252.06	105368.99	105377.41	105396.33	105396.32	105406.59
7.8	104019	104019	104019.03	105231.63	105236.45	105236.45	105239.84	105236.55	105252.41	105252.41	105367	105377	105394.52	105394.52	105406.31
8	104018.55	104018.55	104018.59	105230.63	105234.8	105234.8	105237.87	105235.55	105252.69	105252.69	105365.5	105376.68	105393.16	105393.16	105406.09
8.2	104018.26	104018.26	104018.3	105229.86	105233.54	105233.54	105236.36	105234.78	105252.92	105252.92	105364.64	105376.12	105392.12	105392.12	105405.92
8.4	104018.11	104018.11	104018.15	105229.3	105232.55	105232.55	105235.16	105234.19	105253.11	105253.11	105363.67	105376.04	105391.31	105391.31	105405.82
