T, K	k(2p10->2p9), cm3/s	k(2p10->2p8), cm3/s	k(2p10->2p7), cm3/s	k(2p10->2p6), cm3/s	k(2p10->2p4), cm3/s	k(2p10->2p3), cm3/s	k(2p10->2p2), cm3/s	k(2p9->2p10), cm3/s	k(2p9->2p8), cm3/s	k(2p9->2p7), cm3/s	k(2p9->2p6), cm3/s	k(2p9->2p4), cm3/s	k(2p9->2p3), cm3/s	k(2p9->2p2), cm3/s	k(2p8->2p10), cm3/s	k(2p8->2p9), cm3/s	k(2p8->2p7), cm3/s	k(2p8->2p6), cm3/s	k(2p8->2p5), cm3/s	k(2p8->2p4), cm3/s	k(2p8->2p3), cm3/s	k(2p8->2p2), cm3/s	k(2p8->2p1), cm3/s	k(2p7->2p10), cm3/s	k(2p7->2p9), cm3/s	k(2p7->2p8), cm3/s	k(2p7->2p6), cm3/s	k(2p7->2p4), cm3/s	k(2p7->2p3), cm3/s	k(2p7->2p2), cm3/s	k(2p6->2p10), cm3/s	k(2p6->2p9), cm3/s	k(2p6->2p8), cm3/s	k(2p6->2p7), cm3/s	k(2p6->2p5), cm3/s	k(2p6->2p4), cm3/s	k(2p6->2p3), cm3/s	k(2p6->2p2), cm3/s	k(2p6->2p1), cm3/s	k(2p5->2p8), cm3/s	k(2p5->2p6), cm3/s	k(2p5->2p3), cm3/s	k(2p5->2p1), cm3/s	k(2p4->2p10), cm3/s	k(2p4->2p9), cm3/s	k(2p4->2p8), cm3/s	k(2p4->2p7), cm3/s	k(2p4->2p6), cm3/s	k(2p4->2p3), cm3/s	k(2p4->2p2), cm3/s	k(2p3->2p10), cm3/s	k(2p3->2p9), cm3/s	k(2p3->2p8), cm3/s	k(2p3->2p7), cm3/s	k(2p3->2p6), cm3/s	k(2p3->2p5), cm3/s	k(2p3->2p4), cm3/s	k(2p3->2p2), cm3/s	k(2p3->2p1), cm3/s	k(2p2->2p10), cm3/s	k(2p2->2p9), cm3/s	k(2p2->2p8), cm3/s	k(2p2->2p7), cm3/s	k(2p2->2p6), cm3/s	k(2p2->2p4), cm3/s	k(2p2->2p3), cm3/s	k(2p1->2p8), cm3/s	k(2p1->2p6), cm3/s	k(2p1->2p5), cm3/s	k(2p1->2p3), cm3/s	
3.000000e+02	9.348470e-15	5.340828e-16	1.996050e-17	2.974720e-19	4.255193e-21	3.629848e-21	2.300396e-23	1.989431e-13	7.579962e-11	7.906240e-13	6.103147e-16	2.765430e-18	6.047425e-19	2.505221e-19	2.577286e-14	1.263209e-10	6.068168e-16	4.562895e-14	3.587972e-20	7.871372e-18	3.252597e-18	3.277687e-18	1.936811e-23	2.220829e-15	5.145051e-12	1.001399e-15	6.775107e-09	2.283904e-14	1.174175e-11	5.235833e-17	2.340184e-16	5.066603e-15	1.827761e-14	3.410120e-09	9.632380e-17	4.039628e-17	4.534594e-13	3.317137e-18	1.617947e-21	9.803694e-18	7.390856e-16	1.003881e-08	3.246226e-15	1.456334e-16	1.401199e-15	5.184680e-16	7.630963e-13	4.833757e-16	5.121879e-11	9.880378e-13	1.447446e-16	2.900039e-16	9.150427e-16	1.431939e-10	1.398417e-11	2.099998e-09	3.291577e-11	4.137936e-12	4.356190e-19	1.718821e-18	1.201262e-17	8.771360e-16	8.191481e-16	1.547111e-16	3.040782e-12	1.008635e-11	2.297220e-17	4.916348e-17	1.412173e-12	6.357340e-16
3.500000e+02	2.948409e-14	1.778857e-15	6.336834e-17	1.905684e-18	4.182955e-20	4.107621e-20	2.291919e-22	3.082213e-13	9.948137e-11	1.294483e-12	1.264493e-15	1.203633e-17	2.785081e-18	7.529726e-19	3.812417e-14	1.558173e-10	7.818636e-16	5.775952e-14	9.270538e-20	2.105860e-17	1.742598e-17	1.143905e-17	2.766984e-22	3.614354e-15	6.793080e-12	1.193079e-15	7.493147e-09	8.640588e-14	2.863569e-11	1.231800e-16	4.530540e-16	8.014400e-15	2.875093e-14	3.663709e-09	1.465947e-16	8.804964e-17	1.571358e-12	9.400244e-18	9.211764e-21	1.532785e-17	7.027549e-16	1.208472e-08	1.664006e-14	2.816235e-16	2.576493e-15	7.570760e-16	1.580552e-12	9.937740e-16	6.337812e-11	2.549719e-12	2.932990e-16	5.466081e-16	2.264556e-15	1.809056e-10	2.652468e-11	2.386486e-09	3.890497e-11	6.339348e-12	2.019108e-18	4.475322e-18	1.708544e-17	9.513060e-16	1.178799e-15	3.214500e-16	6.441098e-12	1.429475e-11	4.596325e-17	9.079345e-17	2.470661e-12	1.194055e-15
4.000000e+02	7.092606e-14	4.434129e-15	1.566676e-16	7.929927e-18	2.485940e-19	2.751562e-19	1.592617e-21	4.380983e-13	1.230366e-10	1.911539e-12	2.337580e-15	3.821469e-17	9.402903e-18	1.691441e-18	5.209776e-14	1.848047e-10	9.680696e-16	7.012872e-14	1.918851e-19	4.568580e-17	6.911449e-17	2.849708e-17	2.109744e-21	5.398182e-15	8.592646e-12	1.500863e-15	8.050353e-09	2.404978e-13	5.563972e-11	2.405203e-16	7.775920e-16	1.243278e-14	4.597776e-14	3.872044e-09	1.962344e-16	1.834594e-16	4.073026e-12	2.339484e-17	3.660294e-20	2.425306e-17	7.083849e-16	1.385409e-08	5.704069e-14	4.936254e-16	4.249102e-15	1.056431e-15	2.811382e-12	1.862239e-15	7.476513e-11	5.320605e-12	5.611564e-16	9.348310e-16	4.705022e-15	2.175099e-10	4.400995e-11	2.631324e-09	4.452376e-11	8.956148e-12	6.542350e-18	1.105460e-17	2.683935e-17	9.902607e-16	1.866020e-15	5.995506e-16	1.160278e-11	1.910355e-11	8.007820e-17	1.574348e-16	3.825209e-12	1.985453e-15
4.500000e+02	1.418348e-13	9.080533e-15	3.285122e-16	2.464789e-17	1.044565e-18	1.301969e-18	8.773411e-21	5.846357e-13	1.461689e-10	2.629182e-12	3.987964e-15	9.691457e-17	2.540525e-17	3.158057e-18	6.721548e-14	2.131887e-10	1.193777e-15	8.455429e-14	3.445334e-19	8.633020e-17	2.133499e-16	5.686856e-17	1.046176e-20	7.574294e-15	1.053729e-11	2.004938e-15	8.488267e-09	5.430659e-13	9.293500e-11	4.252527e-16	1.228230e-15	1.852873e-14	7.204173e-14	4.046372e-09	2.420732e-16	3.626208e-16	8.662443e-12	5.203968e-17	1.156405e-19	3.745676e-17	7.645311e-16	1.537914e-08	1.493979e-13	8.114286e-16	6.447813e-15	1.453991e-15	4.503829e-12	3.224449e-15	8.538360e-11	9.585838e-12	1.034168e-15	1.478908e-15	8.544023e-15	2.526644e-10	6.645242e-11	2.842428e-09	4.980176e-11	1.195254e-11	1.660874e-17	2.571092e-17	4.405269e-17	1.009088e-15	3.037068e-15	1.016219e-15	1.866812e-11	2.446619e-11	1.261583e-16	2.585114e-16	5.446732e-12	3.024967e-15
5.000000e+02	2.485602e-13	1.617207e-14	6.126715e-16	6.235811e-17	3.433417e-18	4.835045e-18	3.989223e-20	7.439222e-13	1.687178e-10	3.436745e-12	6.369997e-15	2.083013e-16	5.811292e-17	5.234257e-18	8.306720e-14	2.408891e-10	1.498164e-15	1.031948e-13	5.614318e-19	1.487620e-16	5.409534e-16	9.739480e-17	3.815644e-20	1.014497e-14	1.262669e-11	2.796073e-15	8.836740e-09	1.056977e-12	1.396675e-10	7.140300e-16	1.827451e-15	2.636186e-14	1.093575e-13	4.194460e-09	2.830340e-16	6.739332e-16	1.599465e-11	1.047199e-16	3.113700e-19	5.571027e-17	8.821735e-16	1.669585e-08	3.238904e-13	1.281868e-15	9.177496e-15	1.999637e-15	6.690843e-12	5.226093e-15	9.529187e-11	1.553461e-11	1.834651e-15	2.195686e-15	1.403320e-14	2.862293e-10	9.358675e-11	3.026102e-09	5.477928e-11	1.529527e-11	3.543796e-17	5.523770e-17	7.179614e-17	1.019482e-15	4.854010e-15	1.604421e-15	2.766632e-11	3.033802e-11	1.841953e-16	4.044568e-16	7.300570e-12	4.314268e-15
5.500000e+02	3.950335e-13	2.598649e-14	1.046049e-15	1.357282e-16	9.445967e-18	1.499737e-17	1.517411e-19	9.124110e-13	1.905898e-10	4.326289e-12	9.613511e-15	3.951269e-16	1.169339e-16	8.041553e-18	9.931876e-14	2.678338e-10	1.929745e-15	1.284177e-13	8.531340e-19	2.408853e-16	1.178318e-15	1.495466e-16	1.108988e-19	1.311549e-14	1.486487e-11	3.977685e-15	9.117233e-09	1.843930e-12	1.944147e-10	1.162450e-15	2.599912e-15	3.590905e-14	1.605427e-13	4.321848e-09	3.194964e-16	1.176520e-15	2.659165e-11	1.936048e-16	7.421948e-19	7.968355e-17	1.075200e-15	1.783737e-08	6.116137e-13	1.972003e-15	1.243236e-14	2.751933e-15	9.392702e-12	8.014380e-15	1.045698e-10	2.326142e-11	3.113188e-15	3.093545e-15	2.137398e-14	3.181726e-10	1.249386e-10	3.187302e-09	5.949920e-11	1.895287e-11	6.649830e-17	1.088067e-16	1.130359e-16	1.030434e-15	7.465621e-15	2.407169e-15	3.854138e-11	3.667460e-11	2.534752e-16	6.050055e-16	9.349391e-12	5.843252e-15
6.000000e+02	5.827768e-13	3.862426e-14	1.666574e-15	2.637756e-16	2.276202e-17	4.034119e-17	4.895757e-19	1.087056e-12	2.117289e-10	5.292549e-12	1.381843e-14	6.807360e-16	2.126771e-16	1.178450e-17	1.157070e-13	2.939619e-10	2.546241e-15	1.627068e-13	1.230266e-18	3.735558e-16	2.281355e-15	2.119459e-16	2.712040e-19	1.649390e-14	1.725831e-11	5.668925e-15	9.345367e-09	2.960081e-12	2.555461e-10	1.843505e-15	3.571725e-15	4.712603e-14	2.282311e-13	4.432616e-09	3.528160e-16	1.937382e-15	4.079793e-11	3.338801e-16	1.601068e-18	1.099274e-16	1.360407e-15	1.883209e-08	1.040730e-12	2.966253e-15	1.620600e-14	3.773211e-15	1.261804e-11	1.172917e-14	1.133005e-10	3.277851e-11	5.032944e-15	4.172654e-15	3.072293e-14	3.485181e-10	1.598908e-10	3.329910e-09	6.400168e-11	2.289514e-11	1.131368e-16	1.971622e-16	1.702805e-16	1.048873e-15	1.099087e-14	3.476536e-15	5.117613e-11	4.343144e-11	3.327688e-16	8.675956e-16	1.155477e-11	7.592315e-15
6.500000e+02	8.112637e-13	5.403522e-14	2.511443e-15	4.695960e-16	4.950933e-17	9.643147e-17	1.364256e-18	1.265330e-12	2.321018e-10	6.332457e-12	1.905994e-14	1.087569e-15	3.566579e-16	1.677076e-17	1.320295e-13	3.192259e-10	3.414456e-15	2.085587e-13	1.704283e-18	5.609376e-16	4.026070e-15	2.828878e-16	5.797804e-19	2.028928e-14	1.981427e-11	8.004547e-15	9.532653e-09	4.453189e-12	3.214517e-10	2.842269e-15	4.768992e-15	5.998639e-14	3.148712e-13	4.529844e-09	3.850082e-16	3.027687e-15	5.876964e-11	5.437860e-16	3.171052e-18	1.468500e-16	1.756765e-15	1.970348e-08	1.633803e-12	4.358622e-15	2.049586e-14	5.123719e-15	1.636406e-11	1.649390e-14	1.215605e-10	4.403163e-11	7.751484e-15	5.426076e-15	4.219210e-14	3.773156e-10	1.977467e-10	3.456958e-09	6.832072e-11	2.709266e-11	1.782761e-16	3.314347e-16	2.453378e-16	1.080053e-15	1.550855e-14	4.868484e-15	6.541127e-11	5.056365e-11	4.205214e-16	1.196386e-15	1.387843e-11	9.534873e-15
7.000000e+02	1.078409e-12	7.205573e-14	3.615838e-15	7.798807e-16	9.914852e-17	2.085127e-16	3.347969e-18	1.445190e-12	2.516907e-10	7.444505e-12	2.539725e-14	1.636251e-15	5.597917e-16	2.340591e-17	1.481344e-13	3.435920e-10	4.608964e-15	2.683637e-13	2.288454e-18	8.202496e-16	6.597796e-15	3.607212e-16	1.113866e-18	2.450926e-14	2.253920e-11	1.113001e-14	9.687713e-09	6.360883e-12	3.906638e-10	4.248541e-15	6.215964e-15	7.449622e-14	4.225513e-13	4.615908e-09	4.185256e-16	4.518556e-15	8.048755e-11	8.441816e-16	5.829224e-18	1.907001e-16	2.284040e-15	2.047063e-08	2.406401e-12	6.242733e-15	2.530291e-14	6.855980e-15	2.061670e-11	2.240728e-14	1.294155e-10	5.691550e-11	1.140461e-14	6.841264e-15	5.584595e-14	4.046236e-10	2.377840e-10	3.570816e-09	7.248336e-11	3.151622e-11	2.642054e-16	5.219194e-16	3.392016e-16	1.127781e-15	2.105366e-14	6.636077e-15	8.105979e-11	5.802535e-11	5.150196e-16	1.591987e-15	1.628337e-11	1.163985e-14
7.500000e+02	1.381063e-12	9.244593e-14	5.012053e-15	1.224217e-15	1.852664e-16	4.136267e-16	7.369599e-18	1.625007e-12	2.704885e-10	8.628076e-12	3.288087e-14	2.345121e-15	8.318185e-16	3.216835e-17	1.639094e-13	3.670389e-10	6.209204e-15	3.442868e-13	2.998674e-18	1.170950e-15	1.018045e-14	4.440660e-16	1.962959e-18	2.915776e-14	2.543748e-11	1.519287e-14	9.817073e-09	8.709773e-12	4.619095e-10	6.149178e-15	7.933224e-15	9.069085e-14	5.528685e-13	4.692668e-09	4.560774e-16	6.476768e-15	1.057842e-10	1.257573e-15	1.003636e-17	2.415601e-16	2.961132e-15	2.114896e-08	3.366757e-12	8.702353e-15	3.062866e-14	9.010420e-15	2.535119e-11	2.953704e-14	1.369183e-10	7.128772e-11	1.609487e-14	8.401638e-15	7.169828e-14	4.305012e-10	2.792985e-10	3.673330e-09	7.650928e-11	3.613633e-11	3.724682e-16	7.770872e-16	4.520523e-16	1.194557e-15	2.761922e-14	8.823313e-15	9.791854e-11	6.576905e-11	6.145219e-16	2.051760e-15	1.873486e-11	1.387397e-14
