T, K	k(2p10->2p9), cm3/s	k(2p10->2p8), cm3/s	k(2p10->2p7), cm3/s	k(2p10->2p6), cm3/s	k(2p10->2p4), cm3/s	k(2p10->2p3), cm3/s	k(2p10->2p2), cm3/s	k(2p9->2p10), cm3/s	k(2p9->2p8), cm3/s	k(2p9->2p7), cm3/s	k(2p9->2p6), cm3/s	k(2p9->2p4), cm3/s	k(2p9->2p3), cm3/s	k(2p9->2p2), cm3/s	k(2p8->2p10), cm3/s	k(2p8->2p9), cm3/s	k(2p8->2p7), cm3/s	k(2p8->2p6), cm3/s	k(2p8->2p5), cm3/s	k(2p8->2p4), cm3/s	k(2p8->2p3), cm3/s	k(2p8->2p2), cm3/s	k(2p8->2p1), cm3/s	k(2p7->2p10), cm3/s	k(2p7->2p9), cm3/s	k(2p7->2p8), cm3/s	k(2p7->2p6), cm3/s	k(2p7->2p4), cm3/s	k(2p7->2p3), cm3/s	k(2p7->2p2), cm3/s	k(2p6->2p10), cm3/s	k(2p6->2p9), cm3/s	k(2p6->2p8), cm3/s	k(2p6->2p7), cm3/s	k(2p6->2p5), cm3/s	k(2p6->2p4), cm3/s	k(2p6->2p3), cm3/s	k(2p6->2p2), cm3/s	k(2p6->2p1), cm3/s	k(2p5->2p8), cm3/s	k(2p5->2p6), cm3/s	k(2p5->2p3), cm3/s	k(2p5->2p1), cm3/s	k(2p4->2p10), cm3/s	k(2p4->2p9), cm3/s	k(2p4->2p8), cm3/s	k(2p4->2p7), cm3/s	k(2p4->2p6), cm3/s	k(2p4->2p3), cm3/s	k(2p4->2p2), cm3/s	k(2p3->2p10), cm3/s	k(2p3->2p9), cm3/s	k(2p3->2p8), cm3/s	k(2p3->2p7), cm3/s	k(2p3->2p6), cm3/s	k(2p3->2p5), cm3/s	k(2p3->2p4), cm3/s	k(2p3->2p2), cm3/s	k(2p3->2p1), cm3/s	k(2p2->2p10), cm3/s	k(2p2->2p9), cm3/s	k(2p2->2p8), cm3/s	k(2p2->2p7), cm3/s	k(2p2->2p6), cm3/s	k(2p2->2p4), cm3/s	k(2p2->2p3), cm3/s	k(2p1->2p8), cm3/s	k(2p1->2p6), cm3/s	k(2p1->2p5), cm3/s	k(2p1->2p3), cm3/s	
3.000000e+02	3.021465e-14	2.241727e-14	1.409584e-14	3.638043e-16	1.630437e-19	1.652398e-19	1.727869e-20	4.558017e-12	6.576201e-12	3.739035e-12	5.921249e-14	2.572709e-17	2.019540e-17	5.372454e-18	9.876540e-12	1.954650e-11	1.444845e-12	4.230504e-13	1.969824e-17	1.645675e-17	2.830105e-17	7.341476e-18	6.195282e-21	4.542936e-11	1.385662e-10	1.795643e-11	1.651897e-11	2.521119e-14	8.650240e-14	4.037694e-16	2.270682e-12	2.495110e-12	6.456029e-12	1.883011e-11	3.460782e-15	8.907612e-14	2.948638e-13	8.958236e-16	7.196964e-20	8.391738e-14	9.497924e-13	4.147043e-12	1.990315e-18	1.002546e-13	1.041588e-13	2.220595e-14	4.222959e-12	8.484180e-12	3.978569e-11	9.262946e-14	1.145363e-13	9.453994e-14	4.468268e-14	1.094958e-11	3.274233e-11	1.648457e-12	4.638604e-11	8.686676e-13	2.482218e-18	5.022884e-14	1.038178e-13	4.854199e-14	2.141360e-13	4.181554e-13	4.454539e-13	3.651099e-12	2.030137e-10	2.417927e-09	1.391090e-14	1.994742e-14
3.500000e+02	8.332791e-14	6.684933e-14	5.063734e-14	1.700411e-15	1.198328e-18	1.314688e-18	1.567861e-19	5.442012e-12	9.366769e-12	5.652277e-12	1.176517e-13	1.001915e-16	8.479674e-17	2.307453e-17	1.147384e-11	2.499995e-11	2.102436e-12	6.842319e-13	7.114004e-17	5.223928e-17	1.082556e-16	2.935622e-17	5.282382e-20	4.805607e-11	1.411222e-10	1.960975e-11	2.392605e-11	5.586453e-14	2.103813e-13	1.409694e-15	2.831168e-12	3.048267e-12	7.061981e-12	2.488421e-11	8.101076e-15	1.736736e-13	6.371747e-13	2.838172e-15	4.182296e-19	1.156464e-13	1.254513e-12	6.637746e-12	1.151568e-17	1.097290e-13	1.396885e-13	2.708017e-14	4.291394e-12	9.280733e-12	4.645717e-11	1.449429e-13	1.240365e-13	1.245064e-13	5.968145e-14	1.239781e-11	3.610176e-11	2.391908e-12	4.926032e-11	1.429272e-12	1.631375e-17	5.441125e-14	1.230499e-13	5.942436e-14	3.052354e-13	5.922837e-13	5.583283e-13	5.263755e-12	1.620229e-10	1.930756e-09	1.743696e-14	4.471099e-14
4.000000e+02	1.799347e-13	1.522975e-13	1.327799e-13	5.506975e-15	5.338707e-18	6.225054e-18	8.143381e-19	6.280937e-12	1.239185e-11	7.696034e-12	1.996173e-13	2.913137e-16	2.586706e-16	6.959583e-17	1.288982e-11	3.050922e-11	2.794608e-12	9.997264e-13	1.967597e-16	1.267048e-16	3.138957e-16	8.384632e-17	2.621126e-19	5.020793e-11	1.427771e-10	2.101759e-11	3.238059e-11	1.026785e-13	4.145269e-13	3.716523e-15	3.403434e-12	3.591179e-12	7.697193e-12	3.143944e-11	1.573450e-14	2.867245e-13	1.146867e-12	6.911440e-15	1.553438e-18	1.552816e-13	1.586332e-12	9.788103e-12	4.978720e-17	1.173739e-13	1.829707e-13	3.205124e-14	4.429679e-12	9.932607e-12	5.206333e-11	2.135278e-13	1.316118e-13	1.591942e-13	7.861467e-14	1.376787e-11	3.923001e-11	3.276880e-12	5.141200e-11	2.145263e-12	7.119680e-17	5.736249e-14	1.411107e-13	6.985480e-14	4.110400e-13	7.885820e-13	6.951467e-13	7.155160e-12	1.331865e-10	1.587709e-09	2.561377e-14	8.811072e-14
4.500000e+02	3.306786e-13	2.898199e-13	2.817281e-13	1.392529e-14	1.710247e-17	2.086017e-17	2.918232e-18	7.072923e-12	1.558138e-11	9.769111e-12	3.040758e-13	6.920150e-16	6.339046e-16	1.658533e-16	1.415336e-11	3.602792e-11	3.493362e-12	1.363484e-12	4.515396e-16	2.565718e-16	7.504296e-16	1.914102e-16	9.070456e-19	5.203469e-11	1.438197e-10	2.222251e-11	4.173293e-11	1.671003e-13	7.087207e-13	8.080307e-15	3.981503e-12	4.119157e-12	8.359954e-12	3.840983e-11	2.687292e-14	4.246972e-13	1.826398e-12	1.403245e-14	4.285546e-18	2.031234e-13	1.940374e-12	1.358749e-11	1.685672e-16	1.236540e-13	2.334459e-13	3.714528e-14	4.623637e-12	1.050174e-11	5.676297e-11	2.999178e-13	1.377986e-13	1.983835e-13	1.017483e-13	1.506968e-11	4.219290e-11	4.295782e-12	5.303412e-11	3.013884e-12	2.321138e-16	5.942905e-14	1.588816e-13	7.994720e-14	5.298229e-13	1.001086e-12	8.566158e-13	9.306547e-12	1.119962e-10	1.335440e-09	3.984767e-14	1.553125e-13
5.000000e+02	5.419759e-13	4.860280e-13	5.163711e-13	2.955534e-14	4.333594e-17	5.489733e-17	8.060416e-18	7.840254e-12	1.888728e-11	1.181879e-11	4.288463e-13	1.421319e-15	1.326947e-15	3.352702e-16	1.528744e-11	4.153321e-11	4.180208e-12	1.770702e-12	9.031994e-16	4.579084e-16	1.555969e-15	3.737512e-16	2.440012e-18	5.363908e-11	1.447680e-10	2.325827e-11	5.185269e-11	2.502763e-13	1.095835e-12	1.528303e-14	4.561100e-12	4.629753e-12	9.050093e-12	4.572496e-11	4.183292e-14	5.842384e-13	2.667831e-12	2.499551e-14	9.608684e-18	2.591383e-13	2.312664e-12	1.801500e-11	4.672210e-16	1.290055e-13	2.912102e-13	4.242167e-14	4.870214e-12	1.103159e-11	6.070885e-11	4.054955e-13	1.429878e-13	2.417599e-13	1.291304e-13	1.630896e-11	4.502281e-11	5.440640e-12	5.426352e-11	4.029420e-12	6.106496e-16	6.088697e-14	1.759171e-13	8.985073e-14	6.597753e-13	1.224753e-12	1.043332e-12	1.169831e-11	9.588668e-11	1.143551e-09	6.138269e-14	2.501241e-13
5.500000e+02	8.160271e-13	7.431933e-13	8.495033e-13	5.515368e-14	9.303944e-17	1.212361e-16	1.846289e-17	8.587631e-12	2.227723e-11	1.379315e-11	5.712417e-13	2.609860e-15	2.468989e-15	6.018989e-16	1.631003e-11	4.701616e-11	4.843660e-12	2.217745e-12	1.626656e-15	7.457748e-16	2.892060e-15	6.517376e-16	5.467034e-18	5.509401e-11	1.454106e-10	2.415237e-11	6.262693e-11	3.535275e-13	1.573505e-12	2.606353e-14	5.139152e-12	5.121860e-12	9.767879e-12	5.332620e-11	6.076674e-14	7.628924e-13	3.656973e-12	4.039448e-14	1.854078e-17	3.230168e-13	2.700046e-12	2.304302e-11	1.102219e-15	1.338418e-13	3.560106e-13	4.794943e-14	5.169770e-12	1.155248e-11	6.403531e-11	5.316217e-13	1.474648e-13	2.889497e-13	1.606245e-13	1.748934e-11	4.773323e-11	6.703226e-12	5.519996e-11	5.184072e-12	1.365682e-15	6.196668e-14	1.927406e-13	9.970820e-14	7.990687e-13	1.455532e-12	1.256197e-12	1.430999e-11	8.330228e-11	9.935849e-10	9.107033e-14	3.745601e-13
6.000000e+02	1.159313e-12	1.060070e-12	1.290417e-12	9.336373e-14	1.757594e-16	2.348325e-16	3.678371e-17	9.317463e-12	2.572948e-11	1.567925e-11	7.284638e-13	4.400938e-15	4.195399e-15	9.887006e-16	1.723538e-11	5.247488e-11	5.477160e-12	2.701847e-12	2.697852e-15	1.134312e-15	4.930497e-15	1.044400e-15	1.068246e-17	5.644794e-11	1.458308e-10	2.492759e-11	7.395740e-11	4.783846e-13	2.135826e-12	4.103637e-14	5.713444e-12	5.595114e-12	1.051337e-11	6.116348e-11	8.370122e-14	9.591576e-13	4.776209e-12	6.060160e-14	3.198428e-17	3.942346e-13	3.100010e-12	2.863880e-11	2.284124e-15	1.378919e-13	4.279080e-13	5.379153e-14	5.522268e-12	1.208476e-11	6.685613e-11	6.783937e-13	1.514391e-13	3.395387e-13	1.959499e-13	1.861336e-11	5.032723e-11	8.074948e-12	5.591732e-11	6.468364e-12	2.692572e-15	6.275803e-14	2.101609e-13	1.096371e-13	9.459380e-13	1.690227e-12	1.490434e-12	1.711997e-11	7.325022e-11	8.737528e-10	1.292629e-13	5.287679e-13
6.500000e+02	1.562035e-12	1.432897e-12	1.838048e-12	1.465239e-13	3.019215e-16	4.113523e-16	6.594007e-17	1.003061e-11	2.922884e-11	1.747107e-11	8.978244e-13	6.930038e-15	6.636053e-15	1.516030e-15	1.807488e-11	5.791015e-11	6.077496e-12	3.220781e-12	4.188092e-15	1.636798e-15	7.839431e-15	1.568515e-15	1.879104e-17	5.774635e-11	1.460869e-10	2.560294e-11	8.575773e-11	6.263962e-13	2.774741e-12	6.067364e-14	6.282364e-12	6.049576e-12	1.128613e-11	6.919324e-11	1.105719e-13	1.172236e-12	6.006358e-12	8.578120e-14	5.064098e-17	4.721108e-13	3.510493e-12	3.476491e-11	4.262356e-15	1.418703e-13	5.059402e-13	5.999565e-14	5.927773e-12	1.264114e-11	6.926580e-11	8.463707e-13	1.550650e-13	3.930835e-13	2.347201e-13	1.968287e-11	5.280272e-11	9.546684e-12	5.647124e-11	7.871332e-12	4.804314e-15	6.345147e-14	2.279333e-13	1.197225e-13	1.098739e-12	1.926321e-12	1.751905e-12	2.010509e-11	6.507038e-11	7.762105e-10	1.758157e-13	7.112373e-13
7.000000e+02	2.028189e-12	1.856312e-12	2.493669e-12	2.165573e-13	4.822605e-16	6.660013e-16	1.087892e-16	1.074123e-11	3.276400e-11	1.915269e-11	1.076849e-12	1.034136e-14	9.907514e-15	2.204187e-15	1.883789e-11	6.332287e-11	6.643656e-12	3.772587e-12	6.159544e-15	2.265483e-15	1.177109e-14	2.238425e-15	3.043888e-17	5.900927e-11	1.462204e-10	2.619431e-11	9.795047e-11	7.991207e-13	3.481061e-12	8.528813e-14	6.844696e-12	6.485516e-12	1.208507e-11	7.737636e-11	1.412487e-13	1.401712e-12	7.327904e-12	1.159194e-13	7.497906e-17	5.558572e-13	3.929693e-12	4.137938e-11	7.302301e-15	1.458128e-13	5.914532e-13	6.658990e-14	6.384887e-12	1.322839e-11	7.134167e-11	1.034611e-12	1.584552e-13	4.491201e-13	2.764795e-13	2.069927e-11	5.515554e-11	1.110864e-11	5.690372e-11	9.380660e-12	7.910016e-15	6.411189e-14	2.460942e-13	1.300165e-13	1.255888e-12	2.161795e-12	2.032433e-12	2.324061e-11	5.830848e-11	6.955567e-10	2.301624e-13	9.191732e-13
7.500000e+02	2.557943e-12	2.324082e-12	3.253593e-12	3.049268e-13	7.219489e-16	1.012680e-15	1.681071e-16	1.144852e-11	3.632571e-11	2.072517e-11	1.263314e-12	1.473567e-14	1.410730e-14	3.069260e-15	1.953218e-11	6.871260e-11	7.176048e-12	4.355349e-12	8.662146e-15	3.031219e-15	1.685243e-14	3.065898e-15	4.616412e-17	6.026434e-11	1.462617e-10	2.671499e-11	1.104650e-10	9.974573e-13	4.245163e-12	1.150313e-13	7.399488e-12	6.903298e-12	1.290843e-11	8.567680e-11	1.755531e-13	1.647267e-12	8.721783e-12	1.508586e-13	1.052373e-16	6.446213e-13	4.355930e-12	4.843585e-11	1.166063e-14	1.494126e-13	6.777678e-13	7.358200e-14	6.891034e-12	1.384879e-11	7.314653e-11	1.242037e-12	1.616904e-13	5.071724e-13	3.207331e-13	2.166365e-11	5.738130e-11	1.275031e-11	5.724636e-11	1.098288e-11	1.219549e-14	6.475113e-14	2.649663e-13	1.405400e-13	1.415875e-12	2.395011e-12	2.333799e-12	2.650044e-11	5.264277e-11	6.279637e-10	2.914246e-13	1.148919e-12
