T, K	k(2p10->2p9), cm3/s	k(2p10->2p8), cm3/s	k(2p10->2p7), cm3/s	k(2p10->2p6), cm3/s	k(2p10->2p4), cm3/s	k(2p10->2p3), cm3/s	k(2p10->2p2), cm3/s	k(2p9->2p10), cm3/s	k(2p9->2p8), cm3/s	k(2p9->2p7), cm3/s	k(2p9->2p6), cm3/s	k(2p9->2p4), cm3/s	k(2p9->2p3), cm3/s	k(2p9->2p2), cm3/s	k(2p8->2p10), cm3/s	k(2p8->2p9), cm3/s	k(2p8->2p7), cm3/s	k(2p8->2p6), cm3/s	k(2p8->2p5), cm3/s	k(2p8->2p4), cm3/s	k(2p8->2p3), cm3/s	k(2p8->2p2), cm3/s	k(2p8->2p1), cm3/s	k(2p7->2p10), cm3/s	k(2p7->2p9), cm3/s	k(2p7->2p8), cm3/s	k(2p7->2p6), cm3/s	k(2p7->2p4), cm3/s	k(2p7->2p3), cm3/s	k(2p7->2p2), cm3/s	k(2p6->2p10), cm3/s	k(2p6->2p9), cm3/s	k(2p6->2p8), cm3/s	k(2p6->2p7), cm3/s	k(2p6->2p5), cm3/s	k(2p6->2p4), cm3/s	k(2p6->2p3), cm3/s	k(2p6->2p2), cm3/s	k(2p6->2p1), cm3/s	k(2p5->2p8), cm3/s	k(2p5->2p6), cm3/s	k(2p5->2p3), cm3/s	k(2p5->2p1), cm3/s	k(2p4->2p10), cm3/s	k(2p4->2p9), cm3/s	k(2p4->2p8), cm3/s	k(2p4->2p7), cm3/s	k(2p4->2p6), cm3/s	k(2p4->2p3), cm3/s	k(2p4->2p2), cm3/s	k(2p3->2p10), cm3/s	k(2p3->2p9), cm3/s	k(2p3->2p8), cm3/s	k(2p3->2p7), cm3/s	k(2p3->2p6), cm3/s	k(2p3->2p5), cm3/s	k(2p3->2p4), cm3/s	k(2p3->2p2), cm3/s	k(2p3->2p1), cm3/s	k(2p2->2p10), cm3/s	k(2p2->2p9), cm3/s	k(2p2->2p8), cm3/s	k(2p2->2p7), cm3/s	k(2p2->2p6), cm3/s	k(2p2->2p4), cm3/s	k(2p2->2p3), cm3/s	k(2p1->2p8), cm3/s	k(2p1->2p6), cm3/s	k(2p1->2p5), cm3/s	k(2p1->2p3), cm3/s	
3.000000e+02	2.994116e-14	2.241509e-14	1.411004e-14	3.637529e-16	1.632717e-19	1.651236e-19	1.726729e-20	4.518184e-12	6.571902e-12	3.750230e-12	5.920135e-14	2.573818e-17	2.020048e-17	5.368537e-18	9.875444e-12	1.953369e-11	1.443955e-12	4.235534e-13	1.965683e-17	1.645076e-17	2.829056e-17	7.342404e-18	6.186624e-21	7.856741e-11	1.388808e-10	1.794541e-11	1.651762e-11	2.530092e-14	8.649707e-14	4.037963e-16	2.270369e-12	2.494640e-12	6.468554e-12	1.882853e-11	3.456432e-15	8.939252e-14	2.948481e-13	8.957900e-16	7.189430e-20	8.374043e-14	9.485976e-13	4.141899e-12	1.978428e-18	1.004935e-13	1.041560e-13	2.219762e-14	2.755230e-12	8.514167e-12	3.980473e-11	9.259049e-14	1.144500e-13	9.447995e-14	4.461031e-14	1.094880e-11	3.274010e-11	1.646417e-12	4.640780e-11	8.686560e-13	2.467770e-18	5.023436e-14	1.039556e-13	4.854833e-14	2.141632e-13	4.181315e-13	4.452806e-13	3.651053e-12	4.986613e-11	3.119232e-10	7.795379e-15	1.905155e-14
3.500000e+02	8.259108e-14	6.684240e-14	5.068361e-14	1.700259e-15	1.198905e-18	1.313935e-18	1.567842e-19	5.395797e-12	9.359046e-12	5.665674e-12	1.176355e-13	1.002972e-16	8.481029e-17	2.307831e-17	1.147252e-11	2.497932e-11	2.101396e-12	6.848206e-13	7.097694e-17	5.222284e-17	1.082231e-16	2.935911e-17	5.277098e-20	8.230221e-11	1.413541e-10	1.960007e-11	2.392491e-11	5.602336e-14	2.103683e-13	1.409627e-15	2.830916e-12	3.047845e-12	7.071940e-12	2.488297e-11	8.089224e-15	1.741898e-13	6.371358e-13	2.838120e-15	4.179170e-19	1.153818e-13	1.252676e-12	6.624340e-12	1.148397e-17	1.099083e-13	1.398662e-13	2.707145e-14	3.120373e-12	9.308180e-12	4.647392e-11	1.450232e-13	1.239608e-13	1.244599e-13	5.961901e-14	1.239695e-11	3.609916e-11	2.387082e-12	4.927772e-11	1.429264e-12	1.626342e-17	5.441190e-14	1.231306e-13	5.943041e-14	3.052538e-13	5.922665e-13	5.582137e-13	5.263727e-12	3.992088e-11	2.496104e-10	1.255614e-14	4.395119e-14
4.000000e+02	1.785529e-13	1.522821e-13	1.328280e-13	5.506660e-15	5.346643e-18	6.222081e-18	8.143264e-19	6.225019e-12	1.237886e-11	7.710434e-12	1.995961e-13	2.915566e-16	2.586991e-16	6.962596e-17	1.288839e-11	3.047723e-11	2.793466e-12	1.000344e-12	1.962201e-16	1.266700e-16	3.138131e-16	8.385308e-17	2.619168e-19	8.560449e-11	1.430520e-10	2.100901e-11	3.237965e-11	1.029148e-13	4.145033e-13	3.716826e-15	3.403235e-12	3.590791e-12	7.705145e-12	3.143848e-11	1.570602e-14	2.874497e-13	1.146796e-12	6.911396e-15	1.552556e-18	1.548576e-13	1.583459e-12	9.761853e-12	4.978413e-17	1.175136e-13	1.828642e-13	3.204227e-14	3.467170e-12	9.957600e-12	5.207804e-11	2.134933e-13	1.315451e-13	1.591575e-13	7.855731e-14	1.376701e-11	3.922728e-11	3.268098e-12	5.142624e-11	2.145260e-12	7.112560e-17	5.736529e-14	1.412859e-13	6.986060e-14	4.110725e-13	7.885727e-13	6.950619e-13	7.155153e-12	3.289539e-11	2.055932e-10	2.162697e-14	8.751173e-14
4.500000e+02	3.281076e-13	2.897923e-13	2.820258e-13	1.392477e-14	1.710452e-17	2.085171e-17	2.916182e-18	7.017849e-12	1.556143e-11	9.787799e-12	3.040495e-13	6.924708e-16	6.339565e-16	1.659102e-16	1.415190e-11	3.598178e-11	3.492158e-12	1.364051e-12	4.500992e-16	2.565099e-16	7.502479e-16	1.914232e-16	9.065234e-19	8.858643e-11	1.442275e-10	2.221485e-11	4.173221e-11	1.674006e-13	7.086853e-13	8.079957e-15	3.981346e-12	4.118790e-12	8.366117e-12	3.840911e-11	2.681400e-14	4.256224e-13	1.826292e-12	1.403246e-14	4.283636e-18	2.024786e-13	1.936117e-12	1.354434e-11	1.690191e-16	1.237968e-13	2.332908e-13	3.713617e-14	3.814684e-12	1.052449e-11	5.677593e-11	2.998450e-13	1.377396e-13	1.983543e-13	1.016927e-13	1.506887e-11	4.219018e-11	4.282144e-12	5.304596e-11	3.013888e-12	2.323510e-16	5.943204e-14	1.587405e-13	7.995287e-14	5.298633e-13	1.001083e-12	8.566748e-13	9.306560e-12	2.771636e-11	1.731462e-10	3.659268e-14	1.550414e-13
5.000000e+02	5.380075e-13	4.859854e-13	5.166318e-13	2.955463e-14	4.338740e-17	5.487818e-17	8.058204e-18	7.783839e-12	1.885907e-11	1.183482e-11	4.288153e-13	1.420536e-15	1.327031e-15	3.353566e-16	1.528598e-11	4.147118e-11	4.178968e-12	1.771112e-12	9.000116e-16	4.578108e-16	1.555614e-15	3.737729e-16	2.438916e-18	9.132083e-11	1.450391e-10	2.325137e-11	5.185215e-11	2.506587e-13	1.095788e-12	1.528522e-14	4.560980e-12	4.629410e-12	9.054483e-12	4.572444e-11	4.172636e-14	5.853436e-13	2.667688e-12	2.499562e-14	9.605366e-18	2.582281e-13	2.306768e-12	1.795200e-11	4.698932e-16	1.291321e-13	2.910820e-13	4.241250e-14	4.177936e-12	1.105236e-11	6.072033e-11	4.055107e-13	1.429352e-13	2.417366e-13	1.290742e-13	1.630820e-11	4.502018e-11	5.421618e-12	5.427356e-11	4.029428e-12	6.126170e-16	6.088745e-14	1.758436e-13	8.985620e-14	6.598044e-13	1.224755e-12	1.043359e-12	1.169833e-11	2.376929e-11	1.484191e-10	5.884564e-14	2.505613e-13
5.500000e+02	8.118527e-13	7.431333e-13	8.498877e-13	5.515282e-14	9.301759e-17	1.211993e-16	1.846168e-17	8.529950e-12	2.223995e-11	1.381315e-11	5.712060e-13	2.609724e-15	2.469115e-15	6.017763e-16	1.630861e-11	4.693748e-11	4.842412e-12	2.217867e-12	1.620576e-15	7.456336e-16	2.891436e-15	6.517696e-16	5.465168e-18	9.385695e-11	1.455895e-10	2.414612e-11	6.262657e-11	3.539938e-13	1.573447e-12	2.606486e-14	5.139060e-12	5.121527e-12	9.770394e-12	5.332584e-11	6.059406e-14	7.641540e-13	3.656795e-12	4.039472e-14	1.853632e-17	3.218148e-13	2.692367e-12	2.295863e-11	1.112194e-15	1.338060e-13	3.560249e-13	4.794025e-14	4.568309e-12	1.157149e-11	6.404556e-11	5.314899e-13	1.474176e-13	2.889310e-13	1.605665e-13	1.748865e-11	4.773071e-11	6.678680e-12	5.520860e-11	5.184076e-12	1.373397e-15	6.194300e-14	1.929124e-13	9.971333e-14	7.990887e-13	1.455539e-12	1.254972e-12	1.431002e-11	2.067968e-11	1.290649e-10	8.937643e-14	3.763543e-13
6.000000e+02	1.150763e-12	1.059991e-12	1.289534e-12	9.336287e-14	1.758828e-16	2.347697e-16	3.679144e-17	9.261009e-12	2.568275e-11	1.570110e-11	7.284239e-13	4.401286e-15	4.195573e-15	9.880721e-16	1.723400e-11	5.237959e-11	5.475916e-12	2.701532e-12	2.687534e-15	1.134120e-15	4.929497e-15	1.044442e-15	1.067996e-17	9.622907e-11	1.459474e-10	2.492190e-11	7.395720e-11	4.789083e-13	2.135759e-12	4.103751e-14	5.713376e-12	5.594794e-12	1.051387e-11	6.116324e-11	8.344504e-14	9.605504e-13	4.775997e-12	6.060196e-14	3.198076e-17	3.927333e-13	3.090515e-12	2.853303e-11	2.312839e-15	1.380383e-13	4.277907e-13	5.378235e-14	4.993652e-12	1.210222e-11	6.686533e-11	6.783342e-13	1.513965e-13	3.395235e-13	1.958894e-13	1.861274e-11	5.032483e-11	8.045128e-12	5.592484e-11	6.468360e-12	2.714822e-15	6.275676e-14	2.102036e-13	1.096417e-13	9.459664e-13	1.690237e-12	1.490933e-12	1.711996e-11	1.820765e-11	1.135804e-10	1.286661e-13	5.328518e-13
6.500000e+02	1.554038e-12	1.432799e-12	1.838371e-12	1.465231e-13	3.021044e-16	4.112547e-16	6.593105e-17	9.980223e-12	2.917267e-11	1.748788e-11	8.977804e-13	6.934929e-15	6.636278e-15	1.515571e-15	1.807355e-11	5.779890e-11	6.076264e-12	3.219876e-12	4.172142e-15	1.636548e-15	7.837954e-15	1.568564e-15	1.878888e-17	9.846168e-11	1.461598e-10	2.559773e-11	8.575767e-11	6.269754e-13	2.774667e-12	6.067480e-14	6.282316e-12	6.049267e-12	1.128447e-11	6.919312e-11	1.102182e-13	1.173736e-12	6.006119e-12	8.578164e-14	5.064418e-17	4.703198e-13	3.499257e-12	3.463944e-11	4.331304e-15	1.419973e-13	5.059513e-13	5.998643e-14	5.458480e-12	1.265723e-11	6.927413e-11	8.461318e-13	1.550264e-13	3.930708e-13	2.346573e-13	1.968232e-11	5.280048e-11	9.512230e-12	5.647788e-11	7.871296e-12	4.857142e-15	6.344499e-14	2.279044e-13	1.197265e-13	1.098765e-12	1.926329e-12	1.750197e-12	2.010501e-11	1.619318e-11	1.009631e-10	1.766799e-13	7.188007e-13
7.000000e+02	2.019694e-12	1.856196e-12	2.495205e-12	2.165567e-13	4.814087e-16	6.658593e-16	1.087892e-16	1.068961e-11	3.269869e-11	1.916956e-11	1.076801e-12	1.034112e-14	9.907773e-15	2.203646e-15	1.883662e-11	6.319667e-11	6.642448e-12	3.770944e-12	6.136694e-15	2.265166e-15	1.176907e-14	2.238473e-15	3.043974e-17	1.005726e-10	1.462597e-10	2.618952e-11	9.795047e-11	7.996330e-13	3.480980e-12	8.528851e-14	6.844664e-12	6.485213e-12	1.208114e-11	7.737632e-11	1.407889e-13	1.403296e-12	7.327643e-12	1.159198e-13	7.500096e-17	5.538028e-13	3.916893e-12	4.123760e-11	7.446677e-15	1.458109e-13	5.899905e-13	6.658055e-14	5.964338e-12	1.324326e-11	7.134920e-11	1.034502e-12	1.584198e-13	4.491088e-13	2.764153e-13	2.069877e-11	5.515344e-11	1.107058e-11	5.690960e-11	9.380564e-12	8.019012e-15	6.409175e-14	2.461321e-13	1.300195e-13	1.255902e-12	2.161801e-12	2.031252e-12	2.324039e-11	1.452589e-11	9.052112e-11	2.329345e-13	9.316034e-13
7.500000e+02	2.544880e-12	2.323948e-12	3.255872e-12	3.049265e-13	7.227401e-16	1.012484e-15	1.681684e-16	1.139033e-11	3.625174e-11	2.074651e-11	1.263263e-12	1.473488e-14	1.410756e-14	3.069397e-15	1.953096e-11	6.857272e-11	7.174868e-12	4.352842e-12	8.631444e-15	3.030824e-15	1.684985e-14	3.065928e-15	4.617336e-17	1.025752e-10	1.462704e-10	2.671057e-11	1.104651e-10	9.979834e-13	4.245077e-12	1.150327e-13	7.399464e-12	6.903002e-12	1.290218e-11	8.567680e-11	1.749855e-13	1.648915e-12	8.721506e-12	1.508586e-13	1.052988e-16	6.423446e-13	4.341837e-12	4.828293e-11	1.193223e-14	1.495742e-13	6.793168e-13	7.357233e-14	6.510296e-12	1.386257e-11	7.315340e-11	1.242608e-12	1.616577e-13	5.071614e-13	3.206690e-13	2.166319e-11	5.737940e-11	1.271006e-11	5.725160e-11	1.098270e-11	1.239743e-14	6.475621e-14	2.649401e-13	1.405415e-13	1.415889e-12	2.395011e-12	2.332152e-12	2.649999e-11	1.312740e-11	8.176342e-11	2.966040e-13	1.167724e-12
