T, K	k(2p10->2p9), cm3/s	k(2p10->2p8), cm3/s	k(2p10->2p7), cm3/s	k(2p10->2p6), cm3/s	k(2p10->2p4), cm3/s	k(2p10->2p3), cm3/s	k(2p10->2p2), cm3/s	k(2p9->2p10), cm3/s	k(2p9->2p8), cm3/s	k(2p9->2p7), cm3/s	k(2p9->2p6), cm3/s	k(2p9->2p4), cm3/s	k(2p9->2p3), cm3/s	k(2p9->2p2), cm3/s	k(2p8->2p10), cm3/s	k(2p8->2p9), cm3/s	k(2p8->2p7), cm3/s	k(2p8->2p6), cm3/s	k(2p8->2p5), cm3/s	k(2p8->2p4), cm3/s	k(2p8->2p3), cm3/s	k(2p8->2p2), cm3/s	k(2p8->2p1), cm3/s	k(2p7->2p10), cm3/s	k(2p7->2p9), cm3/s	k(2p7->2p8), cm3/s	k(2p7->2p6), cm3/s	k(2p7->2p4), cm3/s	k(2p7->2p3), cm3/s	k(2p7->2p2), cm3/s	k(2p6->2p10), cm3/s	k(2p6->2p9), cm3/s	k(2p6->2p8), cm3/s	k(2p6->2p7), cm3/s	k(2p6->2p5), cm3/s	k(2p6->2p4), cm3/s	k(2p6->2p3), cm3/s	k(2p6->2p2), cm3/s	k(2p6->2p1), cm3/s	k(2p5->2p8), cm3/s	k(2p5->2p6), cm3/s	k(2p5->2p3), cm3/s	k(2p5->2p1), cm3/s	k(2p4->2p10), cm3/s	k(2p4->2p9), cm3/s	k(2p4->2p8), cm3/s	k(2p4->2p7), cm3/s	k(2p4->2p6), cm3/s	k(2p4->2p3), cm3/s	k(2p4->2p2), cm3/s	k(2p3->2p10), cm3/s	k(2p3->2p9), cm3/s	k(2p3->2p8), cm3/s	k(2p3->2p7), cm3/s	k(2p3->2p6), cm3/s	k(2p3->2p5), cm3/s	k(2p3->2p4), cm3/s	k(2p3->2p2), cm3/s	k(2p3->2p1), cm3/s	k(2p2->2p10), cm3/s	k(2p2->2p9), cm3/s	k(2p2->2p8), cm3/s	k(2p2->2p7), cm3/s	k(2p2->2p6), cm3/s	k(2p2->2p4), cm3/s	k(2p2->2p3), cm3/s	k(2p1->2p8), cm3/s	k(2p1->2p6), cm3/s	k(2p1->2p5), cm3/s	k(2p1->2p3), cm3/s	
3.000000e+02	2.113133e-14	1.362041e-14	1.122742e-14	3.463604e-16	9.191839e-21	7.331807e-21	2.653761e-22	3.192011e-12	6.368110e-12	3.936530e-12	7.022359e-14	8.849937e-18	6.805841e-18	2.972380e-19	6.000760e-12	1.892856e-11	1.226468e-12	4.464365e-13	1.424653e-17	1.952348e-18	9.220666e-18	5.327320e-19	4.666964e-23	6.260504e-11	1.457664e-10	1.524249e-11	1.778677e-11	2.289744e-14	7.932173e-14	4.132126e-16	2.161799e-12	2.959089e-12	6.824229e-12	2.027523e-11	2.854478e-15	7.994752e-14	2.638110e-13	1.048413e-15	5.830254e-22	6.071452e-14	7.833697e-13	4.850423e-12	3.213102e-18	5.668703e-15	3.583347e-14	2.636321e-15	1.067771e-11	7.614613e-12	3.623200e-11	9.617883e-14	5.074664e-15	3.184166e-14	1.456164e-14	1.004054e-11	2.929390e-11	1.928056e-12	4.224244e-11	1.107559e-12	6.263822e-18	7.707829e-16	5.773648e-15	3.495210e-15	2.197922e-13	4.893033e-13	4.684722e-13	4.655182e-12	5.706945e-12	7.807885e-11	1.264804e-14	4.828532e-14
3.500000e+02	6.073950e-14	4.182059e-14	4.088280e-14	1.613153e-15	7.472863e-20	6.668333e-20	2.544090e-21	3.970972e-12	8.928869e-12	5.895689e-12	1.354421e-13	3.707103e-17	3.049962e-17	1.478548e-18	7.177892e-12	2.383171e-11	1.799178e-12	7.169036e-13	5.423838e-17	6.424172e-18	4.180073e-17	2.337144e-18	4.065488e-22	6.646609e-11	1.470815e-10	1.678123e-11	2.547745e-11	5.067020e-14	1.927853e-13	1.433066e-15	2.685874e-12	3.509193e-12	7.411436e-12	2.649768e-11	6.598522e-15	1.561654e-13	5.719581e-13	3.224743e-15	3.537512e-21	8.818981e-14	1.021805e-12	7.660759e-12	2.182709e-17	6.867518e-15	5.171806e-14	3.331752e-15	9.344830e-12	8.345033e-12	4.232924e-11	1.679678e-13	6.285420e-15	4.476923e-14	2.305894e-14	1.136078e-11	3.240646e-11	2.760552e-12	4.488300e-11	1.772080e-12	3.768866e-17	8.821058e-16	7.925839e-15	4.709310e-15	3.109702e-13	6.728940e-13	6.519973e-13	6.526256e-12	4.566758e-12	6.247755e-11	2.346773e-14	1.018001e-13
4.000000e+02	1.360120e-13	9.767880e-14	1.084817e-13	5.211270e-15	3.721084e-19	3.586089e-19	1.466622e-20	4.744064e-12	1.168509e-11	7.962317e-12	2.242898e-13	1.148298e-16	9.859060e-17	5.338711e-18	8.267044e-12	2.876959e-11	2.402426e-12	1.040200e-12	1.556448e-16	1.705862e-17	1.374661e-16	7.733860e-18	2.066750e-21	6.998447e-11	1.477159e-10	1.806808e-11	3.414123e-11	9.294116e-14	3.792470e-13	3.747638e-15	3.220668e-12	4.035034e-12	8.022070e-12	3.314885e-11	1.274980e-14	2.580666e-13	1.031541e-12	7.643896e-15	1.412240e-20	1.228426e-13	1.285396e-12	1.112328e-11	9.618399e-17	8.200009e-15	7.204338e-14	4.316423e-15	8.487066e-12	8.939753e-12	4.748183e-11	2.644423e-13	7.576892e-15	6.066630e-14	3.445447e-14	1.259603e-11	3.528501e-11	3.723878e-12	4.688756e-11	2.596492e-12	1.502105e-16	1.032666e-15	1.089141e-14	6.425549e-15	4.151095e-13	8.721047e-13	8.657459e-13	8.660160e-12	3.761351e-12	5.145702e-11	4.141977e-14	1.847785e-13
4.500000e+02	2.575432e-13	1.898377e-13	2.329182e-13	1.315401e-14	1.331207e-18	1.353367e-18	6.024993e-20	5.510129e-12	1.458315e-11	1.003964e-11	3.348828e-13	2.886743e-16	2.546653e-16	1.540890e-17	9.270652e-12	3.372018e-11	3.010120e-12	1.409296e-12	3.667308e-16	3.926377e-17	3.608142e-16	2.094072e-17	7.350582e-21	7.322492e-11	1.479308e-10	1.914843e-11	4.362050e-11	1.509833e-13	6.470670e-13	8.077671e-15	3.760964e-12	4.536471e-12	8.655060e-12	4.014704e-11	2.176800e-14	3.825109e-13	1.644453e-12	1.516233e-14	4.297442e-20	1.649649e-13	1.571758e-12	1.520886e-11	3.150990e-16	9.659995e-15	9.727433e-14	5.685499e-15	7.940357e-12	9.458487e-12	5.184306e-11	3.867937e-13	8.935936e-15	7.969179e-14	4.896128e-14	1.375866e-11	3.798955e-11	4.808390e-12	4.843716e-11	3.573432e-12	4.523896e-16	1.227656e-15	1.482282e-14	8.731520e-15	5.303213e-13	1.081651e-12	1.109204e-12	1.103437e-11	3.167664e-12	4.333344e-11	6.797491e-14	3.018402e-13
5.000000e+02	4.332128e-13	3.240591e-13	4.309433e-13	2.788221e-14	3.771732e-18	3.979581e-18	1.957355e-19	6.268678e-12	1.758783e-11	1.206723e-11	4.644487e-13	6.235006e-16	5.594735e-16	3.768823e-17	1.019282e-11	3.867608e-11	3.605366e-12	1.818717e-12	7.478890e-16	8.125888e-17	8.025573e-16	4.872736e-17	2.039502e-20	7.623183e-11	1.478807e-10	2.005990e-11	5.378283e-11	2.259440e-13	9.982513e-13	1.515380e-14	4.302880e-12	5.014100e-12	9.310571e-12	4.742696e-11	3.398430e-14	5.265948e-13	2.402842e-12	2.647883e-14	1.086610e-19	2.145496e-13	1.878767e-12	1.988465e-11	8.335648e-16	1.125380e-14	1.277802e-13	7.528927e-15	7.615683e-12	9.943093e-12	5.555699e-11	5.356732e-13	1.036178e-14	1.019270e-13	6.665804e-14	1.485660e-11	4.055073e-11	6.005288e-12	4.965844e-11	4.694004e-12	1.114584e-15	1.478939e-15	1.986381e-14	1.170145e-14	6.547126e-13	1.297400e-12	1.381703e-12	1.362775e-11	2.715238e-12	3.714272e-11	1.042474e-13	4.558504e-13
5.500000e+02	6.680269e-13	5.029845e-13	7.152213e-13	5.198107e-14	9.017568e-18	9.757600e-18	5.379903e-19	7.019293e-12	2.067624e-11	1.401009e-11	6.099436e-13	1.200722e-15	1.088396e-15	8.116612e-17	1.103837e-11	4.363757e-11	4.178048e-12	2.264365e-12	1.366625e-15	1.543427e-16	1.574276e-15	1.006987e-16	4.731120e-20	7.903723e-11	1.476594e-10	2.083335e-11	6.451681e-11	3.191480e-13	1.430084e-12	2.563547e-14	4.843516e-12	5.468859e-12	9.989018e-12	5.493536e-11	4.961490e-14	6.882612e-13	3.293031e-12	4.208000e-14	2.404824e-19	2.713280e-13	2.204559e-12	2.511596e-11	1.878084e-15	1.300233e-14	1.638208e-13	9.924220e-15	7.460939e-12	1.042226e-11	5.874792e-11	7.112819e-13	1.186542e-14	1.273733e-13	8.750255e-14	1.589519e-11	4.298274e-11	7.306246e-12	5.064192e-11	5.948388e-12	2.363640e-15	1.805232e-15	2.614360e-14	1.539469e-14	7.864776e-13	1.516237e-12	1.682346e-12	1.641981e-11	2.361132e-12	3.229727e-11	1.508503e-13	6.477076e-13
6.000000e+02	9.644254e-13	7.265287e-13	1.093738e-12	8.792660e-14	1.899313e-17	2.088655e-17	1.307358e-18	7.761473e-12	2.383318e-11	1.584991e-11	7.683944e-13	2.114499e-15	1.927001e-15	1.580503e-16	1.181235e-11	4.860769e-11	4.722736e-12	2.743159e-12	2.291818e-15	2.726656e-16	2.799793e-15	1.892170e-16	9.606804e-20	8.166547e-11	1.473256e-10	2.149403e-11	7.572793e-11	4.321053e-13	1.936735e-12	4.005930e-14	5.380696e-12	5.901803e-12	1.069055e-11	6.262764e-11	6.878040e-14	8.662960e-13	4.298260e-12	6.223800e-14	4.809460e-19	3.348218e-13	2.547442e-12	3.086643e-11	3.736691e-15	1.493881e-14	2.055334e-13	1.293108e-14	7.442993e-12	1.091469e-11	6.151913e-11	9.134020e-13	1.346653e-14	1.559525e-13	1.113515e-13	1.687828e-11	4.529099e-11	8.703050e-12	5.145340e-11	7.325992e-12	4.464990e-15	2.230343e-15	3.376889e-14	1.985359e-14	9.239407e-13	1.735843e-12	2.009919e-12	1.938988e-11	2.077841e-12	2.842074e-11	2.078422e-13	8.763730e-13
6.500000e+02	1.322763e-12	9.925207e-13	1.570083e-12	1.379044e-13	3.631690e-17	4.029982e-17	2.888571e-18	8.494656e-12	2.704787e-11	1.757891e-11	9.370662e-13	3.466653e-15	3.165580e-15	2.836279e-16	1.251980e-11	5.358934e-11	5.237104e-12	3.252672e-12	3.588370e-15	4.525384e-16	4.605354e-15	3.289710e-16	1.762081e-19	8.413549e-11	1.469163e-10	2.206255e-11	8.733487e-11	5.663515e-13	2.510542e-12	5.881435e-14	5.912776e-12	6.313982e-12	1.141480e-11	7.046568e-11	9.152318e-14	1.060072e-12	5.400511e-12	8.703568e-14	8.869330e-19	4.043985e-13	2.905803e-12	3.709761e-11	6.736166e-15	1.710379e-14	2.529223e-13	1.658809e-14	7.538730e-12	1.143152e-11	6.395481e-11	1.141395e-12	1.518904e-14	1.875108e-13	1.379825e-13	1.780872e-11	4.747651e-11	1.018727e-11	5.214116e-11	8.815412e-12	7.697268e-15	2.780143e-15	4.281507e-14	2.510131e-14	1.065569e-12	1.954470e-12	2.362821e-12	2.251648e-11	1.847017e-12	2.526207e-11	2.747605e-13	1.139126e-12
7.000000e+02	1.741799e-12	1.297367e-12	2.144160e-12	2.037055e-13	6.439494e-17	7.170120e-17	5.904539e-18	9.218231e-12	3.031178e-11	1.919574e-11	1.113526e-12	5.360920e-15	4.893458e-15	4.757462e-16	1.316563e-11	5.858373e-11	5.720808e-12	3.790833e-12	5.312946e-15	7.114204e-16	7.110377e-15	5.362532e-16	2.984724e-19	8.646257e-11	1.464555e-10	2.255571e-11	9.926620e-11	7.232401e-13	3.142945e-12	8.213734e-14	6.438476e-12	6.706407e-12	1.216084e-11	7.841572e-11	1.178208e-13	1.269246e-12	6.581675e-12	1.164012e-13	1.528819e-18	4.793212e-13	3.278019e-12	4.376844e-11	1.121249e-14	1.953913e-14	3.058562e-13	2.091149e-14	7.730502e-12	1.197819e-11	6.612257e-11	1.394199e-12	1.705687e-14	2.218268e-13	1.671143e-13	1.868872e-11	4.953876e-11	1.175001e-11	5.274072e-11	1.040439e-11	1.232570e-14	3.479231e-15	5.331919e-14	3.114003e-14	1.209967e-12	2.170761e-12	2.739034e-12	2.577693e-11	1.656002e-12	2.264807e-11	3.507158e-13	1.431962e-12
7.500000e+02	2.219132e-12	1.636617e-12	2.813017e-12	2.866836e-13	1.074963e-16	1.195775e-16	1.128981e-17	9.931574e-12	3.361734e-11	2.070284e-11	1.295653e-12	7.897164e-15	7.193725e-15	7.539710e-16	1.375449e-11	6.358979e-11	6.174708e-12	4.355709e-12	7.511028e-15	1.066769e-15	1.041987e-14	8.280488e-16	4.743668e-19	8.865905e-11	1.459590e-10	2.298718e-11	1.114581e-10	9.037616e-13	3.825114e-12	1.101208e-13	6.956768e-12	7.080012e-12	1.292711e-11	8.644704e-11	1.475958e-13	1.493507e-12	7.824323e-12	1.501428e-13	2.487454e-18	5.587928e-13	3.662389e-12	5.083490e-11	1.748117e-14	2.228251e-14	3.640744e-13	2.589599e-14	8.003764e-12	1.255605e-11	6.807607e-11	1.670333e-12	1.909034e-14	2.586232e-13	1.984261e-13	1.952006e-11	5.147679e-11	1.338185e-11	5.327800e-11	1.207989e-11	1.857930e-14	4.348148e-15	6.527648e-14	3.795063e-14	1.355871e-12	2.383629e-12	3.136126e-12	2.914739e-11	1.495809e-12	2.045578e-11	4.345145e-13	1.750046e-12
