T, K	k(2p10->2p9), cm3/s	k(2p10->2p8), cm3/s	k(2p10->2p7), cm3/s	k(2p10->2p6), cm3/s	k(2p10->2p4), cm3/s	k(2p10->2p3), cm3/s	k(2p10->2p2), cm3/s	k(2p9->2p10), cm3/s	k(2p9->2p8), cm3/s	k(2p9->2p7), cm3/s	k(2p9->2p6), cm3/s	k(2p9->2p4), cm3/s	k(2p9->2p3), cm3/s	k(2p9->2p2), cm3/s	k(2p8->2p10), cm3/s	k(2p8->2p9), cm3/s	k(2p8->2p7), cm3/s	k(2p8->2p6), cm3/s	k(2p8->2p5), cm3/s	k(2p8->2p4), cm3/s	k(2p8->2p3), cm3/s	k(2p8->2p2), cm3/s	k(2p8->2p1), cm3/s	k(2p7->2p10), cm3/s	k(2p7->2p9), cm3/s	k(2p7->2p8), cm3/s	k(2p7->2p6), cm3/s	k(2p7->2p4), cm3/s	k(2p7->2p3), cm3/s	k(2p7->2p2), cm3/s	k(2p6->2p10), cm3/s	k(2p6->2p9), cm3/s	k(2p6->2p8), cm3/s	k(2p6->2p7), cm3/s	k(2p6->2p5), cm3/s	k(2p6->2p4), cm3/s	k(2p6->2p3), cm3/s	k(2p6->2p2), cm3/s	k(2p6->2p1), cm3/s	k(2p5->2p8), cm3/s	k(2p5->2p6), cm3/s	k(2p5->2p3), cm3/s	k(2p5->2p1), cm3/s	k(2p4->2p10), cm3/s	k(2p4->2p9), cm3/s	k(2p4->2p8), cm3/s	k(2p4->2p7), cm3/s	k(2p4->2p6), cm3/s	k(2p4->2p3), cm3/s	k(2p4->2p2), cm3/s	k(2p3->2p10), cm3/s	k(2p3->2p9), cm3/s	k(2p3->2p8), cm3/s	k(2p3->2p7), cm3/s	k(2p3->2p6), cm3/s	k(2p3->2p5), cm3/s	k(2p3->2p4), cm3/s	k(2p3->2p2), cm3/s	k(2p3->2p1), cm3/s	k(2p2->2p10), cm3/s	k(2p2->2p9), cm3/s	k(2p2->2p8), cm3/s	k(2p2->2p7), cm3/s	k(2p2->2p6), cm3/s	k(2p2->2p4), cm3/s	k(2p2->2p3), cm3/s	k(2p1->2p8), cm3/s	k(2p1->2p6), cm3/s	k(2p1->2p5), cm3/s	k(2p1->2p3), cm3/s	
3.000000e+02	2.320282e-15	4.884744e-15	nan	2.268027e-19	6.984029e-21	nan	3.955305e-22	3.453253e-14	1.207356e-11	nan	8.483389e-17	1.233096e-17	nan	6.988368e-18	2.022745e-13	2.059187e-11	3.749523e-16	2.358197e-15	2.243906e-18	2.562345e-17	nan	1.951434e-17	3.805428e-21	nan	nan	9.322287e-16	2.408903e-10	2.024185e-14	nan	5.977029e-15	1.813869e-16	8.072422e-16	1.001747e-14	1.224651e-10	2.080156e-15	5.535956e-14	nan	1.156738e-14	3.464954e-18	3.002948e-15	1.457306e-13	1.822804e-10	1.409599e-16	2.272824e-16	5.558393e-15	9.650453e-16	4.096757e-13	1.046735e-12	nan	1.213077e-12	nan	nan	nan	nan	nan	3.820018e-11	nan	1.483397e-12	7.611976e-17	3.721919e-17	1.325302e-15	1.216953e-15	3.028847e-13	6.784733e-13	2.068314e-12	3.785121e-12	3.441789e-15	2.485719e-13	1.877559e-14	1.009427e-13
3.500000e+02	6.413424e-15	1.541387e-14	nan	1.463373e-18	6.709803e-20	nan	4.249839e-21	4.912036e-14	1.618817e-11	nan	1.984825e-16	5.126178e-17	nan	2.225837e-17	2.860948e-13	2.596447e-11	5.510584e-16	5.009853e-15	1.131422e-17	6.261480e-17	nan	5.679976e-17	4.490594e-20	nan	nan	1.357200e-15	2.747416e-10	5.431296e-14	nan	1.785333e-14	3.501081e-16	1.580792e-15	1.838390e-14	1.392907e-10	5.654386e-15	1.291639e-13	nan	3.295439e-14	3.125564e-17	6.880391e-15	2.833716e-13	2.214161e-10	4.995885e-16	4.090670e-16	1.018011e-14	1.548961e-15	6.306856e-13	1.502951e-12	nan	2.083840e-12	nan	nan	nan	nan	nan	4.479212e-11	nan	2.412837e-12	4.036350e-16	6.697778e-17	2.213718e-15	2.586187e-15	4.547807e-13	9.992513e-13	3.720948e-12	5.696313e-12	5.193347e-15	4.277899e-13	5.380430e-14	1.967875e-13
4.000000e+02	1.398080e-14	3.681222e-14	nan	6.127679e-18	3.829514e-19	nan	2.701650e-20	6.606913e-14	2.043928e-11	nan	4.327234e-16	1.599149e-16	nan	5.414706e-17	3.788492e-13	3.146700e-11	7.902428e-16	9.638942e-15	3.979268e-17	1.278001e-16	nan	1.319134e-16	2.849088e-19	nan	nan	1.992683e-15	3.054091e-10	1.165571e-13	nan	4.188958e-14	6.084764e-16	2.986037e-15	3.100423e-14	1.550601e-10	1.278541e-14	2.451256e-13	nan	7.361880e-14	1.639300e-16	1.333426e-14	4.872823e-13	2.584007e-10	1.644407e-15	6.707494e-16	1.738160e-14	2.430390e-15	9.068440e-13	1.988935e-12	nan	3.391333e-12	nan	nan	nan	nan	nan	5.114762e-11	nan	3.590930e-12	1.449812e-15	1.215284e-16	3.681500e-15	5.402721e-15	6.511875e-13	1.380657e-12	5.872437e-12	8.007287e-12	7.114495e-15	6.499505e-13	1.294773e-13	3.322903e-13
4.500000e+02	2.596449e-14	7.287120e-14	nan	1.929626e-17	1.534639e-18	nan	1.230700e-19	8.509314e-14	2.477663e-11	nan	8.916109e-16	4.093619e-16	nan	1.119874e-16	4.780556e-13	3.707569e-11	1.123658e-15	1.696388e-14	1.087267e-16	2.346166e-16	nan	2.733452e-16	1.197298e-18	nan	nan	2.905259e-15	3.333657e-10	2.158322e-13	nan	8.346706e-14	9.912224e-16	5.425822e-15	4.852388e-14	1.697904e-10	2.502726e-14	4.039308e-13	nan	1.396533e-13	5.972332e-16	2.275341e-14	7.614374e-13	2.935042e-10	4.983791e-15	1.034570e-15	2.802474e-14	3.744941e-15	1.251208e-12	2.480578e-12	nan	5.148575e-12	nan	nan	nan	nan	nan	5.730312e-11	nan	5.011104e-12	3.983300e-15	2.207716e-16	5.938419e-15	1.033016e-14	8.932944e-13	1.825066e-12	8.447128e-12	1.069833e-11	9.163362e-15	9.047020e-13	2.671007e-13	5.057765e-13
5.000000e+02	4.303102e-14	1.263206e-13	nan	4.992397e-17	4.796161e-18	nan	4.485190e-19	1.058988e-13	2.916509e-11	nan	1.736252e-15	9.071134e-16	nan	2.093507e-16	5.816188e-13	4.276018e-11	1.588496e-15	2.762125e-14	2.471614e-16	4.035332e-16	nan	5.338524e-16	3.775644e-18	nan	nan	4.169824e-15	3.589663e-10	3.609011e-13	nan	1.478277e-13	1.543485e-15	9.409758e-15	7.130611e-14	1.835312e-10	4.387374e-14	6.017460e-13	nan	2.360850e-13	1.682526e-15	3.524524e-14	1.105336e-12	3.270024e-10	1.336282e-14	1.537193e-15	4.300212e-14	5.641435e-15	1.675485e-12	2.960993e-12	nan	7.328989e-12	nan	nan	nan	nan	nan	6.328668e-11	nan	6.662120e-12	9.021794e-15	3.936089e-16	9.157208e-15	1.798759e-14	1.177655e-12	2.333478e-12	1.136022e-11	1.374566e-11	1.132606e-14	1.181024e-12	4.860316e-13	7.124475e-13
5.500000e+02	6.556122e-14	1.986399e-13	nan	1.120945e-16	1.252966e-17	nan	1.390314e-18	1.282127e-13	3.357726e-11	nan	3.187785e-15	1.799821e-15	nan	3.657056e-16	6.878352e-13	4.848896e-11	2.228132e-15	4.210680e-14	4.893794e-16	6.636976e-16	nan	9.989880e-16	9.668694e-18	nan	nan	5.873492e-15	3.824973e-10	5.602230e-13	nan	2.394619e-13	2.317608e-15	1.551299e-14	9.948092e-14	1.963503e-10	7.070442e-14	8.321152e-13	nan	3.667410e-13	3.925786e-15	5.069480e-14	1.516098e-12	3.591287e-10	3.139780e-14	2.232459e-15	6.314668e-14	8.259620e-15	2.186804e-12	3.419926e-12	nan	9.884148e-12	nan	nan	nan	nan	nan	6.911904e-11	nan	8.529716e-12	1.769075e-14	6.768176e-16	1.346104e-14	2.888000e-14	1.497878e-12	2.904498e-12	1.453204e-11	1.712260e-11	1.360239e-14	1.468724e-12	8.001889e-13	9.458506e-13
6.000000e+02	9.368537e-14	2.901580e-13	nan	2.261588e-16	2.867580e-17	nan	3.789239e-18	1.517943e-13	3.799114e-11	nan	5.519980e-15	3.270606e-15	nan	6.069056e-16	7.953488e-13	5.423360e-11	3.092792e-15	6.076147e-14	8.713160e-16	1.052679e-15	nan	1.788876e-15	2.118540e-17	nan	nan	8.117533e-15	4.042005e-10	8.213721e-13	nan	3.616528e-13	3.368600e-15	2.432882e-14	1.330108e-13	2.083228e-10	1.067860e-13	1.087606e-12	nan	5.342400e-13	7.944170e-15	6.884745e-14	1.989779e-12	3.900634e-10	6.538726e-14	3.188791e-15	8.915225e-14	1.171218e-14	2.786794e-12	3.852183e-12	nan	1.275673e-11	nan	nan	nan	nan	nan	7.481458e-11	nan	1.059738e-11	3.106020e-14	1.111661e-15	1.892208e-14	4.335813e-14	1.846290e-12	3.534326e-12	1.789341e-11	2.079977e-11	1.599543e-14	1.759175e-12	1.216410e-12	1.199043e-12
6.500000e+02	1.273364e-13	4.002859e-13	nan	4.194749e-16	5.935112e-17	nan	9.256585e-18	1.764379e-13	4.238935e-11	nan	9.043702e-15	5.530930e-15	nan	9.643110e-16	9.030960e-13	5.997054e-11	4.239504e-15	8.378465e-14	1.427210e-15	1.614344e-15	nan	3.052816e-15	4.117246e-17	nan	nan	1.101537e-14	4.242839e-10	1.150369e-12	nan	5.162583e-13	4.749408e-15	3.642310e-14	1.717483e-13	2.195242e-10	1.532709e-13	1.360930e-12	nan	7.400316e-13	1.439733e-14	8.938180e-14	2.521921e-12	4.199378e-10	1.228142e-13	4.482529e-15	1.215172e-13	1.607401e-14	3.472092e-12	4.256009e-12	nan	1.588836e-11	nan	nan	nan	nan	nan	8.038232e-11	nan	1.284662e-11	5.000960e-14	1.739286e-15	2.556517e-14	6.160388e-14	2.215125e-12	4.217207e-12	2.138628e-11	2.474491e-11	1.850530e-14	2.045538e-12	1.734491e-12	1.465351e-12
7.000000e+02	1.663045e-13	5.277789e-13	nan	7.264833e-16	1.134972e-16	nan	2.054121e-17	2.019714e-13	4.675833e-11	nan	1.408669e-14	8.808312e-15	nan	1.472890e-15	1.010248e-12	6.568102e-11	5.730648e-15	1.112587e-13	2.187056e-15	2.395491e-15	nan	4.958664e-15	7.280514e-17	nan	nan	1.468668e-14	4.429284e-10	1.551170e-12	nan	7.037181e-13	6.506768e-15	5.229513e-14	2.154770e-13	2.300263e-10	2.111694e-13	1.645564e-12	nan	9.844664e-13	2.391496e-14	1.119608e-13	3.107670e-12	4.488425e-10	2.116051e-13	6.189617e-15	1.605156e-13	2.137865e-14	4.235479e-12	4.631764e-12	nan	1.922373e-11	nan	nan	nan	nan	nan	8.582682e-11	nan	1.525722e-11	7.514470e-14	2.596247e-15	3.337365e-14	8.363553e-14	2.597216e-12	4.946011e-12	2.496255e-11	2.892307e-11	2.112635e-14	2.322678e-12	2.348311e-12	1.738778e-12
7.500000e+02	2.102850e-13	6.709740e-13	nan	1.187993e-15	2.034534e-16	nan	4.187012e-17	2.282506e-13	5.108754e-11	nan	2.097210e-14	1.333200e-14	nan	2.168818e-15	1.116165e-12	7.135031e-11	7.631116e-15	1.431735e-13	3.174980e-15	3.442086e-15	nan	7.679780e-15	1.193427e-16	nan	nan	1.924904e-14	4.602905e-10	2.025441e-12	nan	9.232190e-13	8.678032e-15	7.234803e-14	2.639367e-13	2.398950e-10	2.813018e-13	1.936008e-12	nan	1.266901e-12	3.703652e-14	1.362616e-13	3.741754e-12	4.768354e-10	3.393494e-13	8.377782e-15	2.061941e-13	2.762017e-14	5.067144e-12	4.980965e-12	nan	2.271237e-11	nan	nan	nan	nan	nan	9.114876e-11	nan	1.780748e-11	1.067679e-13	3.711081e-15	4.229602e-14	1.093267e-13	2.986301e-12	5.712795e-12	2.858227e-11	3.329697e-11	2.384667e-14	2.586951e-12	3.047428e-12	2.014192e-12
