T, K	k(2p10->2p9), cm3/s	k(2p10->2p8), cm3/s	k(2p10->2p7), cm3/s	k(2p10->2p6), cm3/s	k(2p10->2p4), cm3/s	k(2p10->2p3), cm3/s	k(2p10->2p2), cm3/s	k(2p9->2p10), cm3/s	k(2p9->2p8), cm3/s	k(2p9->2p7), cm3/s	k(2p9->2p6), cm3/s	k(2p9->2p4), cm3/s	k(2p9->2p3), cm3/s	k(2p9->2p2), cm3/s	k(2p8->2p10), cm3/s	k(2p8->2p9), cm3/s	k(2p8->2p7), cm3/s	k(2p8->2p6), cm3/s	k(2p8->2p5), cm3/s	k(2p8->2p4), cm3/s	k(2p8->2p3), cm3/s	k(2p8->2p2), cm3/s	k(2p8->2p1), cm3/s	k(2p7->2p10), cm3/s	k(2p7->2p9), cm3/s	k(2p7->2p8), cm3/s	k(2p7->2p6), cm3/s	k(2p7->2p4), cm3/s	k(2p7->2p3), cm3/s	k(2p7->2p2), cm3/s	k(2p6->2p10), cm3/s	k(2p6->2p9), cm3/s	k(2p6->2p8), cm3/s	k(2p6->2p7), cm3/s	k(2p6->2p5), cm3/s	k(2p6->2p4), cm3/s	k(2p6->2p3), cm3/s	k(2p6->2p2), cm3/s	k(2p6->2p1), cm3/s	k(2p5->2p8), cm3/s	k(2p5->2p6), cm3/s	k(2p5->2p3), cm3/s	k(2p5->2p1), cm3/s	k(2p4->2p10), cm3/s	k(2p4->2p9), cm3/s	k(2p4->2p8), cm3/s	k(2p4->2p7), cm3/s	k(2p4->2p6), cm3/s	k(2p4->2p3), cm3/s	k(2p4->2p2), cm3/s	k(2p3->2p10), cm3/s	k(2p3->2p9), cm3/s	k(2p3->2p8), cm3/s	k(2p3->2p7), cm3/s	k(2p3->2p6), cm3/s	k(2p3->2p5), cm3/s	k(2p3->2p4), cm3/s	k(2p3->2p2), cm3/s	k(2p3->2p1), cm3/s	k(2p2->2p10), cm3/s	k(2p2->2p9), cm3/s	k(2p2->2p8), cm3/s	k(2p2->2p7), cm3/s	k(2p2->2p6), cm3/s	k(2p2->2p4), cm3/s	k(2p2->2p3), cm3/s	k(2p1->2p8), cm3/s	k(2p1->2p6), cm3/s	k(2p1->2p5), cm3/s	k(2p1->2p3), cm3/s	
3.000000e+02	6.859795e-16	1.423665e-15	8.252693e-18	7.915820e-20	1.472280e-21	8.501780e-21	6.282177e-23	1.025302e-13	9.441547e-12	2.552909e-13	4.834254e-17	3.784358e-18	3.487284e-18	3.444582e-19	6.272648e-13	2.618138e-11	1.496886e-16	2.219087e-15	2.243906e-18	2.371236e-18	2.318787e-17	1.187569e-18	3.805428e-21	4.705933e-14	9.474033e-12	1.860791e-15	1.545933e-10	8.350325e-15	1.339433e-13	1.677220e-15	4.941052e-16	1.366235e-15	1.070282e-14	1.762454e-10	2.080156e-15	2.405422e-14	1.398901e-13	3.882120e-15	3.464954e-18	3.002948e-15	1.457306e-13	1.822804e-10	1.409599e-16	9.048533e-16	1.532249e-14	3.199433e-15	9.068293e-13	2.291038e-12	2.341159e-11	5.732230e-13	5.893376e-15	1.542521e-14	3.118428e-14	1.695451e-11	1.038474e-11	3.820018e-11	2.729537e-11	1.147202e-12	7.611976e-17	1.829603e-16	6.604269e-15	7.849573e-15	8.922656e-13	1.811889e-12	2.796866e-12	4.821769e-12	3.441789e-15	2.485719e-13	1.877559e-14	1.009427e-13
3.500000e+02	2.067405e-15	4.818729e-15	3.637835e-17	5.418251e-19	1.607950e-20	7.876693e-20	8.006923e-22	1.340079e-13	1.298480e-11	4.598135e-13	1.218455e-16	1.805943e-17	1.494880e-17	1.578115e-18	8.271100e-13	3.217815e-11	2.553432e-16	4.771324e-15	1.131422e-17	8.435356e-18	9.099094e-17	4.815416e-18	4.490594e-20	6.029077e-14	1.149235e-11	2.382045e-15	1.852097e-10	2.396115e-14	3.518166e-13	5.627602e-15	9.021800e-16	2.480443e-15	1.939558e-14	1.926456e-10	5.654386e-15	5.881416e-14	3.842249e-13	1.195550e-14	3.125564e-17	6.880391e-15	2.833716e-13	2.214161e-10	4.995885e-16	1.474027e-15	2.519221e-14	4.372620e-15	1.331993e-12	3.142853e-12	2.911231e-11	1.251430e-12	7.431580e-15	2.115986e-14	4.254542e-14	2.073241e-11	1.386910e-11	4.479212e-11	3.086876e-11	1.920045e-12	4.036350e-16	2.781200e-16	8.382235e-15	9.745533e-15	1.221278e-12	2.494761e-12	4.872095e-12	7.071153e-12	5.193347e-15	4.277899e-13	5.380430e-14	1.967875e-13
4.000000e+02	4.852966e-15	1.221060e-14	1.129751e-16	2.395864e-18	1.012944e-19	4.306543e-19	6.040811e-21	1.680727e-13	1.675575e-11	7.278962e-13	2.836577e-16	6.283611e-17	4.784337e-17	5.547684e-18	1.033495e-12	3.815488e-11	4.191760e-16	9.250439e-15	3.979268e-17	2.375847e-17	2.623877e-16	1.721122e-17	2.849088e-19	7.411754e-14	1.352538e-11	3.152901e-15	2.140847e-10	5.430674e-14	7.239800e-13	1.455069e-14	1.480751e-15	4.403743e-15	3.246165e-14	2.078780e-10	1.278541e-14	1.158699e-13	8.359465e-13	2.848843e-14	1.639300e-16	1.333426e-14	4.872823e-13	2.584007e-10	1.644407e-15	2.228335e-15	3.941741e-14	6.009803e-15	1.826955e-12	4.013871e-12	3.465080e-11	2.296041e-12	9.105064e-15	2.870883e-14	5.517794e-14	2.404568e-11	1.763875e-11	5.114762e-11	3.421718e-11	2.921009e-12	1.449812e-15	4.258415e-16	1.125120e-14	1.433748e-14	1.611811e-12	3.250337e-12	7.544151e-12	9.742507e-12	7.114495e-15	6.499505e-13	1.294773e-13	3.322903e-13
4.500000e+02	9.602933e-15	2.542815e-14	2.770005e-16	7.962100e-18	4.407931e-19	1.664842e-18	3.256584e-20	2.042255e-13	2.069495e-11	1.055209e-12	6.176009e-16	1.756825e-16	1.255411e-16	1.620813e-17	1.241829e-12	4.412506e-11	6.677444e-16	1.635864e-14	1.087267e-16	5.730764e-17	6.143419e-16	5.421952e-17	1.197298e-18	8.838793e-14	1.556992e-11	4.248100e-15	2.411932e-10	1.056634e-13	1.265085e-12	3.146129e-14	2.276575e-15	7.617506e-15	5.056117e-14	2.220010e-10	2.502726e-14	1.968010e-13	1.550226e-12	5.715636e-14	5.972332e-16	2.275341e-14	7.614374e-13	2.935042e-10	4.983791e-15	3.195114e-15	5.919060e-14	8.296607e-15	2.405186e-12	4.866358e-12	4.005750e-11	3.719490e-12	1.099762e-14	3.856391e-14	6.932918e-14	2.689960e-11	2.162960e-11	5.730312e-11	3.742592e-11	4.148188e-12	3.983300e-15	6.640687e-16	1.553646e-14	2.264473e-14	2.065608e-12	4.077463e-12	1.070898e-11	1.280914e-11	9.163362e-15	9.047020e-13	2.671007e-13	5.057765e-13
5.000000e+02	1.680924e-14	4.605846e-14	5.745081e-16	2.172165e-17	1.483876e-18	5.069371e-18	1.383757e-19	2.419830e-13	2.475505e-11	1.436490e-12	1.255990e-15	4.182883e-16	2.845792e-16	4.086746e-17	1.448762e-12	5.008660e-11	1.033263e-15	2.671570e-14	2.471614e-16	1.234567e-16	1.242789e-15	1.480124e-16	3.775644e-18	1.029894e-13	1.762573e-11	5.749289e-15	2.665805e-10	1.849844e-13	1.970804e-12	5.964613e-14	3.352238e-15	1.272732e-14	7.407357e-14	2.350891e-10	4.387374e-14	3.005892e-13	2.563717e-12	1.015450e-13	1.682526e-15	3.524524e-14	1.105336e-12	3.270024e-10	1.336282e-14	4.424885e-15	8.571094e-14	1.143719e-14	3.080622e-12	5.675672e-12	4.536215e-11	5.503438e-12	1.320378e-14	5.109905e-14	8.543526e-14	2.933066e-11	2.578419e-11	6.328668e-11	4.054604e-11	5.594364e-12	9.021794e-15	1.046038e-15	2.149500e-14	3.558139e-14	2.577068e-12	4.975494e-12	1.425535e-11	1.624168e-11	1.132606e-14	1.181024e-12	4.860316e-13	7.124475e-13
5.500000e+02	2.685550e-14	7.527040e-14	1.053569e-15	5.130726e-17	4.159755e-18	1.299713e-17	4.879231e-19	2.809215e-13	2.889669e-11	1.866468e-12	2.382748e-15	8.800923e-16	5.752895e-16	9.104679e-17	1.651924e-12	5.602892e-11	1.554157e-15	4.079964e-14	4.893794e-16	2.429540e-16	2.261035e-15	3.519863e-16	9.668694e-18	1.178353e-13	1.969368e-11	7.749913e-15	2.903335e-10	2.994780e-13	2.823896e-12	1.022125e-13	4.780816e-15	2.041106e-14	1.031482e-13	2.472265e-10	7.070442e-14	4.245104e-13	3.893999e-12	1.648980e-13	3.925786e-15	5.069480e-14	1.516098e-12	3.591287e-10	3.139780e-14	5.997026e-15	1.200582e-13	1.562056e-14	3.862093e-12	6.428301e-12	5.058711e-11	7.611704e-12	1.580877e-14	6.652389e-14	1.039949e-13	3.138715e-11	3.005256e-11	6.911904e-11	4.360716e-11	7.248664e-12	1.769075e-14	1.637691e-15	2.929109e-14	5.384878e-14	3.135891e-12	5.941674e-12	1.808168e-11	2.000904e-11	1.360239e-14	1.468724e-12	8.001889e-13	9.458506e-13
6.000000e+02	4.000592e-14	1.137636e-13	1.760007e-15	1.084798e-16	1.018889e-17	2.926849e-17	1.471937e-18	3.206898e-13	3.308741e-11	2.340220e-12	4.227851e-15	1.678048e-15	1.059659e-15	1.826515e-16	1.849701e-12	6.193912e-11	2.275782e-15	5.893233e-14	8.713160e-16	4.427260e-16	3.798416e-15	7.419416e-16	2.118540e-17	1.328590e-13	2.177454e-11	1.035777e-14	3.125609e-10	4.559429e-13	3.800327e-12	1.617092e-13	6.638548e-15	3.136100e-14	1.377701e-13	2.585002e-10	1.067860e-13	5.650212e-13	5.542039e-12	2.499247e-13	7.944170e-15	6.884745e-14	1.989779e-12	3.900634e-10	6.538726e-14	8.015682e-15	1.630878e-13	2.099492e-14	4.751489e-12	7.118840e-12	5.574657e-11	1.000010e-11	1.887444e-14	8.487759e-14	1.254671e-13	3.311907e-11	3.439126e-11	7.481458e-11	4.662536e-11	9.097384e-12	3.106020e-14	2.511489e-15	3.899755e-14	7.788533e-14	3.729804e-12	6.970527e-12	2.210191e-11	2.407825e-11	1.599543e-14	1.759175e-12	1.216410e-12	1.199043e-12
6.500000e+02	5.641267e-14	1.617999e-13	2.734528e-15	2.098505e-16	2.249294e-17	5.951035e-17	3.883979e-18	3.610074e-13	3.730103e-11	2.853264e-12	7.054777e-15	2.952199e-15	1.806892e-15	3.353971e-16	2.041032e-12	6.780503e-11	3.250354e-15	8.129290e-14	1.427210e-15	7.544388e-16	5.997508e-15	1.413092e-15	4.117246e-17	1.480096e-13	2.386839e-11	1.369315e-14	3.333799e-10	6.601042e-13	4.873895e-12	2.399023e-13	8.997620e-15	4.622967e-14	1.778156e-13	2.689947e-10	1.532709e-13	7.184160e-13	7.495704e-12	3.586666e-13	1.439733e-14	8.938180e-14	2.521921e-12	4.199378e-10	1.228142e-13	1.059869e-14	2.153629e-13	2.765330e-14	5.744199e-12	7.747187e-12	6.084746e-11	1.262254e-11	2.243295e-14	1.060490e-13	1.502042e-13	3.457328e-11	3.876192e-11	8.038232e-11	4.960780e-11	1.112441e-11	5.000960e-14	3.738411e-15	5.060751e-14	1.078587e-13	4.346523e-12	8.054220e-12	2.624560e-11	2.841415e-11	1.850530e-14	2.045538e-12	1.734491e-12	1.465351e-12
7.000000e+02	7.613265e-14	2.192753e-13	4.011207e-15	3.771348e-16	4.565627e-17	1.113281e-16	9.130851e-18	4.016555e-13	4.151683e-11	3.401508e-12	1.114369e-14	4.857824e-15	2.887804e-15	5.716603e-16	2.225262e-12	7.361650e-11	4.535528e-15	1.079429e-13	2.187056e-15	1.212180e-15	9.009043e-15	2.473790e-15	7.280514e-17	1.632492e-13	2.597427e-11	1.788269e-14	3.529072e-10	9.161283e-13	6.019195e-12	3.377074e-13	1.192011e-14	6.558509e-14	2.230916e-13	2.787883e-10	2.111694e-13	8.812256e-13	9.733282e-12	4.924284e-13	2.391496e-14	1.119608e-13	3.107670e-12	4.488425e-10	2.116051e-13	1.386365e-14	2.771246e-13	3.562979e-14	6.830571e-12	8.316340e-12	6.589073e-11	1.543449e-11	2.648683e-14	1.298104e-13	1.784197e-13	3.579154e-11	4.313019e-11	8.582682e-11	5.255580e-11	1.331151e-11	7.514470e-14	5.380336e-15	6.404900e-14	1.436868e-13	4.974871e-12	9.183293e-12	3.045584e-11	3.297929e-11	2.112635e-14	2.322678e-12	2.348311e-12	1.738778e-12
7.500000e+02	9.914700e-14	2.858041e-13	5.617014e-15	6.368318e-16	8.634672e-17	1.942398e-16	1.943365e-17	4.424654e-13	4.571846e-11	3.981166e-12	1.677323e-14	7.555617e-15	4.369257e-15	9.150162e-16	2.402024e-12	7.936511e-11	6.191676e-15	1.388521e-13	3.174980e-15	1.849806e-15	1.298484e-14	4.037480e-15	1.193427e-16	1.785495e-13	2.809015e-11	2.305057e-14	3.712536e-10	1.226384e-12	7.213220e-12	4.552400e-13	1.545369e-14	8.987775e-14	2.733579e-13	2.879520e-10	2.813018e-13	1.050410e-12	1.222661e-11	6.517704e-13	3.703652e-14	1.362616e-13	3.741754e-12	4.768354e-10	3.393494e-13	1.791507e-14	3.482982e-13	4.490341e-14	7.997594e-12	8.830887e-12	7.087253e-11	1.839445e-11	3.101306e-14	1.558530e-13	2.101808e-13	3.680992e-11	4.746519e-11	9.114876e-11	5.546656e-11	1.563868e-11	1.067679e-13	7.484395e-15	7.919949e-14	1.850765e-13	5.605281e-12	1.034735e-11	3.468666e-11	3.773433e-11	2.384667e-14	2.586951e-12	3.047428e-12	2.014192e-12
