T, K	k(2p10->2p9), cm3/s	k(2p10->2p8), cm3/s	k(2p10->2p7), cm3/s	k(2p10->2p6), cm3/s	k(2p10->2p4), cm3/s	k(2p10->2p3), cm3/s	k(2p10->2p2), cm3/s	k(2p9->2p10), cm3/s	k(2p9->2p8), cm3/s	k(2p9->2p7), cm3/s	k(2p9->2p6), cm3/s	k(2p9->2p4), cm3/s	k(2p9->2p3), cm3/s	k(2p9->2p2), cm3/s	k(2p8->2p10), cm3/s	k(2p8->2p9), cm3/s	k(2p8->2p7), cm3/s	k(2p8->2p6), cm3/s	k(2p8->2p5), cm3/s	k(2p8->2p4), cm3/s	k(2p8->2p3), cm3/s	k(2p8->2p2), cm3/s	k(2p8->2p1), cm3/s	k(2p7->2p10), cm3/s	k(2p7->2p9), cm3/s	k(2p7->2p8), cm3/s	k(2p7->2p6), cm3/s	k(2p7->2p4), cm3/s	k(2p7->2p3), cm3/s	k(2p7->2p2), cm3/s	k(2p6->2p10), cm3/s	k(2p6->2p9), cm3/s	k(2p6->2p8), cm3/s	k(2p6->2p7), cm3/s	k(2p6->2p5), cm3/s	k(2p6->2p4), cm3/s	k(2p6->2p3), cm3/s	k(2p6->2p2), cm3/s	k(2p6->2p1), cm3/s	k(2p5->2p8), cm3/s	k(2p5->2p6), cm3/s	k(2p5->2p3), cm3/s	k(2p5->2p1), cm3/s	k(2p4->2p10), cm3/s	k(2p4->2p9), cm3/s	k(2p4->2p8), cm3/s	k(2p4->2p7), cm3/s	k(2p4->2p6), cm3/s	k(2p4->2p3), cm3/s	k(2p4->2p2), cm3/s	k(2p3->2p10), cm3/s	k(2p3->2p9), cm3/s	k(2p3->2p8), cm3/s	k(2p3->2p7), cm3/s	k(2p3->2p6), cm3/s	k(2p3->2p5), cm3/s	k(2p3->2p4), cm3/s	k(2p3->2p2), cm3/s	k(2p3->2p1), cm3/s	k(2p2->2p10), cm3/s	k(2p2->2p9), cm3/s	k(2p2->2p8), cm3/s	k(2p2->2p7), cm3/s	k(2p2->2p6), cm3/s	k(2p2->2p4), cm3/s	k(2p2->2p3), cm3/s	k(2p1->2p8), cm3/s	k(2p1->2p6), cm3/s	k(2p1->2p5), cm3/s	k(2p1->2p3), cm3/s	
3.000000e+02	3.414051e-15	1.690774e-16	1.250490e-18	1.023639e-19	8.848402e-22	7.893140e-22	2.172099e-24	5.066605e-13	5.634340e-11	2.933312e-13	2.562722e-16	9.049622e-19	1.731126e-19	7.076330e-21	7.449096e-14	1.675779e-10	1.920546e-16	5.164622e-15	9.420974e-21	1.197825e-18	1.265682e-18	6.521040e-19	6.441686e-24	7.123684e-15	1.088188e-11	2.383941e-15	4.398228e-09	1.250868e-14	3.495777e-12	7.731959e-18	6.388688e-16	1.078549e-14	7.474716e-14	5.013596e-09	2.039172e-17	1.013776e-17	2.367818e-13	8.371288e-19	2.929888e-22	2.291255e-17	3.017309e-15	7.213295e-09	1.207893e-15	5.495220e-16	3.666999e-15	1.591185e-15	1.358297e-12	9.524520e-16	3.767812e-11	7.820738e-13	5.466388e-16	8.094991e-16	1.887262e-15	4.424972e-10	2.622800e-11	2.877640e-09	4.392828e-11	3.125837e-12	1.985945e-19	6.198391e-18	1.168431e-16	4.311027e-15	3.921160e-15	3.886243e-16	3.822459e-12	1.313786e-11	6.292907e-17	1.189169e-16	3.700106e-12	1.274234e-15
3.500000e+02	1.148144e-14	6.024198e-16	6.439765e-18	7.011627e-19	1.033111e-20	1.045877e-20	3.914122e-23	7.390588e-13	7.565924e-11	5.377473e-13	5.920843e-16	4.452870e-18	9.394682e-19	2.489164e-20	1.033969e-13	2.020597e-10	2.756309e-16	8.182239e-15	3.074308e-20	4.180356e-18	8.196959e-18	2.293940e-18	9.952290e-23	1.066838e-14	1.343707e-11	2.568550e-15	5.023835e-09	4.910067e-14	8.969760e-12	2.108003e-17	1.167397e-15	1.532833e-14	8.150613e-14	5.225036e-09	3.178910e-17	3.260308e-17	8.499891e-13	3.223994e-18	2.331436e-21	2.640168e-17	2.671946e-15	8.856693e-09	6.407382e-15	9.538424e-16	6.216797e-15	2.146839e-15	2.729227e-12	1.731649e-15	4.779376e-11	2.048824e-12	9.863328e-16	1.378675e-15	4.291351e-15	5.285864e-10	4.805836e-11	3.205662e-09	5.067704e-11	4.925904e-12	1.013745e-18	1.347694e-17	1.166050e-16	4.642999e-15	4.415621e-15	6.710607e-16	7.986163e-12	1.814092e-11	1.195103e-16	1.780028e-16	6.235101e-12	2.203544e-15
4.000000e+02	2.909068e-14	1.586089e-15	2.273243e-17	3.079917e-18	6.938908e-20	7.979547e-20	4.117246e-22	1.000831e-12	9.542450e-11	8.658597e-13	1.208944e-15	1.538233e-17	3.554562e-18	6.919857e-20	1.342390e-13	2.350771e-10	3.839912e-16	1.313385e-14	8.280890e-20	1.104395e-17	3.568749e-17	5.753240e-18	8.003484e-22	1.491174e-14	1.608637e-11	2.886023e-15	5.545534e-09	1.405857e-13	1.822511e-11	5.011186e-17	1.903426e-15	2.173846e-14	9.852459e-14	5.384364e-09	4.398528e-17	8.714748e-17	2.268729e-12	9.921616e-18	1.233604e-20	3.094210e-17	2.407225e-15	1.032699e-08	2.265976e-14	1.533664e-15	9.657289e-15	2.776966e-15	4.729012e-12	3.010149e-15	5.756421e-11	4.325422e-12	1.686666e-15	2.186954e-15	8.537627e-15	6.053160e-10	7.745950e-11	3.475140e-09	5.684360e-11	7.118208e-12	3.546436e-18	2.890391e-17	1.270139e-16	4.792805e-15	5.415622e-15	1.130580e-15	1.422671e-11	2.374131e-11	1.996449e-16	2.705260e-16	9.330413e-12	3.411639e-15
4.500000e+02	6.072462e-14	3.399160e-15	6.203755e-17	1.003627e-17	3.211001e-19	4.240762e-19	2.969054e-21	1.283382e-12	1.152989e-10	1.276338e-12	2.237512e-15	4.149546e-17	1.043403e-17	1.705739e-19	1.659972e-13	2.667480e-10	5.395828e-16	2.126184e-14	1.947338e-19	2.448504e-17	1.159092e-16	1.156028e-17	4.132438e-21	1.979610e-14	1.883055e-11	3.430897e-15	5.984103e-09	3.251711e-13	3.167855e-11	1.108374e-16	2.869523e-15	3.030081e-14	1.273099e-13	5.507612e-09	5.692818e-17	2.006635e-16	4.947239e-12	2.527679e-17	4.879030e-20	3.661774e-17	2.212576e-15	1.163365e-08	6.106727e-14	2.334440e-15	1.399139e-14	3.530711e-15	7.401008e-12	4.954474e-15	6.691153e-11	7.868326e-12	2.800984e-15	3.264795e-15	1.508617e-14	6.735852e-10	1.140939e-10	3.699590e-09	6.251552e-11	9.678032e-12	9.599484e-18	6.041102e-17	1.518224e-16	4.828141e-15	7.157517e-15	1.802017e-15	2.267579e-11	2.988447e-11	3.038416e-16	4.071750e-16	1.288074e-11	4.889077e-15
5.000000e+02	1.103372e-13	6.291668e-15	1.409749e-16	2.650264e-17	1.147441e-18	1.744996e-18	1.594605e-20	1.579138e-12	1.350575e-10	1.766818e-12	3.806038e-15	9.354256e-17	2.541334e-17	3.914737e-19	1.978960e-13	2.971498e-10	7.742824e-16	3.412240e-14	4.103446e-19	4.846560e-17	3.034872e-16	1.995884e-17	1.556831e-20	2.527493e-14	2.167695e-11	4.306685e-15	6.356105e-09	6.464931e-13	4.934693e-11	2.309623e-16	4.089956e-15	4.108086e-14	1.699355e-13	5.604976e-09	7.127736e-17	4.101940e-16	9.334433e-12	5.560720e-17	1.552646e-19	4.338227e-17	2.083997e-15	1.279360e-08	1.359011e-13	3.427634e-15	1.918163e-14	4.477829e-15	1.076524e-11	7.738847e-15	7.582413e-11	1.285696e-11	4.544680e-15	4.629540e-15	2.427718e-14	7.344116e-10	1.572773e-10	3.889006e-09	6.777360e-11	1.257964e-11	2.163102e-17	1.203849e-16	1.953700e-16	4.797928e-15	9.868407e-15	2.723603e-15	3.333390e-11	3.652129e-11	4.310375e-16	6.006471e-16	1.678590e-11	6.618429e-15
5.500000e+02	1.808815e-13	1.045179e-14	2.799516e-16	6.001222e-17	3.407527e-18	5.902391e-18	6.716811e-20	1.881826e-12	1.545428e-10	2.335122e-12	6.025417e-15	1.844182e-16	5.370757e-17	8.443146e-19	2.293728e-13	3.263274e-10	1.128957e-15	5.354809e-14	7.882016e-19	8.881772e-17	6.765976e-16	3.096130e-17	4.647588e-20	3.131639e-14	2.463693e-11	5.628245e-15	6.674453e-09	1.149695e-12	7.096433e-11	4.515494e-16	5.591820e-15	5.401752e-14	2.288387e-13	5.683232e-09	8.829836e-17	7.621212e-16	1.581398e-11	1.094946e-16	4.172992e-19	5.118072e-17	2.023674e-15	1.382511e-08	2.628552e-13	4.916966e-15	2.517463e-14	5.699944e-15	1.482518e-11	1.153515e-14	8.432480e-11	1.939136e-11	7.178880e-15	6.284844e-15	3.635010e-14	7.887580e-10	2.061004e-10	4.050800e-09	7.268956e-11	1.579671e-11	4.253052e-17	2.252496e-16	2.618358e-16	4.736535e-15	1.374626e-14	3.944445e-15	4.610688e-11	4.360469e-11	5.789953e-16	8.636214e-16	2.095483e-11	8.575654e-15
6.000000e+02	2.741485e-13	1.599361e-14	5.019814e-16	1.209957e-16	8.811317e-18	1.703012e-17	2.310370e-19	2.186471e-12	1.736407e-10	2.979761e-12	8.985753e-15	3.282115e-16	1.016013e-16	1.705077e-18	2.600346e-13	3.543072e-10	1.653744e-15	8.157280e-14	1.399543e-18	1.537631e-16	1.334475e-15	4.446792e-17	1.162477e-19	3.790155e-14	2.772366e-11	7.525467e-15	6.949180e-09	1.878150e-12	9.609813e-11	8.259504e-16	7.404352e-15	6.901022e-14	3.065786e-13	5.747040e-09	1.097815e-16	1.310215e-15	2.466592e-11	1.981116e-16	9.794106e-19	6.002287e-17	2.039004e-15	1.474529e-08	4.572091e-13	6.934135e-15	3.191885e-14	7.282460e-15	1.957100e-11	1.650283e-14	9.245153e-11	2.750014e-11	1.098189e-14	8.221978e-15	5.146342e-14	8.374764e-10	2.595257e-10	4.190488e-09	7.732448e-11	1.930264e-11	7.532022e-17	3.939555e-16	3.546557e-16	4.667926e-15	1.894139e-14	5.524629e-15	6.083604e-11	5.108855e-11	7.447134e-16	1.206521e-15	2.530583e-11	1.073145e-14
6.500000e+02	3.908238e-13	2.295980e-14	8.315597e-16	2.228987e-16	2.043049e-17	4.302298e-17	6.713453e-19	2.489254e-12	1.922682e-10	3.700005e-12	1.276055e-14	5.394076e-16	1.759618e-16	3.217094e-18	2.896190e-13	3.811084e-10	2.408046e-15	1.203225e-13	2.324732e-18	2.541231e-16	2.392441e-15	6.038084e-17	2.533374e-19	4.502004e-14	3.095028e-11	1.014356e-14	7.188140e-09	2.870931e-12	1.242386e-10	1.416293e-15	9.556948e-15	8.597517e-14	4.055872e-13	5.799720e-09	1.379721e-16	2.112766e-15	3.604996e-11	3.353273e-16	2.056716e-18	7.000875e-17	2.141209e-15	1.556915e-08	7.323171e-13	9.626172e-15	3.937306e-14	9.306400e-15	2.498083e-11	2.277908e-14	1.002451e-10	3.715220e-11	1.621752e-14	1.042213e-14	6.970514e-14	8.812948e-10	3.164687e-10	4.312206e-09	8.172784e-11	2.307053e-11	1.228583e-16	6.458661e-16	4.761573e-16	4.608669e-15	2.554538e-14	7.529393e-15	7.732070e-11	5.892695e-11	9.247879e-16	1.635919e-15	2.976610e-11	1.305284e-14
7.000000e+02	5.306599e-13	3.133241e-14	1.293695e-15	3.820926e-16	4.328471e-17	9.712760e-17	1.695447e-18	2.787326e-12	2.103654e-10	4.495671e-12	1.741319e-14	8.323113e-16	2.836928e-16	5.683330e-18	3.179608e-13	4.067488e-10	3.459264e-15	1.718885e-13	3.648838e-18	4.031048e-16	3.975498e-15	7.867984e-17	4.948334e-19	5.266510e-14	3.432819e-11	1.363820e-14	7.397513e-09	4.160928e-12	1.548585e-10	2.288480e-15	1.207668e-14	1.048689e-13	5.279533e-13	5.843700e-09	1.754806e-16	3.229103e-15	5.000650e-11	5.373756e-16	3.936746e-18	8.131928e-17	2.343664e-15	1.630948e-08	1.098591e-12	1.313922e-14	4.750699e-14	1.184110e-14	3.102139e-11	3.046991e-14	1.077433e-10	4.826917e-11	2.310794e-14	1.285910e-14	9.109581e-14	9.208248e-10	3.758624e-10	4.419064e-09	8.593812e-11	2.707300e-11	1.875954e-16	9.986431e-16	6.274141e-16	4.569941e-15	3.358845e-14	1.002087e-14	9.533473e-11	6.707327e-11	1.115702e-15	2.153886e-15	3.427129e-11	1.550486e-14
7.500000e+02	6.926899e-13	4.104669e-14	1.913081e-15	6.175553e-16	8.488499e-17	1.992665e-16	3.809300e-18	3.078618e-12	2.278900e-10	5.366808e-12	2.300185e-14	1.220632e-15	4.312283e-16	9.448984e-18	3.449658e-13	4.312480e-10	4.880012e-15	2.382027e-13	5.456942e-18	6.156824e-16	6.211322e-15	9.945440e-17	8.846724e-19	6.082918e-14	3.786582e-11	1.816655e-14	7.582227e-09	5.773575e-12	1.874495e-10	3.506842e-15	1.498579e-14	1.256875e-13	6.752632e-13	5.880788e-09	2.251570e-16	4.715932e-15	6.646948e-11	8.220648e-16	6.970010e-18	9.418731e-17	2.660183e-15	1.697696e-08	1.562979e-12	1.760313e-14	5.629715e-14	1.493877e-14	3.764882e-11	3.964368e-14	1.149771e-10	6.073689e-11	3.181526e-14	1.550186e-14	1.155893e-13	9.565772e-10	4.367054e-10	4.513426e-09	8.998368e-11	3.128190e-11	2.714096e-16	1.466576e-15	8.082739e-16	4.558887e-15	4.304375e-14	1.305032e-14	1.146391e-10	7.547940e-11	1.314038e-15	2.758141e-15	3.876530e-11	1.805222e-14
