T, K	k(1s5->1s4), cm3/s	k(1s5->1s3), cm3/s	k(1s5->1s2), cm3/s	k(1s4->1s5), cm3/s	k(1s4->1s2), cm3/s	k(1s3->1s5), cm3/s	k(1s2->1s5), cm3/s	k(1s2->1s4), cm3/s	
3.000000e+02	4.559240e-15	6.692280e-19	2.177686e-21	5.761966e-14	3.847458e-17	6.513221e-17	1.422070e-18	1.574982e-14
3.500000e+02	1.689250e-14	1.637472e-18	8.792136e-21	1.565111e-13	3.690815e-16	1.126764e-16	1.837773e-18	5.863613e-14
4.000000e+02	4.826064e-14	3.477102e-18	2.511380e-20	3.511604e-13	2.134249e-15	2.227055e-16	2.311059e-18	1.664478e-13
4.500000e+02	1.139505e-13	7.118774e-18	5.708784e-20	6.861707e-13	8.668377e-15	4.536095e-16	2.882363e-18	3.891239e-13
5.000000e+02	2.335282e-13	1.462727e-17	1.110219e-19	1.209067e-12	2.725644e-14	8.875697e-16	3.639224e-18	7.873931e-13
5.500000e+02	4.296892e-13	2.983734e-17	1.939361e-19	1.967410e-12	7.075817e-14	1.628044e-15	4.738091e-18	1.426451e-12
6.000000e+02	7.269300e-13	5.889836e-17	3.153650e-19	3.006562e-12	1.585154e-13	2.795145e-15	6.432715e-18	2.369425e-12
6.500000e+02	1.150277e-12	1.106278e-16	4.909676e-19	4.368081e-12	3.162411e-13	4.520896e-15	9.113887e-18	3.671931e-12
7.000000e+02	1.724191e-12	1.966562e-16	7.483824e-19	6.088667e-12	5.749314e-13	6.945713e-15	1.336408e-17	5.378282e-12
7.500000e+02	2.471697e-12	3.314052e-16	1.135912e-18	8.199533e-12	9.690726e-13	1.021642e-14	2.002613e-17	7.519444e-12
8.000000e+02	3.413739e-12	5.319588e-16	1.734610e-18	1.072613e-11	1.534509e-12	1.448525e-14	3.027925e-17	1.011245e-11
8.500000e+02	4.568740e-12	8.178706e-16	2.674028e-18	1.368813e-11	2.306297e-12	1.990907e-14	4.571140e-17	1.316095e-11
9.000000e+02	5.952352e-12	1.210922e-15	4.151252e-18	1.709961e-11	3.316811e-12	2.664804e-14	6.837567e-17	1.665658e-11
9.500000e+02	7.577324e-12	1.734824e-15	6.452104e-18	2.096933e-11	4.594234e-12	3.486332e-14	1.008202e-16	2.058071e-11
1.000000e+03	9.453508e-12	2.414854e-15	9.972708e-18	2.530119e-11	6.161501e-12	4.471389e-14	1.460847e-16	2.490646e-11
1.050000e+03	1.158796e-11	3.277418e-15	1.523926e-17	3.009464e-11	8.035691e-12	5.635266e-14	2.076630e-16	2.960066e-11
