T, K	k(1s5->1s4), cm3/s	k(1s5->1s3), cm3/s	k(1s5->1s2), cm3/s	k(1s4->1s5), cm3/s	k(1s4->1s2), cm3/s	k(1s3->1s5), cm3/s	k(1s2->1s5), cm3/s	k(1s2->1s4), cm3/s	
3.000000e+02	1.201044e-15	3.087044e-19	2.003567e-21	2.882241e-14	4.562864e-19	8.631201e-16	7.023853e-17	6.663385e-16
3.500000e+02	4.018376e-15	1.235962e-18	1.248223e-20	6.587941e-14	3.145960e-18	1.399681e-15	1.046853e-16	1.491064e-15
4.000000e+02	1.058266e-14	3.659056e-18	5.150044e-20	1.303733e-13	1.585874e-17	2.103841e-15	1.482311e-16	3.376938e-15
4.500000e+02	2.352528e-14	8.821830e-18	1.591127e-19	2.320607e-13	6.055091e-17	2.993916e-15	1.996331e-16	7.031666e-15
5.000000e+02	4.610684e-14	1.841491e-17	3.993092e-19	3.807243e-13	1.838825e-16	4.099018e-15	2.580272e-16	1.321838e-14
5.500000e+02	8.199028e-14	3.464552e-17	8.602936e-19	5.853639e-13	4.651190e-16	5.461229e-15	3.231341e-16	2.262693e-14
6.000000e+02	1.349732e-13	6.034368e-17	1.653505e-18	8.536113e-13	1.017435e-15	7.134865e-15	3.952539e-16	3.577634e-14
6.500000e+02	2.087358e-13	9.905706e-17	2.913188e-18	1.191402e-12	1.981663e-15	9.182561e-15	4.751355e-16	5.296455e-14
7.000000e+02	3.066345e-13	1.550746e-16	4.796712e-18	1.602861e-12	3.514417e-15	1.166917e-14	5.637910e-16	7.426228e-14
7.500000e+02	4.315544e-13	2.333406e-16	7.484624e-18	2.090332e-12	5.773885e-15	1.465506e-14	6.623067e-16	9.953737e-14
8.000000e+02	5.858180e-13	3.392594e-16	1.117919e-17	2.654509e-12	8.906311e-15	1.819031e-14	7.716813e-16	1.284962e-13
8.500000e+02	7.711408e-13	4.784206e-16	1.610069e-17	3.294609e-12	1.303528e-14	2.231053e-14	8.927067e-16	1.607300e-13
9.000000e+02	9.886264e-13	6.562914e-16	2.248133e-17	4.008577e-12	1.825464e-14	2.703478e-14	1.025897e-15	1.957589e-13
9.500000e+02	1.238787e-12	8.779200e-16	3.055748e-17	4.793283e-12	2.462514e-14	3.236519e-14	1.171452e-15	2.330697e-13
1.000000e+03	1.521587e-12	1.147684e-15	4.056096e-17	5.644737e-12	3.217418e-14	3.828801e-14	1.329265e-15	2.721453e-13
1.050000e+03	1.836493e-12	1.469102e-15	5.271024e-17	6.558263e-12	4.089791e-14	4.477562e-14	1.498938e-15	3.124870e-13
