T, K	k(1s5->1s4), cm3/s	k(1s5->1s3), cm3/s	k(1s5->1s2), cm3/s	k(1s4->1s5), cm3/s	k(1s4->1s2), cm3/s	k(1s3->1s5), cm3/s	k(1s2->1s5), cm3/s	k(1s2->1s4), cm3/s	
3.000000e+02	1.200966e-15	3.087518e-19	2.001205e-21	2.882088e-14	4.558027e-19	8.632730e-16	7.362680e-17	8.771269e-16
3.500000e+02	4.018224e-15	1.236032e-18	1.247343e-20	6.587717e-14	3.144763e-18	1.399776e-15	1.073650e-16	1.658273e-15
4.000000e+02	1.058238e-14	3.659122e-18	5.147772e-20	1.303700e-13	1.585662e-17	2.103892e-15	1.504189e-16	3.513792e-15
4.500000e+02	2.352478e-14	8.822504e-18	1.590672e-19	2.320559e-13	6.054906e-17	2.994156e-15	2.014641e-16	7.146516e-15
5.000000e+02	4.610604e-14	1.842136e-17	3.992340e-19	3.807176e-13	1.838877e-16	4.100463e-15	2.595903e-16	1.331699e-14
5.500000e+02	8.198900e-14	3.468048e-17	8.601864e-19	5.853549e-13	4.651527e-16	5.466745e-15	3.244907e-16	2.271371e-14
6.000000e+02	1.349714e-13	6.047732e-17	1.653370e-18	8.536000e-13	1.017549e-15	7.150673e-15	3.964476e-16	3.585507e-14
6.500000e+02	2.087335e-13	9.946008e-17	2.913041e-18	1.191389e-12	1.981960e-15	9.219926e-15	4.761986e-16	5.303875e-14
7.000000e+02	3.066316e-13	1.560944e-16	4.796580e-18	1.602846e-12	3.515073e-15	1.174591e-14	5.647483e-16	7.433543e-14
7.500000e+02	4.315512e-13	2.355944e-16	7.484560e-18	2.090317e-12	5.775167e-15	1.479661e-14	6.631778e-16	9.961296e-14
8.000000e+02	5.858148e-13	3.437314e-16	1.117927e-17	2.654495e-12	8.908599e-15	1.843009e-14	7.724827e-16	1.285777e-13
8.500000e+02	7.711384e-13	4.865516e-16	1.610103e-17	3.294599e-12	1.303906e-14	2.268971e-14	8.934527e-16	1.608209e-13
9.000000e+02	9.886252e-13	6.700472e-16	2.248212e-17	4.008571e-12	1.826051e-14	2.760143e-14	1.026600e-15	1.958625e-13
9.500000e+02	1.238788e-12	8.998324e-16	3.055899e-17	4.793287e-12	2.463380e-14	3.317302e-14	1.172125e-15	2.331891e-13
1.000000e+03	1.521591e-12	1.180861e-15	4.056352e-17	5.644753e-12	3.218643e-14	3.939485e-14	1.329919e-15	2.722836e-13
1.050000e+03	1.836503e-12	1.517209e-15	5.271440e-17	6.558297e-12	4.091459e-14	4.624183e-14	1.499585e-15	3.126468e-13
