T, K	k(1s5->1s4), cm3/s	k(1s5->1s3), cm3/s	k(1s5->1s2), cm3/s	k(1s4->1s5), cm3/s	k(1s4->1s2), cm3/s	k(1s3->1s5), cm3/s	k(1s2->1s5), cm3/s	k(1s2->1s4), cm3/s	
3.000000e+02	1.311312e-15	1.524664e-19	5.793936e-22	3.146895e-14	2.977644e-19	4.262975e-16	2.217552e-17	5.181058e-16
3.500000e+02	4.196988e-15	4.163572e-19	2.646442e-21	6.880800e-14	1.757230e-18	4.715145e-16	2.378257e-17	9.046307e-16
4.000000e+02	1.067503e-14	9.426104e-19	8.756092e-21	1.315115e-13	7.866935e-18	5.419744e-16	2.655009e-17	1.736376e-15
4.500000e+02	2.310059e-14	1.937615e-18	2.404468e-20	2.278716e-13	2.753757e-17	6.575819e-16	3.131598e-17	3.249975e-15
5.000000e+02	4.435444e-14	3.804550e-18	5.915012e-20	3.662541e-13	7.863190e-17	8.468656e-16	3.920457e-17	5.696914e-15
5.500000e+02	7.765636e-14	7.285994e-18	1.350341e-19	5.544224e-13	1.904574e-16	1.148504e-15	5.156561e-17	9.303551e-15
6.000000e+02	1.263396e-13	1.362553e-17	2.892897e-19	7.990100e-13	4.040124e-16	1.611045e-15	6.988273e-17	1.423967e-14
6.500000e+02	1.936324e-13	2.470626e-17	5.826564e-19	1.105197e-12	7.697082e-16	2.290264e-15	9.566447e-17	2.060167e-14
7.000000e+02	2.824750e-13	4.311994e-17	1.104182e-18	1.476573e-12	1.343226e-15	3.244722e-15	1.303347e-16	2.840988e-14
7.500000e+02	3.953871e-13	7.213788e-17	1.973728e-18	1.915148e-12	2.180596e-15	4.530654e-15	1.751363e-16	3.761621e-14
8.000000e+02	5.343840e-13	1.155830e-16	3.341164e-18	2.421448e-12	3.333530e-15	6.197298e-15	2.310592e-16	4.811765e-14
8.500000e+02	7.009372e-13	1.776265e-16	5.382276e-18	2.994672e-12	4.845706e-15	8.283384e-15	2.987958e-16	5.977163e-14
9.000000e+02	8.959672e-13	2.625446e-16	8.292036e-18	3.632871e-12	6.750323e-15	1.081507e-14	3.787243e-16	7.241093e-14
9.500000e+02	1.119867e-12	3.744740e-16	1.227617e-17	4.333143e-12	9.068901e-15	1.380527e-14	4.709147e-16	8.585648e-14
1.000000e+03	1.372540e-12	5.171916e-16	1.754208e-17	5.091809e-12	1.181120e-14	1.725409e-14	5.751540e-16	9.992750e-14
1.050000e+03	1.653450e-12	6.939416e-16	2.429001e-17	5.904600e-12	1.497593e-14	2.115011e-14	6.909807e-16	1.144492e-13
