T, K	k(1s5->1s4), cm3/s	k(1s5->1s3), cm3/s	k(1s5->1s2), cm3/s	k(1s4->1s5), cm3/s	k(1s4->1s2), cm3/s	k(1s3->1s5), cm3/s	k(1s2->1s5), cm3/s	k(1s2->1s4), cm3/s	
3.000000e+02	4.277020e-15	1.911474e-18	2.339696e-21	5.175859e-14	3.089278e-17	4.827441e-16	1.758064e-18	8.811758e-15
3.500000e+02	1.491317e-14	5.564290e-18	9.724980e-21	1.343259e-13	2.062605e-16	6.674643e-16	2.947057e-18	2.695658e-14
4.000000e+02	4.049620e-14	1.262832e-17	3.000102e-20	2.870353e-13	9.556826e-16	8.905707e-16	5.378528e-18	6.356606e-14
4.500000e+02	9.101808e-14	2.448712e-17	7.877484e-20	5.330451e-13	3.255805e-15	1.207786e-15	1.019257e-17	1.252780e-13
5.000000e+02	1.775390e-13	4.316592e-17	1.900279e-19	8.915973e-13	8.788201e-15	1.700461e-15	1.901147e-17	2.170504e-13
5.500000e+02	3.108635e-13	7.201204e-17	4.336896e-19	1.376557e-12	1.990789e-14	2.467673e-15	3.386899e-17	3.416862e-13
6.000000e+02	5.004924e-13	1.162516e-16	9.381560e-19	1.996093e-12	3.943958e-14	3.615816e-15	5.705945e-17	4.998453e-13
6.500000e+02	7.539688e-13	1.832035e-16	1.912498e-18	2.753103e-12	7.037967e-14	5.247565e-15	9.094273e-17	6.903410e-13
7.000000e+02	1.076595e-12	2.820878e-16	3.662418e-18	3.646033e-12	1.155900e-13	7.452199e-15	1.377458e-16	9.105640e-13
7.500000e+02	1.471429e-12	4.234948e-16	6.595608e-18	4.669809e-12	1.775434e-13	1.029865e-14	1.993939e-16	1.156927e-12
8.000000e+02	1.939464e-12	6.186528e-16	1.121491e-17	5.816749e-12	2.581519e-13	1.383174e-14	2.773897e-16	1.425269e-12
8.500000e+02	2.479906e-12	8.786398e-16	1.810038e-17	7.077367e-12	3.586784e-13	1.807133e-14	3.727468e-16	1.711191e-12
9.000000e+02	3.090493e-12	1.213663e-15	2.788338e-17	8.441040e-12	4.797229e-13	2.301380e-14	4.859713e-16	2.010316e-12
9.500000e+02	3.767802e-12	1.632481e-15	4.121640e-17	9.896520e-12	6.212622e-13	2.863496e-14	6.170837e-16	2.318471e-12
1.000000e+03	4.507544e-12	2.142008e-15	5.874248e-17	1.143235e-11	7.827258e-13	3.489383e-14	7.656673e-16	2.631812e-12
1.050000e+03	5.304812e-12	2.747088e-15	8.106680e-17	1.303716e-11	9.630892e-13	4.173663e-14	9.309340e-16	2.946889e-12
