T, K	k(1s5->1s4), cm3/s	k(1s5->1s3), cm3/s	k(1s5->1s2), cm3/s	k(1s4->1s5), cm3/s	k(1s4->1s2), cm3/s	k(1s3->1s5), cm3/s	k(1s2->1s5), cm3/s	k(1s2->1s4), cm3/s	
3.000000e+02	3.248146e-15	1.119119e-19	2.215425e-22	7.794880e-14	2.185988e-17	3.127112e-16	7.567353e-18	2.689536e-14
3.500000e+02	1.254702e-14	3.437130e-19	1.036848e-21	2.057030e-13	2.140605e-16	3.890894e-16	8.576087e-18	9.535997e-14
4.000000e+02	3.670031e-14	9.666852e-19	3.369294e-21	4.521306e-13	1.238819e-15	5.556870e-16	9.619893e-18	2.575036e-13
4.500000e+02	8.812996e-14	2.635676e-18	8.622368e-21	8.693420e-13	4.963601e-15	8.943784e-16	1.076379e-17	5.702372e-13
5.000000e+02	1.830611e-13	6.808150e-18	1.884479e-20	1.511615e-12	1.522959e-14	1.515352e-15	1.213649e-17	1.088744e-12
5.500000e+02	3.406599e-13	1.617386e-17	3.721124e-20	2.432119e-12	3.827352e-14	2.549433e-15	1.394439e-17	1.855971e-12
6.000000e+02	5.819572e-13	3.497868e-17	6.902988e-20	3.680473e-12	8.254543e-14	4.135711e-15	1.647333e-17	2.896637e-12
6.500000e+02	9.287560e-13	6.912334e-17	1.232471e-19	5.301065e-12	1.579669e-13	6.407653e-15	2.007659e-17	4.216053e-12
7.000000e+02	1.402627e-12	1.259926e-16	2.141842e-19	7.331907e-12	2.748838e-13	9.480730e-15	2.515121e-17	5.802404e-12
7.500000e+02	2.024047e-12	2.140500e-16	3.631038e-19	9.803933e-12	4.430031e-13	1.344345e-14	3.210788e-17	7.630778e-12
8.000000e+02	2.811693e-12	3.422854e-16	5.992176e-19	1.274059e-11	6.705272e-13	1.835251e-14	4.134023e-17	9.667597e-12
8.500000e+02	3.781884e-12	5.196180e-16	9.598844e-19	1.615766e-11	9.635848e-13	2.423168e-14	5.319799e-17	1.187468e-11
9.000000e+02	4.948184e-12	7.543404e-16	1.489930e-18	2.006337e-11	1.325969e-12	3.107371e-14	6.796693e-17	1.421246e-11
9.500000e+02	6.321132e-12	1.053667e-15	2.240197e-18	2.445858e-11	1.759130e-12	3.884419e-14	8.585640e-17	1.664241e-11
1.000000e+03	7.908120e-12	1.423409e-15	3.265546e-18	2.933731e-11	2.262359e-12	4.748649e-14	1.069944e-16	1.912864e-11
1.050000e+03	9.713380e-12	1.867793e-15	4.622552e-18	3.468725e-11	2.833087e-12	5.692699e-14	1.314285e-16	2.163884e-11
