r	<36|H_so|36>	<37|H_so|37>	<38|H_so|38>	<39|H_so|39>	<40|H_so|40>
1.97	5507.94	97491.16	110382.86	107934.07	112015.28
1.98	5296	97428.62	110184.55	107908.27	111819.71
1.99	5091.79	97368.54	109994.03	107884.46	111632.17
2	4895.02	97310.81	109811.04	107862.51	111452.43
2.01	4705.45	97255.31	109635.26	107842.2	111280.18
2.02	4522.83	97201.99	109466.57	107823.48	111115.21
2.03	4346.91	97150.69	109304.48	107806.17	110957.3
2.04	4177.45	97101.37	109148.86	107790.16	110806.21
2.05	4014.2	97053.93	108999.47	107775.33	110661.76
2.06	3857.01	97008.33	108856.09	107761.57	110523.74
2.07	3705.61	96964.43	108718.48	107748.73	110391.95
2.08	3559.82	96922.21	108586.44	107736.73	110266.21
2.09	3419.45	96881.57	108459.71	107725.46	110146.46
2.1	3284.28	96842.52	108338.4	107714.87	110032.45
2.15	2680.36	96667.62	107799	107669.41	109542.65
2.2	2181.56	96522.07	107367.69	107618.31	109175.65
2.25	1770.27	96400.07	107018.32	107561.11	108916.36
2.3	1431.76	96297.07	106738.44	107491.68	108748.28
2.35	1153.67	96208.66	106515.38	107413.08	108651.73
2.4	925.68	96132	106338.78	107331.94	108606.8
2.45	739.16	96064.27	106199.96	107254.61	108596.01
2.5	586.92	96004.02	106091.83	107185.21	108606.71
2.55	462.94	95949.26	106008.38	107125.18	108629.91
2.6	362.28	95898.9	105944.97	107074.81	108659.82
2.65	280.77	95851.84	105897.35	107033.06	108692.58
2.7	214.98	95807.36	105862.69	106998.89	108725.73
2.75	162.07	95764.87	105838.15	106970.92	108757.61
2.8	119.68	95723.93	105821.59	106947.91	108787.15
2.85	85.86	95684.22	105811.25	106928.71	108813.66
2.9	59.03	95645.52	105805.76	106912.39	108836.76
3	21.31	95570.61	105805.01	106885.26	108872.02
3.1	1.42	95498.83	105812.8	106861.7	108892.8
3.2	14.4	95429.99	105825.12	106838.71	108900.27
3.3	21.17	95364.46	105839.24	106814.39	108896.14
3.4	24.09	95302.6	105853.93	106788.04	108882.48
3.5	24.6	95244.66	105868.24	106759.21	108861.23
3.6	23.73	95190.89	105881.9	106728.02	108834.43
3.7	22.13	95141.39	105894.18	106694.6	108803.57
3.8	20.19	95096.11	105905.28	106659.42	108770.21
3.9	18.13	95055.05	105915.27	106622.98	108735.55
4	16.14	95018.06	105924.19	106586.07	108700.58
4.1	14.26	94984.89	105932.14	106548.53	108666.04
4.2	12.54	94955.19	105939.16	106511.24	108632.44
4.3	11	94929.01	105945.35	106474.31	108600.15
4.4	9.63	94906.01	105950.87	106438.32	108569.56
4.5	8.42	94885.81	105955.73	106403.51	108540.68
4.6	7.37	94868.11	105960.08	106370.07	108513.71
4.7	6.45	94852.77	105963.95	106338.28	108488.65
4.8	5.64	94839.44	105967.34	106308.12	108465.34
4.9	4.96	94827.95	105970.34	106279.71	108443.82
5	4.37	94818.29	105972.99	106252.71	108423.97
5.1	3.85	94809.81	105975.35	106227.9	108405.76
5.2	3.4	94802.59	105977.5	106204.9	108389.02
5.3	3.02	94796.48	105979.3	106183.62	108373.69
5.4	2.63	94791.3	105981.01	106164.07	108359.87
5.5	2.33	94786.89	105982.5	106146.09	108347.11
5.6	2.08	94783.08	105983.79	106129.61	108335.46
5.7	1.85	94779.9	105984.96	106114.57	108324.85
5.8	1.65	94777.24	105986	106100.88	108315.19
5.9	1.47	94775.01	105986.93	106088.46	108306.4
6	1.31	94773.16	105987.71	106077.19	108298.42
6.2	1.07	94770.32	105989.09	106057.83	108284.57
6.4	0.88	94768.41	105990.19	106042.13	108273.18
6.6	0.74	94767.13	105991.07	106029.48	108263.8
6.8	0.34	94766.3	105991.76	106019.36	108256.27
7	0.26	94765.79	105992.31	106011.3	108250.02
7.2	0.2	94765.49	105992.75	106004.93	108244.95
7.4	0.15	94765.33	105993.11	105999.91	108240.84
7.6	0.14	94765.29	105993.4	105995.99	108237.48
7.8	0.09	94765.28	105993.62	105992.92	108234.83
8	0.06	94765.3	105993.8	105990.54	108232.71
8.2	0.08	94765.35	105989.51	105993.18	108230.99
8.4	0.08	94765.32	105987.91	105993.46	108229.72
8.6	0.06	94765.38	105986.71	105993.69	108228.65
8.8	0.05	94765.43	105985.78	105993.86	108227.78
9	0.05	94765.48	105985.08	105994.02	108227.1
9.2	0.04	94765.54	105984.55	105994.14	108226.56
9.4	0.03	94765.68	105984.28	105994.48	108226.09
9.6	0.02	94765.73	105983.98	105994.55	108225.76
9.8	0.03	94765.78	105983.75	105994.59	108225.51
10	0.02	94765.82	105983.58	105994.64	108225.31
10.5	0.01	94765.91	105983.41	105994.68	108225.18
11	0	94765.97	105983.51	105994.46	108225.01
