r	<0|H_so|41>	<1|H_so|42>	<1|H_so|43>	<2|H_so|42>	<2|H_so|43>	<3|H_so|42>	<3|H_so|43>	<8|H_so|41>	<9|H_so|42>	<9|H_so|43>	<10|H_so|42>	<10|H_so|43>	<11|H_so|42>	<11|H_so|43>
1.97	-311.37	-43.1	-301.17	220.68	8.42	217.77	-79.78	-311.37	-43.1	-301.17	220.68	8.42	217.77	-79.78
1.98	-311.41	-47.83	-299.3	220.69	8.68	216.83	-86.57	-311.41	-47.83	-299.3	220.69	8.68	216.83	-86.57
1.99	-311.44	-53.09	-297.04	220.7	8.94	215.65	-94.09	-311.44	-53.09	-297.04	220.7	8.94	215.65	-94.09
2	-311.46	-58.94	-294.29	220.72	9.2	214.17	-102.39	-311.46	-58.94	-294.29	220.72	9.2	214.17	-102.39
2.01	-311.49	-65.41	-290.96	220.72	9.46	212.33	-111.51	-311.49	-65.41	-290.96	220.72	9.46	212.33	-111.51
2.02	-311.51	-72.51	-286.95	220.73	9.72	210.06	-121.47	-311.51	-72.51	-286.95	220.73	9.72	210.06	-121.47
2.03	-311.53	-80.24	-282.15	220.74	9.99	207.28	-132.25	-311.53	-80.24	-282.15	220.74	9.99	207.28	-132.25
2.04	-311.55	-88.55	-276.46	220.74	10.25	203.91	-143.77	-311.55	-88.55	-276.46	220.74	10.25	203.91	-143.77
2.05	-311.56	-97.35	-269.8	220.74	10.51	199.9	-155.89	-311.56	-97.35	-269.8	220.74	10.51	199.9	-155.89
2.06	-311.57	-106.48	-262.17	220.74	10.78	195.24	-168.4	-311.57	-106.48	-262.17	220.74	10.78	195.24	-168.4
2.07	-311.59	-115.75	-253.61	220.74	11.04	189.93	-181.02	-311.59	-115.75	-253.61	220.74	11.04	189.93	-181.02
2.08	-311.6	-124.93	-244.26	220.73	11.3	184.06	-193.45	-311.6	-124.93	-244.26	220.73	11.3	184.06	-193.45
2.09	-311.6	-133.8	-234.32	220.73	11.57	177.77	-205.36	-311.6	-133.8	-234.32	220.73	11.57	177.77	-205.36
2.1	-311.61	-142.16	-224.04	220.72	11.83	171.2	-216.51	-311.61	-142.16	-224.04	220.72	11.83	171.2	-216.51
2.15	-311.62	-173.15	-175.97	220.67	13.12	140.06	-257.02	-311.62	-173.15	-175.97	220.67	13.12	140.06	-257.02
2.2	-311.62	-188.83	-142.61	220.6	14.35	118.35	-276.81	-311.62	-188.83	-142.61	220.6	14.35	118.35	-276.81
2.25	-311.6	-196.66	-122	220.52	15.51	105.14	-286.37	-311.6	-196.66	-122	220.52	15.51	105.14	-286.37
2.3	-311.57	-200.88	-109.12	220.42	16.58	97.13	-291.39	-311.57	-200.88	-109.12	220.42	16.58	97.13	-291.39
2.35	-311.53	-203.33	-100.79	220.33	17.56	92.19	-294.24	-311.53	-203.33	-100.79	220.33	17.56	92.19	-294.24
2.4	-311.5	-204.82	-95.25	220.23	18.45	89.1	-295.95	-311.5	-204.82	-95.25	220.23	18.45	89.1	-295.95
2.45	-311.46	-205.76	-91.5	220.14	19.24	87.19	-297.01	-311.46	-205.76	-91.5	220.14	19.24	87.19	-297.01
2.5	-311.43	-206.34	-88.96	220.05	19.95	86.07	-297.67	-311.43	-206.34	-88.96	220.05	19.95	86.07	-297.67
2.55	-311.4	-206.68	-87.28	219.97	20.59	85.5	-298.05	-311.4	-206.68	-87.28	219.97	20.59	85.5	-298.05
2.6	-311.38	-206.85	-86.23	219.89	21.18	85.33	-298.26	-311.38	-206.85	-86.23	219.89	21.18	85.33	-298.26
2.65	-311.35	-206.89	-85.67	219.82	21.72	85.47	-298.32	-311.35	-206.89	-85.67	219.82	21.72	85.47	-298.32
2.7	-311.33	-206.83	-85.5	219.75	22.23	85.86	-298.28	-311.33	-206.83	-85.5	219.75	22.23	85.86	-298.28
2.75	-311.32	-206.68	-85.64	219.68	22.72	86.46	-298.15	-311.32	-206.68	-85.64	219.68	22.72	86.46	-298.15
