r	<0|H_so|0>	<1|H_so|1>	<2|H_so|2>	<3|H_so|3>	<4|H_so|4>	<5|H_so|5>	<6|H_so|6>	<7|H_so|7>	<8|H_so|8>	<9|H_so|9>	<10|H_so|10>	<11|H_so|11>
1.97	96378.12	106969.17	110075.75	109175.3	96378.12	106969.17	110075.75	109175.3	96378.12	106969.17	110075.75	109175.3
1.98	96315.75	106934.28	109877.64	108988.9	96315.75	106934.28	109877.64	108988.9	96315.75	106934.28	109877.64	108988.9
1.99	96255.81	106900.06	109687.33	108811.82	96255.81	106900.06	109687.33	108811.82	96255.81	106900.06	109687.33	108811.82
2	96198.2	106866.13	109504.51	108644.03	96198.2	106866.13	109504.51	108644.03	96198.2	106866.13	109504.51	108644.03
2.01	96142.82	106832.06	109328.93	108485.58	96142.82	106832.06	109328.93	108485.58	96142.82	106832.06	109328.93	108485.58
2.02	96089.58	106797.41	109160.33	108336.57	96089.58	106797.41	109160.33	108336.57	96089.58	106797.41	109160.33	108336.57
2.03	96038.38	106761.63	108998.43	108197.12	96038.38	106761.63	108998.43	108197.12	96038.38	106761.63	108998.43	108197.12
2.04	95989.12	106724.2	108843	108067.44	95989.12	106724.2	108843	108067.44	95989.12	106724.2	108843	108067.44
2.05	95941.74	106684.55	108693.81	107947.77	95941.74	106684.55	108693.81	107947.77	95941.74	106684.55	108693.81	107947.77
2.06	95896.13	106642.14	108550.65	107838.38	95896.13	106642.14	108550.65	107838.38	95896.13	106642.14	108550.65	107838.38
2.07	95852.25	106596.5	108413.22	107739.3	95852.25	106596.5	108413.22	107739.3	95852.25	106596.5	108413.22	107739.3
2.08	95810.02	106547.31	108281.37	107650.66	95810.02	106547.31	108281.37	107650.66	95810.02	106547.31	108281.37	107650.66
2.09	95769.38	106494.38	108154.88	107572.34	95769.38	106494.38	108154.88	107572.34	95769.38	106494.38	108154.88	107572.34
2.1	95730.22	106437.8	108033.55	107503.98	95730.22	106437.8	108033.55	107503.98	95730.22	106437.8	108033.55	107503.98
2.15	95554.78	106115.89	107497.68	107286.74	95554.78	106115.89	107497.68	107286.74	95554.78	106115.89	107497.68	107286.74
2.2	95408.16	105783.29	107064.54	107202.11	95408.16	105783.29	107064.54	107202.11	95408.16	105783.29	107064.54	107202.11
2.25	95284.46	105485.87	106715.95	107179.84	95284.46	105485.87	106715.95	107179.84	95284.46	105485.87	106715.95	107179.84
2.3	95178.92	105235.6	106436.75	107187.95	95178.92	105235.6	106436.75	107187.95	95178.92	105235.6	106436.75	107187.95
2.35	95087.41	105029.66	106213.92	107211.27	95087.41	105029.66	106213.92	107211.27	95087.41	105029.66	106213.92	107211.27
2.4	95007.41	104864.86	106037.94	107242.76	95007.41	104864.86	106037.94	107242.76	95007.41	104864.86	106037.94	107242.76
2.45	94936.16	104733.8	105899.71	107277.24	94936.16	104733.8	105899.71	107277.24	94936.16	104733.8	105899.71	107277.24
2.5	94871.68	104630.68	105792.07	107311.59	94871.68	104630.68	105792.07	107311.59	94871.68	104630.68	105792.07	107311.59
2.55	94812.43	104550.41	105709.16	107343.7	94812.43	104550.41	105709.16	107343.7	94812.43	104550.41	105709.16	107343.7
2.6	94757.22	104488.64	105646.14	107372.11	94757.22	104488.64	105646.14	107372.11	94757.22	104488.64	105646.14	107372.11
