r   <1|H_so|31>   <9|H_so|35>
1.97    126.54 126.54
1.98    136.60 136.60
1.99    147.68 147.68
2.00    159.86 159.86
2.01    173.20 173.20
2.02    187.71 187.71
2.03    203.36 203.36
2.04    220.04 220.04
2.05    237.52 237.52
2.06    255.49 255.49
2.07    273.56 273.56
2.08    291.29 291.29
2.09    308.24 308.24
2.10    324.05 324.05
2.15    381.00 381.00
2.20    408.52 408.52
2.25    421.80 421.80
2.30    428.88 428.88
2.35    433.02 433.02
2.40    435.62 435.62
2.45    437.35 437.35
2.50    438.52 438.52
2.55    439.34 439.34
2.60    439.90 439.90
2.65    440.28 440.28
2.70    440.52 440.52
2.75    440.65 440.65
2.80    440.69 440.69
2.85    440.65 440.65
2.90    440.55 440.55
3.00    440.16 440.16
3.10    439.57 439.57
3.20    438.80 438.80
3.30    437.85 437.85
3.40    436.73 436.73
3.50    435.43 435.43
3.60    433.97 433.97
3.70    432.33 432.33
3.80    430.52 430.52
3.90    428.56 428.56
4.00    426.44 426.44
4.10    424.17 424.17
4.20    421.79 421.79
4.30    419.29 419.29
4.40    416.72 416.72
4.50    414.08 414.08
4.60    411.40 411.40
4.70    408.71 408.71
4.80    406.03 406.03
4.90    403.39 403.39
5.00    400.81 400.81
5.10    398.30 398.30
5.20    395.89 395.89
5.30    393.58 393.58
5.40    391.38 391.38
5.50    389.31 389.31
5.60    387.36 387.36
5.70    385.54 385.54
5.80    383.84 383.84
5.90    382.27 382.27
6.00    380.83 380.83
6.20    378.28 378.28
6.40    376.16 376.16
6.60    374.42 374.42
6.80    373.00 373.00
7.00    371.85 371.85
7.20    370.93 370.93
7.40    370.19 370.19
7.60    369.61 369.61
7.80    369.15 369.15
8.00    368.79 368.79
8.20    368.51 368.51
8.40    368.29 368.29
8.60    368.12 368.12
8.80    367.99 367.99
9.00    367.89 367.89
9.20    367.82 367.82
9.40    367.76 367.76
9.60    367.71 367.71
9.80    367.68 367.68
10.00   367.65    367.65
10.50   367.61    367.61
11.00   367.59    367.59
