r	<0|H_so|15>	<1|H_so|16>	<1|H_so|17>	<2|H_so|16>	<2|H_so|17>	<3|H_so|16>	<3|H_so|17>	<4|H_so|12>	<4|H_so|18>	<5|H_so|13>	<5|H_so|14>	<5|H_so|19>	<5|H_so|20>	<6|H_so|13>	<6|H_so|14>	<6|H_so|19>	<6|H_so|20>	<7|H_so|13>	<7|H_so|14>	<7|H_so|19>	<7|H_so|20>	<8|H_so|15>	<9|H_so|16>	<9|H_so|17>	<10|H_so|16>	<10|H_so|17>	<11|H_so|16>	<11|H_so|17>
1.97	-311.91	44.37	303.99	-220.12	-18.6	-216.16	70.41	311.91	-311.91	-44.37	-303.99	44.37	303.99	220.12	18.6	-220.12	-18.6	216.16	-70.41	-216.16	70.41	311.91	-44.37	-303.99	220.12	18.6	216.16	-70.41
1.98	-311.94	48.9	302.36	-220.11	-18.98	-215.22	77.15	311.94	-311.94	-48.9	-302.36	48.9	302.36	220.11	18.98	-220.11	-18.98	215.22	-77.15	-215.22	77.15	311.94	-48.9	-302.36	220.11	18.98	215.22	-77.15
1.99	-311.97	53.97	300.37	-220.1	-19.36	-214.04	84.63	311.97	-311.97	-53.97	-300.37	53.97	300.37	220.1	19.36	-220.1	-19.36	214.04	-84.63	-214.04	84.63	311.97	-53.97	-300.37	220.1	19.36	214.04	-84.63
2	-311.99	59.62	297.93	-220.09	-19.74	-212.57	92.91	311.99	-311.99	-59.62	-297.93	59.62	297.93	220.09	19.74	-220.09	-19.74	212.57	-92.91	-212.57	92.91	311.99	-59.62	-297.93	220.09	19.74	212.57	-92.91
2.01	-312.01	65.88	294.94	-220.08	-20.13	-210.75	102.04	312.01	-312.01	-65.88	-294.94	65.88	294.94	220.08	20.13	-220.08	-20.13	210.75	-102.04	-210.75	102.04	312.01	-65.88	-294.94	220.08	20.13	210.75	-102.04
2.02	-312.03	72.78	291.31	-220.06	-20.52	-208.51	112.03	312.03	-312.03	-72.78	-291.31	72.78	291.31	220.06	20.52	-220.06	-20.52	208.51	-112.03	-208.51	112.03	312.03	-72.78	-291.31	220.06	20.52	208.51	-112.03
2.03	-312.04	80.29	286.91	-220.04	-20.91	-205.76	122.87	312.04	-312.04	-80.29	-286.91	80.29	286.91	220.04	20.91	-220.04	-20.91	205.76	-122.87	-205.76	122.87	312.04	-80.29	-286.91	220.04	20.91	205.76	-122.87
2.04	-312.06	88.39	281.66	-220.02	-21.3	-202.45	134.48	312.06	-312.06	-88.39	-281.66	88.39	281.66	220.02	21.3	-220.02	-21.3	202.45	-134.48	-202.45	134.48	312.06	-88.39	-281.66	220.02	21.3	202.45	-134.48
2.05	-312.07	96.98	275.47	-220	-21.69	-198.51	146.74	312.07	-312.07	-96.98	-275.47	96.98	275.47	220	21.69	-220	-21.69	198.51	-146.74	-198.51	146.74	312.07	-96.98	-275.47	220	21.69	198.51	-146.74
2.06	-312.08	105.9	268.33	-219.97	-22.08	-193.94	159.41	312.08	-312.08	-105.9	-268.33	105.9	268.33	219.97	22.08	-219.97	-22.08	193.94	-159.41	-193.94	159.41	312.08	-105.9	-268.33	219.97	22.08	193.94	-159.41
2.07	-312.09	114.97	260.28	-219.94	-22.48	-188.74	172.24	312.09	-312.09	-114.97	-260.28	114.97	260.28	219.94	22.48	-219.94	-22.48	188.74	-172.24	-188.74	172.24	312.09	-114.97	-260.28	219.94	22.48	188.74	-172.24
2.08	-312.1	123.95	251.44	-219.91	-22.87	-182.99	184.91	312.1	-312.1	-123.95	-251.44	123.95	251.44	219.91	22.87	-219.91	-22.87	182.99	-184.91	-182.99	184.91	312.1	-123.95	-251.44	219.91	22.87	182.99	-184.91
2.09	-312.11	132.64	241.99	-219.88	-23.26	-176.83	197.09	312.11	-312.11	-132.64	-241.99	132.64	241.99	219.88	23.26	-219.88	-23.26	176.83	-197.09	-176.83	197.09	312.11	-132.64	-241.99	219.88	23.26	176.83	-197.09
2.1	-312.11	140.82	232.2	-219.84	-23.66	-170.42	208.53	312.11	-312.11	-140.82	-232.2	140.82	232.2	219.84	23.66	-219.84	-23.66	170.42	-208.53	-170.42	208.53	312.11	-140.82	-232.2	219.84	23.66	170.42	-208.53
2.15	-312.12	171.16	186.09	-219.65	-25.59	-140.14	250.47	312.12	-312.12	-171.16	-186.09	171.16	186.09	219.65	25.59	-219.65	-25.59	140.14	-250.47	-140.14	250.47	312.12	-171.16	-186.09	219.65	25.59	140.14	-250.47
