r   <15|H_so|44>  <16|H_so|45> <16|H_so|46>    <17|H_so|45>   <17|H_so|46>
1.97    438.24 11.59   30.90 21.93   437.58
1.98    438.30 11.67   31.63 22.43   437.56
1.99    438.36 11.74   32.37 22.93   437.54
2.00    438.43 11.82   33.12 23.43   437.52
2.01    438.48 11.90   33.87 23.94   437.49
2.02    438.54 11.98   34.62 24.45   437.46
2.03    438.60 12.06   35.38 24.96   437.42
2.04    438.65 12.15   36.13 25.47   437.38
2.05    438.70 12.23   36.89 25.98   437.34
2.06    438.75 12.32   37.65 26.49   437.29
2.07    438.80 12.41   38.41 27.00   437.24
2.08    438.85 12.51   39.17 27.51   437.19
2.09    438.90 12.60   39.93 28.02   437.13
2.10    438.94 12.70   40.69 28.53   437.07
2.15    439.15 13.20   44.44 31.04   436.73
2.20    439.33 13.72   48.05 33.44   436.34
2.25    439.49 14.26   51.49 35.71   435.91
2.30    439.62 14.80   54.69 37.82   435.46
2.35    439.73 15.32   57.66 39.74   435.00
2.40    439.83 15.82   60.37 41.49   434.55
2.45    439.91 16.29   62.85 43.07   434.11
2.50    439.98 16.74   65.12 44.49   433.68
2.55    440.04 17.17   67.21 45.78   433.27
2.60    440.08 17.57   69.16 46.97   432.87
2.65    440.12 17.96   70.99 48.08   432.48
2.70    440.15 18.35   72.74 49.13   432.08
2.75    440.18 18.73   74.44 50.14   431.69
2.80    440.20 19.11   76.12 51.14   431.28
2.85    440.21 19.51   77.79 52.13   430.86
2.90    440.23 19.92   79.49 53.14   430.42
3.00    440.24 20.80   83.00 55.25   429.46
3.10    440.25 21.80   86.75 57.54   428.37
3.20    440.25 22.94   90.80 60.06   427.12
3.30    440.25 24.26   95.19 62.84   425.68
3.40    440.25 25.79   99.95 65.92   424.02
3.50    440.24 27.55   105.09    69.30  422.12
3.60    440.24 29.58   110.60    73.00  419.94
3.70    440.24 31.91   116.46    77.03  417.45
3.80    440.24 34.56   122.64    81.37  414.62
3.90    440.24 37.58   129.12    86.04  411.43
4.00    440.24 40.99   135.84    91.01  407.86
4.10    440.24 44.81   142.75    96.28  403.87
4.20    440.24 49.07   149.76    101.81 399.45
4.30    440.24 53.79   156.81    107.58 394.60
4.40    440.25 58.97   163.80    113.55 389.31
4.50    440.25 64.60   170.65    119.68 383.59
4.60    440.25 70.68   177.28    125.91 377.47
4.70    440.26 77.16   183.58    132.19 370.99
4.80    440.26 84.01   189.49    138.46 364.19
4.90    440.26 91.16   194.93    144.65 357.12
5.00    440.27 98.55   199.87    150.69 349.86
5.10    440.27 106.09  204.25   156.54    342.48
5.20    440.27 113.70  208.08   162.13    335.06
5.30    440.28 121.30  211.34   167.42    327.67
5.40    440.28 128.79  214.07   172.38    320.39
5.50    440.28 136.12  216.30   176.98    313.28
5.60    440.28 143.20  218.07   181.21    306.41
5.70    440.29 149.99  219.43   185.06    299.82
5.80    440.29 156.45  220.43   188.55    293.55
5.90    440.29 162.54  221.13   191.69    287.62
6.00    440.29 168.25  221.57   194.50    282.06
6.20    440.30 178.51  221.88   199.21    272.05
6.40    440.30 187.24  221.67   202.90    263.51
6.60    440.30 194.56  221.17   205.75    256.32
6.80    440.30 200.62  220.54   207.95    250.35
7.00    440.30 205.59  219.87   209.65    245.44
7.20    440.31 209.64  219.24   210.96    241.43
7.40    440.31 212.91  218.67   211.97    238.19
7.60    440.31 215.55  218.16   212.75    235.57
7.80    440.31 217.66  217.73   213.35    233.47
8.00    440.31 219.34  217.38   213.82    231.80
8.20    440.31 220.68  217.08   214.19    230.47
8.40    440.31 221.74  216.84   214.47    229.41
8.60    440.31 222.58  216.64   214.70    228.57
8.80    440.31 223.24  216.48   214.87    227.91
9.00    440.31 223.76  216.36   215.01    227.39
9.20    440.31 224.17  216.26   215.12    226.99
9.40    440.31 224.49  216.18   215.20    226.67
9.60    440.31 224.74  216.11   215.26    226.42
9.80    440.31 224.93  216.07   215.31    226.22
10.00   440.31    225.08 216.03  215.35   226.07
10.50   440.31    225.33 215.96  215.42   225.83
11.00   440.31    225.46 215.93  215.45   225.70
