r   <13|H_so|47>  <13|H_so|48> <14|H_so|47>    <14|H_so|48>   <19|H_so|47>  <19|H_so|48> <20|H_so|47>    <20|H_so|48>
1.97    220.21 220.00  12.56    18.78  220.21   220.00    12.56  18.78
1.98    220.21 220.00  12.93    19.16  220.21   220.00    12.93  19.16
1.99    220.22 219.99  13.31    19.54  220.22   219.99    13.31  19.54
2.00    220.22 219.98  13.68    19.92  220.22   219.98    13.68  19.92
2.01    220.21 219.96  14.06    20.31  220.21   219.96    14.06  20.31
2.02    220.21 219.94  14.44    20.70  220.21   219.94    14.44  20.70
2.03    220.20 219.92  14.82    21.09  220.20   219.92    14.82  21.09
2.04    220.19 219.90  15.21    21.48  220.19   219.90    15.21  21.48
2.05    220.18 219.88  15.59    21.87  220.18   219.88    15.59  21.87
2.06    220.16 219.85  15.97    22.27  220.16   219.85    15.97  22.27
2.07    220.15 219.82  16.35    22.66  220.15   219.82    16.35  22.66
2.08    220.13 219.79  16.74    23.05  220.13   219.79    16.74  23.05
2.09    220.11 219.76  17.12    23.45  220.11   219.76    17.12  23.45
2.10    220.09 219.73  17.50    23.84  220.09   219.73    17.50  23.84
2.15    219.96 219.53  19.38    25.78  219.96   219.53    19.38  25.78
2.20    219.80 219.31  21.19    27.66  219.80   219.31    21.19  27.66
2.25    219.63 219.07  22.91    29.45  219.63   219.07    22.91  29.45
2.30    219.44 218.83  24.51    31.12  219.44   218.83    24.51  31.12
2.35    219.26 218.58  25.98    32.68  219.26   218.58    25.98  32.68
2.40    219.07 218.34  27.32    34.11  219.07   218.34    27.32  34.11
2.45    218.90 218.10  28.54    35.42  218.90   218.10    28.54  35.42
2.50    218.73 217.88  29.64    36.63  218.73   217.88    29.64  36.63
2.55    218.57 217.66  30.66    37.75  218.57   217.66    30.66  37.75
2.60    218.41 217.46  31.60    38.80  218.41   217.46    31.60  38.80
2.65    218.27 217.26  32.48    39.79  218.27   217.26    32.48  39.79
2.70    218.12 217.06  33.32    40.74  218.12   217.06    33.32  40.74
2.75    217.98 216.87  34.13    41.67  217.98   216.87    34.13  41.67
2.80    217.84 216.68  34.94    42.59  217.84   216.68    34.94  42.59
2.85    217.70 216.48  35.74    43.51  217.70   216.48    35.74  43.51
2.90    217.55 216.28  36.56    44.44  217.55   216.28    36.56  44.44
3.00    217.25 215.86  38.26    46.37  217.25   215.86    38.26  46.37
3.10    216.90 215.39  40.10    48.42  216.90   215.39    40.10  48.42
3.20    216.52 214.87  42.11    50.63  216.52   214.87    42.11  50.63
3.30    216.07 214.29  44.32    53.03  216.07   214.29    44.32  53.03
3.40    215.56 213.63  46.74    55.62  215.56   213.63    46.74  55.62
3.50    214.97 212.88  49.39    58.41  214.97   212.88    49.39  58.41
3.60    214.29 212.04  52.26    61.40  214.29   212.04    52.26  61.40
3.70    213.51 211.09  55.35    64.60  213.51   211.09    55.35  64.60
3.80    212.63 210.02  58.66    67.98  212.63   210.02    58.66  67.98
3.90    211.63 208.84  62.17    71.55  211.63   208.84    62.17  71.55
4.00    210.51 207.52  65.88    75.29  210.51   207.52    65.88  75.29
4.10    209.26 206.08  69.74    79.17  209.26   206.08    69.74  79.17
4.20    207.89 204.50  73.75    83.16  207.89   204.50    73.75  83.16
4.30    206.38 202.79  77.86    87.25  206.38   202.79    77.86  87.25
4.40    204.75 200.96  82.05    91.40  204.75   200.96    82.05  91.40
4.50    203.01 199.01  86.28    95.57  203.01   199.01    86.28  95.57
4.60    201.16 196.96  90.51    99.74  201.16   196.96    90.51  99.74
4.70    199.22 194.82  94.70    103.85 199.22  194.82   94.70 103.85
4.80    197.21 192.61  98.82    107.89 197.21  192.61   98.82 107.89
4.90    195.15 190.37  102.84   111.81    195.15 190.37  102.84   111.81
5.00    193.06 188.10  106.72   115.59    193.06 188.10  106.72   115.59
5.10    190.96 185.83  110.43   119.21    190.96 185.83  110.43   119.21
5.20    188.87 183.58  113.97   122.64    188.87 183.58  113.97   122.64
5.30    186.82 181.38  117.31   125.88    186.82 181.38  117.31   125.88
5.40    184.81 179.24  120.44   128.91    184.81 179.24  120.44   128.91
5.50    182.88 177.17  123.36   131.73    182.88 177.17  123.36   131.73
5.60    181.02 175.20  126.07   134.35    181.02 175.20  126.07   134.35
5.70    179.25 173.32  128.57   136.76    179.25 173.32  128.57   136.76
5.80    177.58 171.55  130.88   138.98    177.58 171.55  130.88   138.98
